Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;
 3.7. ЧИСЛЕННОСТЬ ПЕНСИОНЕРОВ1);;;;;;;;;;;;;;;;;;;;;;;;
3.7.1. Всего;;;;;;;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;
Республика Адыгея;125;125;125;126;124;122;121;119;118;117;118;121;122;122;123;124;125;127;127;128;;;;
Республика Калмыкия;68;69;69;68;67;66;66;66;66;66;68;70;71;72;73;74;76;78;78;79;;;;
Республика Крым;;;;;;;;;;;;;;;;…;565;575;582;587;;;;
Краснодарский край;1369;1368;1372;1355;1347;1374;1372;1382;1396;1408;1407;1451;1469;1489;1515;1541;1571;1598;1625;1651;;;;
Астраханская область;238;238;236;236;234;233;233;234;235;236;238;242;245;249;252;256;259;262;264;266;;;;
Волгоградская область;736;735;736;725;721;716;715;712;713;713;722;733;739;745;750;753;762;766;769;771;;;;
Ростовская область;1271;1274;1280;1279;1260;1248;1238;1223;1221;1220;1230;1236;1243;1253;1265;1276;1294;1309;1314;1314;;;;
г. Севастополь;;;;;;;;;;;;;;;;…;110;112;114;115;;;;
Северо-Кавказский    федеральный округ;1805;1859;1894;1900;1909;1921;1947;1977;2001;2037;2074;2146;2204;2240;2280;2325;2393;2435;2464;2497;;;;
Республика Дагестан;439;446;450;457;465;472;480;489;496;514;525;540;551;565;581;598;624;646;670;682;;;;
Республика Ингушетия;56;57;59;59;56;56;57;58;60;66;71;75;83;87;91;94;101;105;106;109;;;;
Кабардино-Балкарская      Республика;181;178;181;178;177;174;176;178;177;178;179;180;183;186;188;191;195;198;200;204;;;;
Карачаево-Черкесская      Республика;114;114;116;116;114;113;112;112;111;112;112;114;115;116;117;119;122;123;124;126;;;;
Республика Северная       Осетия - Алания;189;192;196;197;199;197;200;202;202;203;206;208;211;213;210;211;210;208;207;207;;;;
Чеченская Республика;122;169;186;200;212;224;237;251;268;276;289;321;346;351;366;379;403;411;410;417;;;;
Ставропольский край;704;703;706;693;686;685;685;687;687;688;692;708;715;722;727;733;738;744;747;752;;;;
Приволжский    федеральный округ;8386;8378;8419;8359;8279;8259;8263;8269;8275;8281;8373;8492;8578;8663;8757;8846;8963;9043;9110;9183;;;;
Республика Башкортостан;1030;1029;1030;1026;1018;1017;1016;1018;1020;1024;1034;1056;1073;1089;1107;1122;1148;1164;1177;1195;;;;
Республика Марий Эл;190;189;189;189;187;186;185;185;184;185;188;190;193;195;198;201;205;208;211;214;;;;
Республика Мордовия;266;264;264;262;260;258;256;252;250;247;247;248;249;249;250;252;254;256;257;258;;;;
Республика Татарстан;959;959;964;966;965;969;978;985;992;997;1017;1030;1044;1060;1075;1090;1110;1124;1138;1152;;;;
Удмуртская Республика;391;393;394;385;383;384;387;390;392;395;401;411;416;422;429;434;443;450;456;462;;;;
Чувашская Республика;344;345;345;346;340;339;334;332;330;329;332;339;343;347;352;355;361;365;370;374;;;;
Пермский край;763;763;762;747;738;739;738;738;740;738;747;758;764;769;777;784;789;793;799;803;;;;
Кировская область;440;438;436;428;419;415;413;410;411;412;414;422;424;427;430;433;436;440;441;441;;;;
Нижегородская область ;1053;1044;1061;1039;1024;1016;1011;1007;1001;995;1003;1006;1013;1020;1027;1032;1041;1046;1050;1054;;;;
