Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;;
20.9. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;;
20.9.2. Физических лиц;;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Республика Карелия;729;1102;1583;2314;3512;4666;6423;10170;13107;13334;16190;22675;27180;40177;48615;46728;54297;60833;68448;75748;
Республика Коми;1784;3128;4568;6740;10375;12791;16646;21888;29359;30993;38372;51603;60083;73603;87811;79764;92644;104776;112819;121085;
Архангельская область;1357;2257;3275;4927;7756;10492;14604;20839;27955;31350;41110;58648;70256;83902;100374;101486;120987;134529;150439;165299;
в том числе: ;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;6;-;488;863;1276;1699;1680;2008;2609;3256;4810;5505;5590;6203;6975;7539;8435;
Архангельская область без автономного округа;1357;2257;3275;4921;7756;10004;13741;19563;26256;29670;39102;56039;67000;79092;94869;95896;114783;127554;142900;156864;
Вологодская область;1833;3135;4581;6395;9785;13186;17390;25304;32210;31961;39728;52247;61795;73815;87245;88784;101013;112146;123283;142886;
Калининградская область;940;1547;2148;3116;5435;7538;10692;17443;25121;23434;28787;42087;51430;72911;82055;83865;101786;113683;128569;141236;
Ленинградская область;110;169;331;517;1112;10010;13892;20871;29155;30878;37834;50427;59292;82444;98004;88441;117185;130489;143123;153368;
Мурманская область;1771;2851;4123;5995;9148;11464;15593;21512;28442;30217;37333;49503;56891;89512;108572;104079;119448;129761;145306;152858;
Новгородская область;612;896;1283;1816;2814;3677;5030;7261;9790;10770;13359;18692;22143;31602;38232;38567;45334;48403;54060;58606;
Псковская область;598;908;1256;1802;2737;3453;4719;6811;9461;10015;12362;17151;20514;29283;35506;36294;42068;46521;52079;58198;
г. Санкт-Петербург;9713;15128;22518;33514;56130;79050;126855;200946;304364;284778;353955;523090;648642;743334;899653;928801;1093717;1264443;1457649;1600553;
Южный                федеральный округ;16397;24328;34276;47280;70607;90808;122802;183083;256636;268679;352033;490080;600579;743226;901192;922268;1151000;1303801;1455262;1590017;
Республика Адыгея;435;628;843;1143;1470;1596;1974;2868;3918;4428;5526;7520;9463;11852;14711;14051;17296;19433;20657;22394;
Республика Калмыкия;81;16;22;48;80;548;663;991;1453;1624;2430;3562;4472;5478;6635;5893;7387;8194;9191;10114;
Республика Крым;;;;;;;;;;;;;;;…;15859;41766;59586;75401;88109;
Краснодарский край;6917;10520;15061;20884;30428;38452;53232;81335;116048;117006;153053;212396;258349;325282;400072;394998;479517;549161;612584;672055;
Астраханская область;1134;1781;2500;3465;5336;7015;9079;12683;16212;18111;23666;31581;35830;45919;54780;53967;63672;67791;72504;79009;
Волгоградская область;3200;4557;6331;8627;13143;16529;22446;31963;42963;46959;61591;84680;100834;122737;145070;146892;182963;194404;212915;236393;
Ростовская область;4630;6826;9519;13113;20150;26668;35408;53243;76042;80551;105767;150341;191631;231958;279924;284192;346419;386655;428172;455516;
г. Севастополь;;;;;;;;;;;;;;;…;6416;11980;18577;23838;26427;
Северо-Кавказский федеральный округ;4870;7804;10351;14861;20748;29764;35341;49333;70511;78286;100728;138012;171634;209951;256356;249920;304032;339706;378083;409420;
Республика Дагестан;452;89;152;223;369;1791;2245;3924;6880;8531;11561;17379;24023;27374;40134;37802;46924;51568;56795;61336;
Республика Ингушетия;23;52;25;10;18;268;583;519;911;934;1856;1958;2644;3200;3956;3290;4327;4255;4479;4862;
Кабардино-Балкарская   Республика;508;753;58;111;185;2248;3073;4539;7761;8063;9141;12887;16195;19574;22934;22165;25543;29404;32693;33947;
Карачаево-Черкесская Республика;201;38;55;74;102;984;1314;1955;2470;2736;3564;5754;6974;8595;10354;9845;11993;13817;15736;15923;
Республика Северная Осетия – Алания;491;948;124;164;332;4534;4855;5729;7655;8396;10914;15031;18729;23036;25162;24216;29826;33392;37278;39787;
Чеченская Республика;0,0;0,0;1;1;219;2159;474;327;545;2023;1942;2986;4199;7726;7603;7517;11453;9935;11391;12938;
Ставропольский край;3195;5924;9936;14278;19523;17780;22797;32340;44289;47603;61750;82017;98870;120446;146213;145085;173967;197334;219710;240626;
Приволжский федеральный округ;38004;59428;85486;121167;185605;243377;336048;477700;646734;663091;851089;1186342;1422617;1722264;2035890;2022655;2473937;2751460;2980296;3220139;
Республика Башкортостан;3958;6225;9176;13597;20384;27352;36278;51034;71716;68931;90127;125961;151581;187884;228862;224619;258732;296768;329926;346951;
Республика Марий Эл;428;670;953;1404;2115;2795;3828;5671;7840;8544;11567;16421;19616;24221;30091;30067;38071;43914;48246;53593;
Республика Мордовия;734;1023;1429;2072;3211;4296;5802;8592;11338;12642;16195;23465;27473;32658;38081;40685;47914;53984;59837;65968;
Республика Татарстан;4798;7963;11492;16516;26903;36352;51091;72032;94384;97328;125287;178151;220067;269122;321180;318737;401638;458979;454672;488042;
Удмуртская Республика;1309;2240;3428;5103;7589;10177;14245;20144;27057;27417;35800;47809;56459;69388;83742;84973;101280;114998;129078;139931;
Чувашская Республика;917;1495;2285;3224;5027;6484;9063;13677;18663;20029;26110;36664;43645;54241;65939;66197;83753;97364;108496;119290;
Пермский край;3814;6550;9485;13232;20418;25958;33795;48466;66819;68766;84146;113855;139137;169490;201865;194293;230908;256755;277094;292092;
Кировская область;1532;2353;3286;4886;7166;9275;11474;16200;21935;25000;32950;46272;52267;63369;73680;73231;88832;98476;111894;123390;
Нижегородская область;5544;8762;12803;17817;25870;33731;45970;66926;90936;90733;117583;163857;189510;231159;269560;269952;338456;376658;419516;457682;
Оренбургская область;2322;3603;4828;6579;10145;13074;18136;25158;35871;37029;46299;63142;76360;94102;108078;106253;126363;141915;158119;176354;
Пензенская область;1776;2502;3457;4673;6781;8435;11316;16140;21198;22800;30064;42045;50094;62242;74968;73162;90422;100735;114288;127042;
Самарская область;5762;8523;12475;17584;28453;38265;57817;81799;111383;111429;141670;193382;235831;267097;307891;307276;383866;411799;441600;463614;
Саратовская область;3409;4987;6998;9850;14889;19077;26886;37745;48291;51064;64536;90263;106341;136849;159161;160232;193306;199154;211601;244008;
Ульяновская область;1701;2532;3391;4630;6654;8106;10347;14116;19304;21379;28755;45055;54236;60442;72792;72978;90399;99961;115928;122184;
Уральский     федеральный округ;17022;29423;46197;66527;108191;144503;185823;265371;377878;370142;465828;643972;767600;922808;1084121;1054826;1259866;1402949;1546374;1665210;
Курганская область;633;967;1331;1947;2927;3843;5014;7261;9737;10350;13494;18438;21534;28078;34232;34044;39890;44855;51507;55499;
Свердловская область;5980;9729;14221;20832;34662;47206;57792;86707;139264;132873;173036;243380;286349;343611;404783;399496;479782;527836;581564;626709;
Тюменская область;6259;12101;21359;30671;50075;65369;85906;118760;154578;151230;182546;248645;299217;358197;416494;394831;462394;519937;565121;605723;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;1660;3114;13260;34717;46205;63449;81432;80868;92802;122636;137180;174941;202045;191473;226176;254387;271034;284900;
Ямало-Ненецкий автономный округ;-;-;2815;2807;4278;11342;18938;23275;22259;20891;26913;35611;43350;68629;79640;69852;79733;92583;101213;109889;
Тюменская область без автономных округов;6259;12101;16884;24750;32537;19310;20763;32036;50887;49471;62831;90398;118687;114627;134809;133506;156485;172967;192874;210934;
Челябинская область;4150;6626;9286;13077;20527;28085;37111;52641;74299;75688;96752;133509;160500;192922;228612;226455;277801;310320;348181;377279;
Сибирский          федеральный округ;19440;30620;43259;62798;101570;130746;175719;246500;325138;334564;433039;611256;751467;927257;1095244;1065968;1303890;1480388;1656921;1714406;
Республика Алтай;93;5;209;18;68;572;769;1110;1551;1706;2303;3631;4029;5017;5934;6312;7075;7493;8553;9288;
Республика Тыва;102;154;44;318;512;604;739;1096;1402;1580;2307;3034;3762;4799;6341;5690;6546;7548;8465;9420;
Республика Хакасия;436;695;139;1340;2020;2508;3128;4509;5814;6183;8201;11724;14637;18212;22794;20036;25158;29779;33084;37321;
Алтайский край;2359;3728;4986;7291;10948;13013;17124;24228;32723;35000;45040;66133;77868;89871;106160;101340;129844;144397;160335;172802;
Красноярский край ;3997;6422;9679;12451;20650;26003;32775;45498;57755;59733;76267;105687;129846;161941;195997;183967;220092;244739;274097;302115;
Иркутская область;3401;5184;6888;9934;15569;18866;25909;36717;46697;49141;61097;86539;104737;133119;158639;148411;181891;210322;237544;260919;
Кемеровская область;3440;5052;7167;10402;16024;21423;30673;42018;56106;57721;72725;102715;124990;149088;160598;157264;189333;209995;234630;254141;
Новосибирская область;2351;3792;5660;8734;15577;21874;31297;44839;61975;63729;87816;124879;159552;201249;240659;252250;311644;369605;418388;361775;
Омская область;2106;3623;5330;7669;11860;15261;20106;28509;37670;36360;46900;64653;79607;98857;119423;114955;139618;155134;170389;185440;
Томская область;1155;1965;3157;4641;8342;10622;13199;17976;23445;23411;30383;42261;52439;65104;78699;75743;92688;101376;111436;121186;
Дальневосточный    федеральный округ;10501;16562;23374;34482;55329;76111;100345;144997;199387;210935;277960;391626;479723;580839;685815;674927;808137;897792;992677;1077384;
Республика Бурятия;604;1038;1482;2207;3442;4590;5548;7348;10159;10824;14432;21237;25636;29585;35948;33870;40614;43371;51259;54241;
Республика Саха (Якутия);1608;2887;4198;5806;8399;10343;12912;16887;21151;21855;28357;38513;48065;59665;69602;67812;79696;88176;99976;106515;
Забайкальский край;777;1290;1719;2614;4155;5373;7031;9667;12696;13219;17301;24214;29823;36721;45792;43573;51928;58249;67627;74748;
Камчатский край;600;173;346;797;1304;4964;6616;9376;12859;13906;17656;24506;30984;37140;43949;42854;52092;59762;67695;72977;
Приморский край;2187;5956;4398;9041;14322;15380;20728;31993;45631;47997;66879;97035;121553;150270;176276;173830;213179;236895;262638;288448;
Хабаровский край;1920;3164;6544;7002;12210;17096;23000;34751;48085;51902;68019;95063;112922;133158;152522;150398;177235;192440;205115;222824;
Амурская область;803;1215;1678;2461;4062;5370;7006;10048;14452;16226;22096;31975;38843;44507;55115;54389;64541;70514;79939;89057;
Магаданская область;446;728;2706;3877;5688;3229;4239;5801;7505;8214;9826;14208;17773;21863;24340;25536;30402;33756;37439;38884;
Сахалинская область;1099;88;222;488;1401;7367;10240;15335;22227;21132;26688;36926;43822;54197;64950;66262;79873;94079;99034;104251;
Еврейская автономная область;127;13;33;61;136;916;1207;1542;2205;2473;2820;4011;5284;6847;8512;8753;9896;10919;11498;13179;
Чукотский автономный округ;330;10;48;128;210;1483;1816;2249;2417;3187;3886;3938;5018;6886;8809;7650;8681;9632;10457;12260;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
