Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9.1. Всего;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;602755;811713;1088016;1430669;1789735;2271733;2798901;3424731;4079603;4504455;4943482;5540654;6036839;6927482;7467521;8050808;8636277;9211441;9703358;
Центральный федеральный округ;251462;326917;431565;574678;700128;858524;1047659;1261987;1460330;1583098;1701293;1872211;2017122;2340150;2511429;2692079;2979150;3180229;3304964;
Белгородская область;3162;4726;5904;7776;10401;13641;17409;22575;30666;37793;44437;49776;53115;64115;70453;74393;77677;80858;83389;
Брянская область;3536;5026;6505;8374;11115;13747;17107;20630;24723;26946;30111;34125;36157;40064;42682;45074;47410;49891;53159;
Владимирская область;3095;4196;5679;7820;10266;13992;17835;22617;27066;33495;38780;43514;49433;59776;64011;66909;66896;68739;69816;
Воронежская область;4936;7448;10171;12755;15307;21108;26667;32512;39737;48503;59386;68502;77445;90948;99564;110399;118238;124816;129070;
Ивановская область;2682;3265;4498;6077;7953;9990;11742;14350;16815;19681;23032;26236;28351;32582;36921;38453;40152;41799;43856;
Калужская область;2321;3266;4661;6806;8242;10549;13593;17149;20961;24135;27030;30237;33168;37991;41291;43478;45272;47060;49224;
Костромская область;1263;1728;2471;3151;4061;5524;6987;8930;10067;11102;14584;16524;18079;21009;22608;24043;24989;25840;27084;
Курская область;2075;3059;4225;5968;7750;10819;15211;18644;23828;26153;28789;31263;34416;40004;44707;48382;50980;52532;54750;
Липецкая область;2736;3778;4864;6888;9175;11541;14965;18143;22246;26091;30928;35229;39464;45833;50959;55228;59430;63056;65897;
Московская область;25454;36787;50478;67088;85873;108058;136295;167028;201491;223657;258156;285879;305363;404496;427558;452056;468005;491240;508439;
Орловская область;1665;2435;3483;4747;5883;7524;8666;10024;11528;14616;16888;20061;22342;26025;28261;30770;32630;34288;34630;
Рязанская область;2172;3330;4795;6434;8526;10700;13208;16136;19362;22364;27073;30230;32291;35332;37909;39834;43071;46087;49497;
Смоленская область;2495;3094;3883;5601;7091;9060;11151;13937;16238;17258;19828;22551;24020;26785;30038;31238;32079;33546;34791;
Тамбовская область;2615;3844;5055;6774;8382;10680;12997;16257;21579;24337;26894;29933;33599;38694;42425;44634;46764;48096;49813;
Тверская область;2822;4062;5649;8027;11772;16451;20180;24958;28600;30462;30556;33784;37402;41490;42023;46361;49674;52048;55654;
Тульская область;3802;5043;7356;9645;12432;16967;21101;25272;30846;34931;38616;45056;49520;55353;59851;64389;66019;69594;72838;
Ярославская область;3906;5654;7407;9701;12371;17239;23348;28489;27359;31184;32219;35406;37998;41597;46012;48324;52024;54972;59625;
г. Москва;180724;226174;294480;391045;463528;550932;659198;784336;887217;930389;953986;1033906;1104958;1238055;1324156;1428114;1657841;1795769;1863432;
Северо-Западный федеральный округ;58468;81430;111753;147688;195499;250966;307871;379684;451998;493287;555961;621214;675511;734078;777256;826165;880570;944408;1010194;
Республика Карелия;2237;2937;3968;5630;7181;9029;10907;13187;13994;15726;18320;20255;22656;25094;27318;28843;30796;33410;35069;
Республика Коми;3632;5726;7492;10093;13590;16508;20395;24379;28728;32129;34826;38124;40449;44460;45735;45899;47153;48515;50019;
Архангельская область;3871;5321;7583;9388;13627;18066;23670;32227;39265;44019;46664;52495;57539;54294;59625;63710;65824;68478;71279;
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;84;116;149;225;284;325;544;785;1122;1634;1641;1740;2102;2349;2513;2719;2893;2728;3029;
Архангельская область     без автономного округа;;;;;;;;;;;;;;51945;57112;60991;62931;65751;68250;
Вологодская область;3797;5212;7161;8775;11503;15945;20545;24581;29268;31681;34793;39310;41259;46323;50739;53308;54554;55811;57847;
Калинингpадская область;3002;4208;5911;7381;9201;12041;15814;19685;23915;26736;29769;31658;34252;37991;41852;45810;51268;56102;59596;
Ленинградская область;3170;4638;6741;8516;10703;14823;18488;21535;25616;31178;36702;41774;46800;53906;57997;63004;69067;73632;78538;
Мурманская область;4304;6269;8934;12220;16196;22941;27717;31580;35383;39200;37795;40237;43145;50682;54788;54962;56778;56470;59851;
Новгородская область;2017;2582;3523;4857;6466;8072;9758;11759;14310;16488;19426;22769;26213;28870;31721;33070;33025;32209;32604;
Псковская область;1536;2205;3184;4356;5815;7173;9117;10686;12709;14763;16330;18285;19429;19786;21039;23489;24693;25635;26893;
г. Санкт-Петербург;30903;42331;57255;76470;101219;126367;151461;190066;228811;241367;281338;316308;343769;372674;386444;414069;447412;494145;538497;
Южный          федеральный округ;42908;59962;80182;105575;133121;171113;213181;268012;323293;371893;415199;469854;523100;629607;714471;874205;938393;1004338;1075798;
Республика Адыгея;768;979;1207;1732;2417;3145;3368;4024;5254;6017;6281;7373;8451;10176;11243;11515;12679;13304;13495;
