Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ;;;;;;;;;;;;;;;;
18.4.2. Число персональных компьютеров с доступом к сети Интернет1);;;;;;;;;;;;;;;;
(штук);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4;5;7;9;11;13;15;18;21;24;26;29;31;32;33;35
Центральный федеральный округ;6;8;9;12;15;18;20;23;26;30;31;36;38;39;40;41
Белгородская область;3;6;6;7;9;11;13;15;18;19;22;25;28;29;31;32
Брянская область;2;2;3;4;5;7;8;11;13;16;17;20;23;24;26;28
Владимирская область;2;3;4;5;8;9;11;14;16;20;22;26;27;28;28;30
Воронежская область;3;4;4;6;7;9;11;14;16;19;21;24;26;28;29;31
Ивановская область;3;4;5;6;8;9;12;15;19;23;26;29;30;31;33;34
Калужская область;4;4;6;6;9;11;13;16;19;22;25;28;31;33;34;37
Костромская область;2;3;5;6;7;9;11;14;17;21;21;25;27;28;29;31
Курская область;2;3;4;5;6;7;10;12;15;18;19;23;23;26;28;29
Липецкая область;2;3;4;5;6;8;10;12;15;18;21;25;25;28;28;33
Московская область;3;5;5;8;9;12;15;18;20;22;21;27;28;30;31;28
Орловская область;3;4;3;5;7;10;12;15;16;20;22;24;27;29;31;31
Рязанская область;3;4;5;7;8;10;11;14;16;19;22;25;26;30;30;35
Смоленская область;2;2;3;4;5;7;8;11;13;17;19;21;23;24;26;28
Тамбовская область;2;3;4;6;7;9;11;13;16;20;22;24;26;27;29;31
Тверская область;2;3;3;5;7;9;11;14;16;19;21;24;27;28;29;30
Тульская область;2;3;4;5;6;7;10;12;14;17;21;23;25;25;24;27
Ярославская область;5;5;5;7;10;12;14;15;18;22;24;26;29;31;32;34
г. Москва;15;19;22;26;32;36;37;42;43;51;54;57;59;58;59;61
Северо-Западный    федеральный округ;5;7;7;10;12;15;17;19;22;26;28;32;32;34;36;37
Республика Карелия;6;5;8;10;12;16;18;21;19;27;29;33;37;33;36;36
Республика Коми;3;4;5;6;8;11;13;16;18;20;21;26;27;28;28;31
Архангельская область;3;4;4;6;7;9;11;11;16;18;22;23;24;26;27;28
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный     округ;8;8;6;8;12;11;11;16;17;22;26;28;31;31;32;32
Архангельская область      без автономного округа;3;4;4;6;7;8;11;11;15;17;22;23;23;25;26;28
Вологодская область;3;5;5;6;8;10;13;14;18;22;25;29;29;30;32;35
Калининградская область;5;6;7;9;10;13;16;19;22;26;28;29;31;35;34;35
Ленинградская область;3;5;4;6;9;11;14;17;19;21;23;26;27;30;30;32
Мурманская область;5;6;6;8;10;12;14;16;19;21;24;27;30;30;31;32
Новгородская область;4;6;6;7;8;10;12;16;19;20;23;26;29;29;30;32
Псковская область;3;3;4;6;8;9;11;14;16;19;22;24;28;27;28;29
г. Санкт-Петербург;9;11;11;15;18;21;23;26;29;33;35;38;38;40;43;44
Южный            федеральный округ;3;4;5;7;8;10;12;14;18;24;26;24;26;28;30;31
