Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
10. ОСНОВНЫЕ ФОНДЫ;;;;;;;;;;;;;;;;;;;;;
10.1. СТОИМОСТЬ ОСНОВНЫХ ФОНДОВ1) ;;;;;;;;;;;;;;;;;;;;;
"(на конец года; по полной учетной стоимости; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Тамбовская область;127462;158862;162004;201944;212086;243714;269738;340731;391686;418694;467691;521673;560953;622355;709051;739324;798260;844454;891585;;
Тверская область;188672;209654;240683;306629;339189;368001;429239;537076;589581;663770;729864;825225;960495;1008414;988296;1029363;1212653;1250215;1333698;;
Тульская область;168150;197921;232726;266508;274181;287642;335199;377757;431106;492051;562328;635993;699627;765072;858386;946661;1033088;1116603;1243801;;
Ярославская область;199812;243393;272638;359037;384339;480593;535264;648365;717989;770917;821370;934472;994998;1115615;1024943;1075784;1226233;1311286;1393220;;
г. Москва;1444737;1841258;2255912;3297504;3905553;5346984;6142520;9506888;14877108;15356818;17905142;20169118;23445895;26546945;28890410;30078000;36338093;36604923;40602319;;
Северо-Западный федеральный округ;1789585;2083416;2629404;3417342;3663691;4134214;4976071;6244131;7196426;8041564;9107642;10905713;12675792;14411740;16021207;17400366;20330095;21841648;23715831;;
Республика Карелия;103488;123308;148241;174757;198482;214925;243546;296563;323513;347961;393841;408974;443696;485437;521336;550036;675940;700701;744483;;
Республика Коми;227521;307401;386680;445128;472593;578010;727893;843245;994739;1084970;1245540;1365693;1717183;1937731;2387770;2604880;3051661;3207276;3359325;;
Архангельская область;222595;205633;271575;394995;402806;452384;541730;684202;846044;968119;1068113;1161604;1259415;1399524;1508181;1621368;1957337;2174492;2337567;;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;17761;19456;23169;29997;34435;56407;76978;103611;214738;271344;317535;347152;409702;433177;483967;551986;755231;887421;944823;;
Архангельская область без автономного округа;;;;;;;;;;696775;750578;814452;849713;966347;1024214;1069382;1202106;1287071;1392744;;
Вологодская область;162550;186999;252460;332752;344991;400094;478439;674525;723043;757254;828642;1018443;1144210;1236470;1347451;1403785;1549344;1712354;1837512;;
