Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.25. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ на 10 000 человек населения;;;;;;;;;;;;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Самарская область;340;411;474;506;533;555;558;568;568;550;512;468;441;406;371;346;321;313;304
Саратовская область;309;356;399;429;460;480;485;490;504;510;473;441;413;388;364;340;323;309;306
Ульяновская область;232;266;307;344;377;406;419;422;441;440;441;419;387;362;336;312;294;296;293
Уральский     федеральный округ;;;;;;;;;;;;;;;;;;;
Курганская область;189;220;250;274;301;349;368;390;410;411;397;378;347;312;273;246;209;207;199
Свердловская область ;339;387;403;441;472;479;480;488;503;497;465;432;408;386;338;313;280;289;278
Тюменская область;253;301;406;454;473;505;504;502;497;473;450;413;376;344;309;263;240;227;216
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;98;110;204;339;340;366;357;357;348;322;299;278;251;238;214;168;155;149;142
Ямало-Ненецкий       автономный округ;-;18;49;227;241;284;250;223;228;209;213;194;157;135;104;49;29;18;14
Тюменская область     без автономных округов;;;;;;;;;;;;;;543;494;449;411;388;368
Челябинская область;302;361;424;421;430;464;487;527;549;529;517;478;437;400;357;315;289;278;266
Сибирский        федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Алтай;286;296;300;300;294;278;272;254;263;262;250;251;249;182;163;155;141;135;127
Республика Тыва;141;144;154;169;189;204;206;210;190;190;196;191;194;187;170;158;137;144;154
Республика Хакасия;263;278;347;355;378;341;391;396;373;363;327;290;253;220;199;160;159;159;163
Алтайский край;236;260;309;331;346;385;379;382;378;372;355;344;339;305;290;255;220;218;216
Красноярский край;320;361;400;417;426;460;451;448;457;435;421;394;387;359;336;313;282;267;257
Иркутская область;332;292;429;464;482;510;520;524;522;514;494;464;440;408;372;328;298;289;285
Кемеровская область;253;598;327;349;365;384;380;385;380;362;343;318;301;280;247;227;194;191;180
Новосибирская область ;515;367;594;624;627;645;647;648;646;621;580;526;498;463;426;399;380;362;346
Омская область;319;781;421;441;469;495;524;530;533;547;527;517;501;486;448;448;421;411;405
Томская область;691;196;793;820;869;747;867;866;884;827;785;737;670;619;606;590;554;549;548
Дальневосточный        федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Бурятия;243;263;283;305;329;400;402;495;494;507;501;477;470;399;358;342;292;253;227
Республика Саха (Якутия);222;275;393;442;460;489;478;458;492;513;497;437;397;368;318;280;253;248;251
Забайкальский край;184;98;271;344;363;330;324;337;362;331;370;346;335;304;277;249;227;218;217
Камчатский край;254;301;458;481;495;518;477;471;432;456;479;453;392;323;258;202;167;160;155
Приморский край;323;369;420;440;480;509;508;488;499;497;479;460;393;342;314;281;267;255;250
Хабаровский край ;429;511;566;565;609;646;635;638;638;631;603;586;545;513;479;417;379;359;347
Амурская область;261;289;336;365;359;374;350;343;345;355;340;333;313;296;271;240;209;199;191
Магаданская область;227;272;391;424;397;584;606;630;697;685;625;602;556;453;354;304;246;225;217
Сахалинская область;134;179;261;247;260;269;313;317;320;309;284;258;237;187;194;182;151;144;122
Еврейская автономная область;202;297;320;348;338;450;441;403;426;439;433;427;407;311;236;190;141;130;128
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;13;25;102;95;92;58;35;34
