Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
20. ФИНАНСЫ;;;;;;;;;;;;;;
20.18. ОТДЕЛЬНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ СТРАХОВЩИКОВ, ИСХОДЯ ИЗ МЕСТА ЗАКЛЮЧЕНИЯ ДОГОВОРА;;;;;;;;;;;;;;
20.18.1.  Страховые премии (взносы)1);;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;506151,1;613673,7;677098,9;953189,2;978376,8;1034216,2;1257177,3;809974,9;900141,3;981592,9;1032673,0;1182916,2;1284683,7;1485196,0
Центральный      федеральный округ;254312,7;290975,7;345423,9;405545,0;427947,3;457005,6;544509,2;450174,7;520158,9;584078,1;618660,7;731595,6;811687,7;994240,4
Белгородская область;2989,7;3608,8;4545,3;5738,6;6014,4;6602,6;7272,0;3215,9;3768,0;4593,5;4667,3;5571,7;5141,9;5408,0
Брянская область;1928,7;3041,0;3461,5;4371,2;4470,4;4422,3;6164,0;2354,0;2729,6;2781,0;3028,6;3293,4;3547,9;3766,5
Владимирская область;2287,6;3473,7;4572,6;6978,6;7491,6;7775,6;8746,0;3953,2;4217,8;4507,9;4932,2;5386,1;5752,4;6107,1
Воронежская область;4679,0;5321,4;6892,5;8966,3;10095,8;9164,8;11795,9;5428,2;6448,5;6862,0;7469,2;8473,4;8266,4;8594,4
Ивановская область;1308,6;2474,1;2884,9;3920,1;3836,5;4043,8;4641,1;2351,1;2454,3;2458,6;2812,5;2835,0;3192,4;3323,3
Калужская область;1970,2;2471,0;3065,8;4062,4;4159,9;4678,7;5932,0;2788,5;3073,1;3126,4;3262,3;3531,0;4035,1;4620,8
Костромская область;569,6;930,0;2147,2;2310,6;2542,7;2583,2;2952,8;1287,1;1397,2;1497,3;1733,7;1877,9;1982,2;2085,4
Курская область;1390,2;2299,0;3165,5;4188,1;4407,5;4437,7;5434,1;2302,9;2672,8;2828,8;3065,7;3673,5;3730,1;3712,7
Липецкая область;3235,4;3538,3;4530,5;5122,8;4936,5;5451,4;6540,5;2683,6;2881,8;3036,4;3289,5;3549,3;3314,1;3627,8
Московская область;34577,6;27860,4;34692,1;45183,1;43946,2;43732,8;53043,1;23456,5;23890,3;23500,8;27490,6;31129,5;29708,3;42221,9
Орловская область;1592,8;1805,7;2422,0;2776,4;2927,1;2872,8;3325,5;1475,7;1776,3;1729,3;1891,6;2125,4;2190,3;2038,6
Рязанская область;2344,7;2582,0;3403,6;4610,0;4968,0;5290,5;7019,2;3339,2;3686,3;3906,7;4330,0;4826,1;4777,1;4764,4
Смоленская область;846,0;1359,8;2834,4;3645,9;4259,1;4431,3;5818,4;2320,8;2757,7;3175,3;3392,0;4102,2;5011,4;5216,1
Тамбовская область;1832,4;2133,6;2575,0;3132,2;3577,4;3727,4;4364,9;1658,2;1957,0;2477,0;2460,4;2545,3;2453,3;2778,9
Тверская область;2620,1;3174,1;3373,0;5031,4;5699,9;6079,7;7539,5;3372,4;3517,3;3526,5;4023,9;4625,8;5057,0;5117,2
Тульская область;2708,3;3514,9;4707,0;6412,5;7488,2;7234,2;10186,4;3956,5;4734,5;4401,3;4722,9;5210,4;6015,3;6483,0
Ярославская область;3308,1;4428,2;5449,0;6398,6;6425,7;6905,4;8277,8;3702,4;4029,7;4505,3;4938,0;4879,0;5088,7;5309,2
г. Москва;184122,7;216959,7;250701,9;282696,2;300700,5;327571,3;385456,1;380528,4;444167,0;505163,9;531150,5;633960,5;712424,1;879064,9
Северо-Западный    федеральный округ;52442,8;66642,6;83041,0;103243,8;100590,0;107549,2;135692,4;85823,4;86342,7;92419,0;100420,4;107378,5;112681,7;117429,9
Республика Карелия;1701,9;2095,4;3211,5;3972,9;4133,7;4107,1;5158,7;2134,8;2172,8;2313,6;2336,4;2475,0;2467,2;2621,9
Республика Коми;2768,1;3636,8;5129,9;5649,5;6155,2;7510,7;9400,3;2587,3;2782,7;2916,5;3107,0;3508,7;3521,9;3488,8
Архангельская область;3398,3;4417,5;5626,4;6952,1;7590,5;7631,6;9674,9;3646,6;3756,3;3809,6;3908,0;4421,2;5192,1;5235,4
Ненецкий автономный округ;25,4;214,1;241,2;360,9;52,8;12,1;-;-;14,5;22,4;66,1;84,4;52,0;31,2
 в том числе   Архангельская   область без автономного округа;3372,9;4203,4;5385,2;6591,3;7537,6;7619,5;9674,9;3646,6;3741,8;3787,2;3842,0;4336,8;5140,1;5204,2
Вологодская область;4640,4;5681,9;6960,6;8358,8;8038,6;7522,5;8815,5;10377,1;4845,2;5168,3;5522,0;5316,6;5491,2;5511,4
Калининградская область;2517,9;3338,7;4538,5;4879,8;5272,9;6427,7;8483,1;2920,3;3092,6;3316,4;3782,2;4929,0;4884,9;4948,7
Ленинградская область;2792,3;2250,6;2585,8;3426,8;2593,7;3417,0;8779,8;3580,1;3467,8;3841,6;5008,1;5643,6;4792,4;4997,4
Мурманская область;2816,4;4364,8;5269,9;5962,6;6017,2;5019,5;5811,9;2512,6;2674,4;2879,0;2939,5;3264,9;3645,6;3896,3
Новгородская область;1007,1;1895,7;2169,3;2947,5;2993,9;3096,1;3594,7;1781,6;1928,0;1908,1;2008,9;2010,6;2117,5;2099,6
Псковская область;1417,2;1605,7;1767,5;2312,9;2392,9;2402,3;3127,6;1280,6;1369,7;1471,2;1670,9;1849,4;1951,7;2026,9
г. Санкт-Петербург;29383,2;37355,5;45781,6;58781,0;55401,4;60414,6;72845,9;55002,5;60253,1;64794,7;70137,6;73959,4;78617,2;82603,6
Южный             федеральный округ;25387,5;32576,9;45803,9;58389,3;57583,3;62027,4;75129,4;37866,5;40602,4;42312,6;45641,4;51896,2;50311,0;54760,3
Республика Адыгея;770,0;974,6;1172,1;1315,4;1330,6;1467,6;1667,1;641,3;587,3;554,3;672,5;542,5;537,5;613,1
Республика Калмыкия;442,7;608,1;619,7;845,6;938,2;901,1;1026,5;377,4;439,8;359,3;346,3;307,2;260,7;343,5
Республика Крым;;;;;;;;;;105,2;470,6;2800,2;1139,8;1951,6
Краснодарский край;9975,7;10985,6;17710,4;23330,1;23846,4;25278,4;30847,1;17059,5;18308,2;19633,4;22425,1;23786,6;23408,5;25338,4
Астраханская область;1921,0;2660,4;3297,7;3957,2;3878,8;4277,6;4802,6;2653,8;2709,5;2971,6;3103,8;3278,7;3679,7;3695,1
Волгоградская область;3619,3;5304,4;8270,1;10488,1;9640,3;10303,3;12763,4;5747,4;6157,7;6934,7;6811,8;6818,1;7389,3;7949,6
Ростовская область;8658,9;12043,8;14733,9;18452,8;17949,0;19799,5;24022,7;11387,0;12399,8;11731,0;11694,8;14201,2;13777,0;14636,3
г. Севастополь;;;;;;;;;;23,2;116,7;161,7;118,5;232,7
Северо-Кавказский    федеральный округ;9405,8;12537,9;15787,8;22429,3;28438,7;29768,4;34632,0;9677,5;10538,6;10982,9;11869,0;12824,4;11261,7;11937,9
Республика Дагестан;3204,1;3414,8;3846,6;5769,0;6937,3;7502,9;7511,2;1282,4;1187,8;1319,8;1643,5;1910,0;1307,8;1129,1
Республика Ингушетия;47,2;88,4;335,2;638,3;869,5;1438,8;1751,3;313,5;178,5;272,6;253,2;185,0;138,8;110,4
Кабардино-Балкарская Республика;216,8;479,6;880,1;2292,8;2557,8;2611,1;2932,0;843,0;734,7;857,0;927,9;959,8;720,7;708,8
Карачаево-Черкесская Республика;492,0;782,9;849,6;1101,6;1419,2;1424,7;1752,4;357,8;453,5;538,5;522,1;357,8;263,6;281,9
Республика Северная Осетия - Алания;161,8;1397,2;1527,7;1684,3;1963,7;1837,0;2238,5;563,8;635,3;512,0;706,0;688,4;568,5;533,1
Чеченская Республика;369,8;274,7;1179,6;1864,0;3524,3;4209,9;4870,4;252,6;450,8;566,7;589,4;665,3;719,0;562,1
Ставропольский край;4914,3;6100,4;7169,1;9079,4;11166,9;10744,0;13576,1;6064,4;6898,0;6916,3;7226,9;8058,1;7543,3;8612,5
Приволжский       федеральный округ;60981,8;82313,6;113310,6;148910,2;151022,2;158337,0;199312,4;98934,6;107926,0;113568,7;115429,5;127052,7;131231,7;137477,8
Республика Башкортостан;3938,4;7555,9;14946,7;18681,0;18086,7;18852,9;25944,5;11671,0;12318,6;12894,4;13253,6;15276,5;15750,2;17203,2
Республика Марий Эл;1175,6;1619,7;1932,6;2432,3;2418,2;2351,9;2761,8;1272,4;1399,0;1698,6;1944,7;2136,9;2046,0;2088,0
Республика Мордовия;1080,0;1357,6;2015,6;2830,4;2688,1;2958,5;4563,4;1773,2;1853,3;1865,8;2010,7;2244,5;2386,1;2460,1
Республика Татарстан;16010,1;16138,8;21689,9;27706,8;26492,1;26285,5;31814,5;19322,7;20435,5;22087,7;23444,5;24662,1;24808,5;26505,4
Удмуртская Республика;1580,2;2198,8;3646,5;8070,1;9069,7;9213,8;10941,2;4453,7;4896,5;5023,2;5373,2;5924,7;6169,3;6213,5
Чувашская Республика;2280,2;2716,4;3657,6;4865,2;5253,0;6294,7;7631,8;2844,6;3101,0;3454,0;3599,7;3868,1;3879,0;4105,4
Пермский край;4707,0;8140,7;13608,5;16347,6;15375,9;15541,6;18703,6;9213,1;9891,6;10216,7;10710,8;11884,6;12629,6;12267,8
Кировская область;1602,8;3384,2;4242,7;4730,7;6167,3;6500,9;8419,0;3115,7;3466,4;3740,0;3899,0;4241,0;4425,5;4539,5
Нижегородская область;9758,0;12171,8;14387,3;19211,5;20406,1;20537,1;24324,0;12824,7;14051,5;14384,7;14836,7;15774,3;16593,5;16906,6
Оренбургская область;2142,0;2488,9;4102,3;6765,3;4984,8;6558,5;12673,9;5279,1;5668,3;6100,1;6169,7;6319,8;6093,1;6802,5
Пензенская область;1893,6;2388,5;1956,4;3822,1;4552,7;5378,7;6387,6;2419,6;2630,8;3207,7;3385,1;3825,0;3890,3;3898,0
Самарская область;9981,6;13213,4;15462,1;18804,3;19781,3;19911,1;24557,7;14929,6;17609,9;17999,5;15934,2;18765,4;20338,0;21708,0
Саратовская область;3195,8;6818,6;8244,9;10789,6;11059,4;12073,1;13578,2;6312,0;6999,1;7073,3;6706,1;7064,4;7238,1;7254,1
Ульяновская область;1636,5;2120,4;3417,7;3853,4;4686,8;5878,7;7011,2;3502,9;3604,4;3823,1;4161,5;5065,4;4984,6;5525,6
Уральский       федеральный округ;36775,3;46040,1;70243,9;87917,0;80815,3;81645,9;94780,9;59506,4;61817,6;62489,4;61148,1;63821,0;71088,6;73296,4
Курганская область;585,4;621,2;1699,3;3024,5;3568,2;3671,1;4223,5;1727,2;1846,7;1843,9;1970,5;1985,3;1924,7;2242,9
Свердловская область;8637,3;11050,0;24191,0;29171,2;24882,1;26054,3;31109,3;20619,2;21371,1;20654,6;20471,4;21724,1;22858,1;24207,3
Тюменская область;20971,1;23404,8;29805,0;36945,7;33842,5;33135,7;44210,0;24104,8;25186,0;26546,9;24594,2;24991,1;30425,1;30092,8
в том числе:;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;8785,7;9785,8;10720,0;11687,2;12038,2;10159,4;16327,6;4738,4;5202,2;10637,3;12220,7;10405,0;12971,2;13581,0
Ямало-Ненецкий автономный округ;1888,3;1162,3;1937,7;2256,1;3019,7;2659,5;3132,1;555,3;598,0;2270,8;2949,3;3377,1;3690,9;4702,7
Тюменская область без автономных округов;10297,1;12456,8;17147,3;23002,3;18784,6;20316,8;24750,3;18811,1;19385,8;13638,8;9424,2;11209,0;13763,0;11809,1
Челябинская область;6581,5;10964,2;14548,7;18775,6;18522,5;18784,8;15238,1;13055,2;13413,9;13444,0;14112,1;15120,4;15880,8;16753,3
Сибирский      федеральный округ;45942,6;53806,4;66304,2;82054,0;82581,4;87265,7;112897,4;47349,4;50956,5;51809,4;54515,0;59704,2;62673,5;64226,3
Республика Алтай;438,2;681,5;647,5;832,6;879,8;899,8;1062,8;300,5;366,6;229,2;411,0;312,0;321,0;401,8
Республика Тыва;86,6;564,7;1395,8;1492,1;1772,5;1825,8;2134,8;333,3;337,1;321,6;246,0;243,4;335,7;488,0
Республика Хакасия;907,8;1400,4;1484,1;2256,5;2324,5;2526,2;3007,3;867,3;950,4;1107,0;1077,2;1239,8;1297,6;1262,6
Алтайский край;2615,6;2790,9;3678,9;4301,0;3019,3;4412,6;12937,0;3962,0;3918,5;4134,6;4950,7;5142,0;5556,8;5462,0
Красноярский край;10891,1;11405,3;14087,6;16012,2;16502,3;18806,9;25118,4;8762,8;9410,2;9942,1;9452,1;10148,3;11205,5;12087,8
Иркутская область;7236,7;8511,4;10425,5;13824,9;15360,1;14890,3;15655,7;7622,7;8484,3;8791,1;8821,5;9659,9;10173,6;9491,2
Кемеровская область;7594,7;9244,5;10857,7;13697,0;13290,1;14263,2;17881,2;8270,1;8583,3;8009,1;8573,5;9306,8;9661,8;10172,8
Новосибирская область;8701,1;9900,1;12781,7;15474,6;13691,2;14857,0;17189,3;9209,5;10166,8;10535,8;11603,6;13142,7;12931,2;13335,5
Омская область;4158,9;5068,9;5854,3;7325,0;9354,3;7959,9;9946,6;4864,6;5359,2;5439,4;5880,7;6664,5;7014,2;6594,9
Томская область;3311,9;4238,6;5090,9;6838,0;6387,3;6824,0;7964,3;3156,6;3380,1;3299,5;3498,7;3844,8;4176,1;4929,8
Дальневосточный     федеральный округ;20902,5;28780,6;33094,2;44700,4;49398,7;50617,2;60223,7;20642,5;21798,6;23932,8;24988,8;28643,7;33748,0;31827,0
Республика Бурятия;2056,2;2394,8;2840,2;3853,9;3806,7;3981,0;4737,0;1733,1;1882,8;1946,1;1805,4;2124,2;2306,5;2176,9
Республика Саха (Якутия);4076,2;4670,5;5086,5;6058,9;7217,5;7712,0;10657,3;2554,1;2717,9;3027,8;2848,6;3218,6;3557,0;3896,8
