Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.13. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ЮРИДИЧЕСКИМ ЛИЦАМ 1) ;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;243241;503443;818616;1056808;1538495;2306085;3079029;4551497;7001134;8844172;9109136;10495586;13614166;16142550;17963336;20659502;20888976;21731671;22880037;25760819
Центральный       федеральный округ ;156633;268986;392478;508281;789196;1237778;1562183;2260073;3459041;4216867;4511437;5164700;6861969;8299222;9181632;10722673;10756692;11565600;12350989;14333698
Белгородская область;1011;2406;6766;10317;15354;22728;37597;116128;166814;168585;162987;214104;222582;240495;225351;215824;248187;213662;203197;223929
Брянская область;505;1248;1853;2427;3620;5421;9990;15884;22335;25514;25126;27706;35558;50809;63122;72657;77680;85585;109043;115653
Владимирская область;707;2652;5262;7032;9473;12325;16053;22700;37400;44023;43178;52060;64127;69259;77415;88074;87898;80270;83482;89659
Воронежская область;1585;4420;7919;10324;16077;23851;31121;39644;61983;88394;101777;120564;157686;209873;247802;265902;267303;244812;265630;301047
Ивановская область;403;815;982;1649;2679;3996;8302;12215;20416;24848;28228;32467;40138;41361;42906;41024;35905;35094;34844;32247
Калужская область;666;1927;3271;4032;5627;8143;11242;17027;27350;35173;42467;53679;65762;84824;93963;118047;125067;132016;128271;152387
Костромская область;150;560;913;1260;2250;4281;6661;10540;16967;21320;20238;21858;27037;33399;37695;35996;31811;28024;26039;20440
Курская область;659;2699;3589;5006;5837;9848;17658;25646;42101;58878;61907;74469;91496;143835;156264;165050;158337;168191;187212;184224
Липецкая область;628;1552;2850;4856;7537;12317;21181;39251;58416;61943;67423;80744;98828;98075;91821;97241;102498;110965;129624;157419
Московская область;3931;10624;21866;35978;61996;109177;184532;241025;341554;516892;508044;522860;681473;790946;886391;1130498;1157736;1276576;1406640;1642410
Орловская область;755;2147;2415;4110;4515;10020;15412;19268;25131;36083;39626;50246;67930;56039;52515;56597;57611;64243;67926;85903
Рязанская область;615;1354;2592;4858;6015;9098;14790;21855;32986;42904;43673;49913;61126;73322;84592;89578;83157;81877;85581;95922
Смоленская область;580;2115;3235;4845;6282;7102;9739;14467;22216;28433;30427;45240;54329;66245;59399;64293;62018;52693;48005;41729
Тамбовская область;380;1148;2108;2907;4990;8294;11492;19618;25110;31072;29572;43699;65237;82486;75146;85078;87235;83320;81332;141151
Тверская область;599;1010;1683;3380;5419;8762;13019;17707;29658;39505;39426;42156;50820;56764;62277;60344;62692;67531;63117;77225
Тульская область;1095;3238;5989;8693;11181;14464;18616;25537;43872;50360;51268;65652;79074;102962;107889;147828;162004;166200;223251;314367
Ярославская область;1322;4467;7645;12764;13742;25103;38927;51591;59924;75288;83806;89109;101607;105095;127371;127730;126022;147942;158060;189185
г. Москва;141042;224604;311542;383842;606605;942848;1095851;1549970;2424808;2867652;3132264;3578174;4897159;5993433;6689713;7860912;7823531;8526599;9049734;10468802
Северо-Западный      федеральный округ;16104;34936;63284;87860;131247;197536;280028;451373;699727;891370;872688;1083007;1464154;1793541;1992588;2245380;2188849;2055824;2199637;2576300
