Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ ;;;;;;;;;;;;;;;;;;;;
16.9.2. На душу населения;;;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Республика Ингушетия ;692;908;1098;1579;2445;2572;5745;13548;14911;16344;18108;19233;20249;20217;20903;21220;20963;23466;23552;
Кабардино-Балкарская Республика;2032;2906;3869;5390;6346;7790;9226;10473;12586;14819;17361;20210;22087;25482;27957;30410;32156;33932;36300;
Карачаево-Черкесская Республика;1633;2100;2881;3745;4803;6735;8957;10139;12946;14413;17771;19507;21497;23886;25049;26098;27767;29333;30913;
Республика Северная Осетия – Алания;4019;4788;5195;6846;8250;9720;12828;15028;17591;20443;22972;26912;28914;31041;33022;35443;36924;38797;40867;
Чеченская Республика ;…;…;…;…;…;…;…;4441;5399;6799;8361;10988;11000;22359;27807;30992;33477;36967;38559;
Ставропольский край;3774;5116;6291;7934;9436;12868;15061;18291;20688;23492;26599;30609;34727;42526;46578;49994;51879;54268;56912;
Приволжский     федеральный округ;2683;3770;5125;6782;8877;11881;14839;18753;23444;26572;29330;33134;36100;40792;43835;46081;48057;50852;53589;
Республика Башкортостан;2936;4445;6193;8376;11113;14653;18652;23777;31402;35243;35308;39478;44052;48354;53760;56876;58987;61474;64418;
Республика Марий Эл;1625;2394;3225;4232;5881;7679;9946;12622;15498;18234;20289;22792;24812;26959;28505;29802;30823;33195;35318;
Республика Мордовия;1871;2382;3155;4010;5061;6712;8445;10498;12989;15749;18730;20989;23090;25480;27374;28707;29821;31051;32515;
Республика Татарстан;2504;3454;5100;6980;9695;14586;18502;24788;31426;35178;40710;46438;50128;55438;59731;64138;66866;68732;71476;
Удмуртская Республика;2394;3447;4743;6343;7610;9743;12134;14864;17640;19256;22179;24550;26908;32287;34598;35453;38755;41687;43560;
Чувашская Республика;2372;3281;4663;6323;7999;9827;12330;15473;18800;20646;22469;25273;27586;30605;32239;34057;36503;39086;41386;
Пермский край;3559;4904;6268;8195;10504;14381;17067;20981;25731;29600;34329;39086;42705;47159;49679;50562;53213;57699;61218;
Кировская область;2446;3455;4612;5915;7357;9654;11620;15400;19452;22375;23667;26759;28872;34322;36724;38164;39796;42102;44304;
Нижегородская область;2612;3419;4378;5495;7145;9956;12916;15827;20130;23632;26749;30285;34197;42840;45548;47154;49412;53535;57043;
Оренбургская область;2283;3210;4284;5756;7238;9314;11119;14610;19586;23209;25613;28959;32058;36680;39912;41988;40420;42032;45133;
Пензенская область;1971;3010;3940;5422;7034;9142;11371;13857;16855;18903;20855;22735;25118;29585;31925;35294;36982;39602;41692;
Самарская область;3749;5112;7095;9336;12767;16287;20468;25362;29674;33053;34822;37928;39002;42299;45088;47397;49214;52155;54936;
Саратовская область;2312;3182;4264;5465;6809;8830;10821;13156;15978;18088;21277;25886;27277;30455;31641;32527;34836;37748;40012;
Ульяновская область;2399;3705;4920;6461;8230;10372;12588;15324;18438;20081;23329;26593;29633;33169;35488;38005;39692;41628;43920;
Уральский       федеральный округ;3678;5295;7262;9468;11757;15067;19356;23860;28854;31674;34406;39769;42617;48016;52066;56015;59042;63080;67846;
Курганская область;1942;2529;3474;4430;5951;7404;9588;12576;15972;19832;20529;24589;26336;29752;30912;32590;33726;35650;37174;
Свердловская область;3707;5708;7569;9747;12157;15690;20666;25375;31243;35870;40790;46406;49864;58651;65001;72087;77231;83048;90617;
Тюменская область;4958;7093;10294;13674;16595;20199;25247;30705;36657;40099;41065;44894;48132;51376;54990;58502;61130;64798;67724;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный      округ – Югра;6098;8577;12276;16038;19087;22766;28165;33622;39189;41397;42687;47168;49065;53669;57444;59359;61742;65310;67019;
Ямало-Ненецкий автономный округ;5753;8127;12887;17426;21530;27134;32290;39133;47075;53128;57058;58742;61402;66165;68946;72120;76962;85098;93756;
Тюменская область без автономных       округов;;;;;;;;;;;;;;43042;46908;52468;54668;56901;59181;
Челябинская область;3012;3967;5214;6693;8409;11620;14846;18518;21854;21475;23659;30439;32294;36065;38362;39372;40585;43235;47136;
Сибирский       федеральный округ;3343;4376;6169;7960;9846;12604;15405;18436;22011;23421;25627;28524;31459;35954;37891;39739;42018;45237;47985;
Республика Алтай;794;1349;2172;2910;3625;5006;6058;7565;9671;11449;12867;14245;15597;17131;18499;21315;22866;24469;27302;
Республика Тыва;1041;1572;2043;2629;3590;4666;5771;7283;8845;10081;11707;13162;14680;16458;16865;17776;18243;18820;20076;
Республика Хакасия;3848;5150;5871;7034;8440;10862;13165;15993;18519;20210;21774;24646;26298;27949;29514;30927;31230;32936;33688;
Алтайский край;2037;2706;3767;5047;6316;9095;11196;14018;17847;19433;21016;23530;25139;27515;30158;33502;35654;37675;40362;
Красноярский край;4087;5224;7368;10021;12253;14876;18455;22179;25729;27421;31009;34007;37498;44996;45635;47794;49316;54571;57322;
Иркутская область;2950;4140;5757;7859;9933;11940;14257;17607;20807;22451;25986;28181;30786;33706;34956;34351;37539;41423;44233;
Кемеровская область;2792;3846;5223;6511;8020;10235;12575;15843;19456;20858;21636;24516;27901;31685;33673;35731;37337;40637;43578;
Новосибирская область;5490;6122;8823;10460;12620;16518;19781;20926;25273;25434;28713;33223;37853;44603;47445;48400;52137;54443;57591;
Омская область;2688;3901;5583;7348;9009;11903;15284;18883;22124;24396;27034;30361;32673;36376;39200;41927;44802;48252;51088;
Томская область;3692;5654;8868;11428;14878;18946;22399;27131;30984;31941;29519;30376;32453;37375;39187;42634;43483;45811;48163;
Дальневосточный     федеральный округ;4414;6135;8252;10658;13489;17653;22084;26365;31791;36272;41052;47458;53128;60892;64822;66975;70480;74456;78643;
Республика Бурятия;1722;2520;3508;4843;6363;9217;11826;14139;17496;19710;21350;24838;27845;36888;39693;42782;44177;45576;46086;
Республика Саха (Якутия);6234;7453;10167;13836;17186;21844;26860;31980;37471;42567;48770;54342;57660;65088;70874;73851;79919;84919;92574;
Забайкальский край;1606;2513;4078;5276;6374;8330;10395;12634;15435;17811;20410;24152;27785;33262;35669;37831;39426;40987;42948;
Камчатский край;7459;9448;11737;13229;16093;20025;25942;32360;37654;45797;51631;60492;67925;81624;85092;85469;89922;97454;96080;
Приморский край;4644;6901;8653;10669;13603;17416;22232;26287;32320;36124;41554;49370;58848;67802;71365;68114;69134;76326;82284;
Хабаровский край;7343;10190;13072;16733;21094;27655;33800;39668;46481;52819;59656;67294;73034;81764;88564;93905;101522;105484;111124;
Амурская область;2347;3103;5088;6937;8817;12304;14794;16914;21130;23779;29755;35194;37613;45268;47511;50888;53193;55058;58351;
Магаданская область;6945;9554;12459;16585;20626;23718;30549;37345;48899;59817;60586;70275;81023;85389;88055;93948;103186;110536;114857;
Сахалинская область;4846;7239;10755;15018;20137;27376;35770;45674;55724;64382;68478;79169;88346;86810;90978;99780;105130;104800;108968;
Еврейская автономная область;2017;2735;3838;4839;6220;9548;11798;14790;18337;21785;25237;29541;32238;41261;43480;47109;50264;53141;54958;
Чукотский автономный округ;4605;6653;12193;15586;20209;26695;29814;30477;34492;45168;52504;57640;54724;82758;83569;88040;90203;98008;103134;
