Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;;;;
12.3.1. Число малых предприятий1);;;;;;;;;;;;;;
(тысяч);;;;;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018 4);;;;;;;
Курганская область;6,1;7,2;7,4;7,3;8,4;8,2;7,8;;;;;;;
Свердловская область;72,8;76,5;81,7;81,8;108,1;104,3;97,3;;;;;;;
Тюменская область;59,8;64,5;63,9;69,0;66,9;60,0;58,4;;;;;;;
в том числе:;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;22,8;25,7;23,2;26,8;25,5;22,4;21,3;;;;;;;
Ямало-Ненецкий автономный округ;6,8;6,8;6,6;7,1;6,2;5,4;5,2;;;;;;;
Тюменская область    без автономных округов;30,2;32,0;34,0;35,1;35,2;32,2;31,9;;;;;;;
Челябинская область;34,8;35,2;38,6;41,9;71,0;69,7;65,5;;;;;;;
Сибирский федеральный округ;228,9;261,9;273,6;284,5;302,1;300,3;289,2;;;;;;;
Республика Алтай;2,2;2,5;2,3;2,3;3,3;3,0;2,8;;;;;;;
Республика Тыва;1,5;1,5;1,6;1,3;1,6;1,1;1,1;;;;;;;
Республика Хакасия;3,7;5,7;6,4;6,8;5,6;5,6;5,4;;;;;;;
Алтайский край;31,5;35,8;35,6;32,0;38,2;34,6;33,5;;;;;;;
Красноярский край;35,8;51,2;52,4;53,5;53,4;51,0;50,0;;;;;;;
Иркутская область;23,7;24,8;28,9;28,6;38,3;38,4;38,4;;;;;;;
Кемеровская область;29,3;33,5;33,6;33,8;34,1;31,3;29,8;;;;;;;
Новосибирская область;62,2;60,2;62,8;76,5;81,4;82,6;77,8;;;;;;;
Омская область;23,6;26,3;29,2;30,6;29,4;30,6;29,1;;;;;;;
Томская область;15,4;20,4;20,8;19,1;16,8;22,1;21,4;;;;;;;
Дальневосточный федеральный округ;97,6;108,3;112,7;111,3;139,1;128,9;125,7;;;;;;;
Республика Бурятия;8,9;10,3;11,0;11,2;12,2;11,1;11,1;;;;;;;
Республика Саха (Якутия);9,9;12,4;13,8;14,0;11,1;11,3;11,2;;;;;;;
Забайкальский край;7,3;5,4;5,6;6,5;8,1;7,5;7,7;;;;;;;
Камчатский край;5,0;5,1;5,1;5,2;6,7;5,7;5,7;;;;;;;
Приморский край;29,9;30,6;31,1;31,7;45,8;42,4;41,6;;;;;;;
Хабаровский край;18,0;22,8;22,9;20,6;29,9;27,7;26,0;;;;;;;
Амурская область;6,6;8,5;8,9;8,0;10,5;10,2;9,7;;;;;;;
Магаданская область;2,5;3,0;3,0;2,9;2,9;2,4;2,4;;;;;;;
Сахалинская область;7,7;8,1;9,0;9,2;10,0;8,9;8,7;;;;;;;
Еврейская автономная область;1,5;1,6;1,8;1,6;1,5;1,3;1,2;;;;;;;
Чукотский автономный округ;0,3;0,5;0,5;0,4;0,4;0,4;0,4;;;;;;;
?????;;;;;;;;;;;;;;
"1) По данным выборочных обследований малых предприятий и микропредприятий. 
";;;;;;;;;;;;;;
2) С 2016 года перечни субъектов малого предпринимательства для организации федеральных статистических наблюдений формируются, согласно статьи 5 Федерального закона от 24 июля 2007 г. № 209-ФЗ, на основе сведений, внесенных в Единый реестр субъектов малого и среднего предпринимательства (ЕРМСП). Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29 декабря 2015 г.  № 408-ФЗ, от 23 июня  2016 г. № 222-ФЗ, от 03 июля 2016 г. № 265-ФЗ и постановления Правительства Российской Федерации от 4 апреля 2016 г.  №265. Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;
3) Данные за 2017 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ. Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;
4) Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;
