Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.6. ИСПОЛНЕНИЕ БЮДЖЕТОВ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ;;;;;;;;;;;;;;;;;;;;
 20.6.1. Поступление;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Ленинградская область ;679,5;861,8;1125,8;1359,8;1731,3;2276,8;3072,5;4173,9;6518,4;6846,5;7105,9;10448,4;11896,0;13193,6;16556,4;16916,0;17839,4;20334,5;25211,2;
Мурманская область;861,9;861,4;1304,0;1603,9;1915,9;2358,2;3252,1;3971,4;4296,0;4681,4;4987,8;7753,0;9322,4;10446,7;11907,6;13290,4;13376,5;13928,1;16758,5;
Новгородская область;294,3;345,3;605,9;720,7;927,4;1378,4;1504,0;1830,8;2066,1;1977,8;2004,9;3699,9;4324,1;4288,5;4777,3;5350,5;5599,6;5876,0;6959,1;
Псковская область;292,8;350,5;508,3;625,9;844,1;1147,6;1346,4;1555,9;1821,1;1824,1;1816,5;3806,3;4433,5;5111,9;7118,6;5526,1;5727,2;5893,5;7084,8;
г. Санкт-Петербург;2606,8;3472,7;5030,3;6084,5;7745,0;10384,4;12597,6;17243,3;20157,9;19471,9;22810,7;36899,6;40254,4;45489,7;54295,8;65681,8;70084,0;82065,5;99688,9;
Южный               федеральный округ;4938,5;6917,0;10161,5;11629,5;15391,3;20525,3;26747,9;34979,7;40272,3;40090,2;41965,1;64297,5;77015,5;90823,7;103149,5;135656,0;140646,3;147241,1;179883,3;
Республика Адыгея;210,8;277,1;404,6;473,7;656,1;855,6;998,9;1265,7;1288,9;1285,8;1422,3;1975,6;2398,0;3258,6;3218,8;3753,2;3828,8;4027,6;4888,2;
Республика Калмыкия;94,1;178,1;277,1;258,4;322,2;366,5;559,3;681,3;792,6;775,2;766,4;1398,8;1825,3;1883,8;2147,2;2331,8;2627,2;2708,0;3170,5;
Республика Крым;;;;;;;;;;;;;;;…;16334,2;16573,0;16768,5;20597,6;
Краснодарский край;1584,8;2648,5;4068,4;4581,4;6105,5;7774,5;9812,2;13637,7;15842,7;15504,9;16572,0;24525,1;32014,2;35525,7;40567,3;45185,2;47422,5;50177,6;61574,4;
Астраханская область;444,6;639,1;848,2;804,5;941,1;1231,6;1839,7;2077,8;2546,4;2431,1;2645,8;4220,0;5129,7;6779,3;7683,1;8282,7;8805,7;9276,9;11327,7;
Волгоградская область;956,6;1074,5;1587,3;1946,7;2610,5;3617,1;4540,1;6129,5;6896,5;7006,2;7359,3;11870,4;13560,2;16169,4;18752,8;21585,0;22024,5;23072,7;27916,8;
Ростовская область;1647,6;2099,7;2975,9;3564,8;4755,9;6680,0;8997,7;11187,7;12905,2;13087,0;13199,3;20307,5;22088,1;27206,9;30780,2;34892,5;35811,9;37621,9;45866,9;
г. Севастополь;;;;;;;;;;;;;;;…;3291,4;3552,5;3587,9;4541,3;
Северо-Кавказский      федеральный округ;2169,3;2706,1;4340,4;4819,4;6331,7;11037,3;13352,2;16822,5;23907,8;25691,2;26248,5;40372,6;49264,8;58384,8;72700,5;74666,6;79760,1;84158,9;100670,9;
Республика Дагестан;712,4;756,5;1220,3;1308,8;1668,5;3336,6;3771,7;4442,5;6920,4;7207,5;7026,1;10535,5;13148,4;17259,7;21323,6;21132,8;24088,8;25078,2;28745,9;
Республика Ингушетия ;88,4;116,9;225,8;267,4;268,7;386,3;546,0;676,3;1069,5;1281,3;1279,9;2075,6;2460,4;2732,5;4924,3;3756,6;3883,2;3964,7;4847,0;
Кабардино-Балкарская Республика;294,7;313,9;524,2;559,4;771,3;1272,8;1531,3;1869,1;2215,3;2262,3;2274,1;3424,9;3955,3;4843,1;6754,6;6265,9;6617,8;6888,4;8395,7;
Карачаево-Черкесская Республика;141,9;205,7;352,7;367,2;513,9;709,9;927,7;1111,4;1340,1;1468,7;1450,2;2252,4;2873,4;2745,4;3017,6;3496,0;3567,7;3802,9;4635,5;
Республика Северная Осетия – Алания;197,8;234,3;335,6;323,7;523,4;794,8;1322,2;1844,4;1944,9;1754,2;1860,6;2879,9;3237,6;4594,0;4890,2;5982,6;6235,1;6481,7;7892,7;
Чеченская Республика;2,1;45,7;97,4;130,5;171,2;725,4;766,8;1529,0;3523,5;3626,9;4392,5;6124,2;6852,0;7648,7;8923,2;10621,8;11442,8;12485,0;15497,2;
