Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.3. ОРГАНИЗАЦИИ, ИМЕВШИЕ ВЕБ-САЙТ1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации) ;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ростовская область;12,3;12,1;12,2;12,8;16,3;20,8;19,0;23,9;29,3;33,0;35,3;34,6;38,2;41,5;45,2;53,5
г. Севастополь;;;;;;;;;;;;38,2;43,5;32,4;38,1;57,5
Северо-Кавказский      федеральный округ;8,6;9,1;10,0;18,8;17,4;21,0;23,7;29,1;31,6;36,4;39,8;37,8;41,9;46,5;46,8;47,2
Республика Дагестан;8,7;6,7;11,1;18,9;15,0;20,0;26,9;33,1;44,1;52,3;54,0;20,9;35,0;41,6;31,5;29,1
Республика Ингушетия;4,5;1,9;2,1;14,0;10,4;4,0;8,9;17,9;22,6;37,1;43,7;32,5;38,5;64,2;73,8;74,1
Кабардино-Балкарская Республика;10,0;9,9;8,2;20,0;19,3;21,7;23,9;27,1;26,5;27,7;32,6;29,1;38,1;39,5;42,0;44,4
Карачаево-Черкесская Республика;6,4;7,0;6,7;8,7;9,4;10,3;16,9;18,6;22,5;31,5;36,1;37,7;39,2;43,1;49,8;48,4
Республика Северная Осетия – Алания;5,4;5,6;7,7;17,1;16,0;20,6;22,3;29,0;28,0;30,4;34,5;37,1;33,4;39,7;45,4;49,7
Чеченская Республика;-;-;-;8,9;-;7,6;12,6;17,5;11,1;18,9;20,4;26,1;37,1;39,2;52,3;58,8
Ставропольский край;10,0;11,0;12,3;22,8;21,6;26,3;27,9;34,9;38,3;48,2;50,5;52,6;52,9;56,0;56,1;58,4
Приволжский      федеральный округ;11,8;13,5;14,8;20,1;18,3;22,0;23,3;27,7;33,2;38,7;41,6;40,6;42,0;45,1;46,3;49,2
Республика Башкортостан;8,7;9,5;10,6;18,9;15,2;19,2;20,4;26,4;33,4;43,5;48,2;48,1;48,3;52,6;53,6;53,8
Республика Марий Эл;12,5;15,9;13,8;12,6;12,9;13,9;18,1;22,6;26,9;32,3;33,7;37,1;38,7;36,6;41,9;44,2
Республика Мордовия;8,7;7,6;7,4;13,5;10,5;13,8;17,0;20,2;26,4;29,6;27,5;27,8;33,2;28,9;36,5;45,8
Республика Татарстан;15,5;21,5;29,0;24,2;24,0;28,4;28,3;32,5;38,8;42,1;46,0;45,1;44,4;50,0;49,3;52,4
Удмуртская Республика;14,5;15,8;19,6;21,8;21,1;24,6;26,9;29,4;39,6;42,3;46,5;46,5;49,0;46,3;48,6;54,4
Чувашская Республика;13,2;17,5;14,3;31,8;27,9;36,8;39,1;43,4;48,2;54,2;57,4;56,0;61,0;63,9;64,1;66,6
Пермский край;13,0;13,2;15,1;19,8;17,1;18,7;19,1;24,8;30,6;36,1;38,7;41,8;40,8;44,2;42,5;44,8
Кировская область;6,6;7,9;7,2;13,9;12,6;14,3;15,3;18,0;21,9;27,1;32,5;31,9;31,8;39,2;39,4;33,2
Нижегородская область;13,6;14,6;16,0;21,8;20,1;24,0;25,3;31,3;35,8;39,7;44,6;41,2;46,6;52,3;53,4;54,4
Оренбургская область;9,1;9,6;10,3;16,9;16,6;20,6;21,4;25,7;33,3;38,4;46,2;39,9;47,5;50,5;53,4;54,9
Пензенская область;8,2;10,1;12,0;17,7;17,3;19,7;19,9;20,1;26,7;41,8;47,3;45,0;48,4;51,6;53,4;52,0
Самарская область;18,1;18,5;16,5;25,4;23,1;25,4;26,9;31,2;33,7;33,5;31,9;31,6;31,0;36,8;37,1;44,9
Саратовская область;12,5;13,2;13,9;19,4;15,4;18,9;20,6;24,4;29,3;35,9;37,9;36,9;37,4;35,5;37,1;43,8
Ульяновская область;8,0;9,8;10,5;18,1;18,0;23,5;24,7;28,9;35,1;42,0;42,3;37,5;41,2;40,9;43,1;43,4
Уральский    федеральный округ;14,3;15,6;15,5;19,0;20,4;24,1;25,0;30,4;34,6;39,4;43,6;44,1;42,9;46,6;47,4;50,5
Курганская область;5,9;6,5;7,1;10,4;10,5;15,7;17,4;24,1;26,8;34,1;37,2;33,0;28,7;33,8;37,2;39,4
Свердловская область;18,2;16,3;18,0;16,9;23,6;26,0;27,6;32,1;36,7;42,6;49,2;50,5;47,2;50,3;51,6;53,0
