Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;
"2.12. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩЕЕ РАЗРЕШЕНИЕ НА РАБОТУ1);2)";;;;;;;;;;;;
(человек);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Вологодская область;4109;4191;2925;2950;733;558;42;33;;;;
Калининградская область;6267;7944;7763;8057;893;825;746;275;;;;
Ленинградская область;24302;34682;44947;44959;904;1094;962;1080;;;;
Мурманская область;1427;1772;1437;1269;146;50;15;112;;;;
Новгородская область;3248;3013;1898;2699;384;304;115;79;;;;
Псковская область;1976;2343;2109;2043;370;521;740;788;;;;
г. Санкт-Петербург;147251;148545;161862;182237;6780;5772;3112;4185;;;;
Южный         федеральный округ;67978;80817;75929;61075;12228;8614;7613;6901;;;;
Республика Адыгея;842;794;888;964;85;46;58;32;;;;
Республика Калмыкия;766;734;410;308;60;44;39;37;;;;
Республика Крым;;;;3;53;62;172;115;;;;
Краснодарский край;40008;54364;51496;27654;7321;6933;6271;5891;;;;
Астраханская область;6775;6771;6622;8021;520;429;402;428;;;;
Волгоградская область;12932;9809;9229;14694;3249;641;291;200;;;;
Ростовская область;6655;8345;7284;9431;935;455;376;195;;;;
г. Севастополь;;;;-;5;4;4;3;;;;
Северо-Кавказский федеральный округ;7877;5338;5077;3722;1058;926;848;735;;;;
Республика Дагестан;464;542;884;603;96;50;31;23;;;;
Республика Ингушетия;32;20;14;16;-;1;1;-;;;;
Кабардино-Балкарская    Республика;3335;578;481;312;14;10;8;3;;;;
Карачаево-Черкесская    Республика;295;220;231;307;182;113;101;68;;;;
Республика Северная       Осетия – Алания ;343;561;473;493;7;4;5;5;;;;
Чеченская Республика;148;104;35;35;23;19;23;2;;;;
Ставропольский край;3260;3313;2959;1956;736;729;679;634;;;;
Приволжский федеральный округ;77332;86732;90372;81979;13805;9406;6288;4561;;;;
Республика        Башкортостан;11688;11361;12537;11990;1202;675;830;678;;;;
Республика Марий Эл;234;129;131;206;16;10;12;14;;;;
Республика Мордовия;1124;2021;1472;1082;74;13;11;22;;;;
Республика Татарстан;12463;18438;14517;10257;6788;4296;2478;2029;;;;
Удмуртская Республика;1708;2176;3419;2853;137;74;81;63;;;;
Чувашская Республика  ;791;906;710;602;19;10;12;10;;;;
Пермский  край;7343;7005;5776;5589;723;634;578;184;;;;
Кировская область;1314;1695;1306;1589;49;68;24;72;;;;
Нижегородская область;13855;17109;19225;13625;2024;1812;1256;908;;;;
Оренбургская область;5937;4937;4055;4296;63;32;34;32;;;;
Пензенская область;4454;2987;3589;2595;279;267;204;163;;;;
Самарская область;10770;12831;18193;21495;2170;1356;624;326;;;;
Саратовская область;3643;4313;4146;4117;163;81;27;33;;;;
Ульяновская область;2008;824;1296;1683;98;78;117;27;;;;
Уральский   федеральный округ;111624;120541;115504;102470;21037;20463;18759;18989;;;;
Курганская область;649;514;209;126;6;-;7;10;;;;
Свердловская область;34814;26601;25040;20319;3507;2533;3801;2579;;;;
Тюменская область;59908;77122;76861;74010;15975;16372;14350;15918;;;;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;33353;41738;40807;41149;10014;9875;8780;8608;;;;
Ямало-Ненецкий автономный округ;18032;21579;23557;22318;3402;2703;1926;1327;;;;
Тюменская область без автономных округов;8523;13805;12497;10543;2559;3794;3644;5983;;;;
Челябинская область;16253;16304;13394;8015;1549;1558;601;482;;;;
Сибирский         федеральный округ;74751;77887;70850;63808;17565;12861;9023;10093;;;;
Республика Алтай;477;442;357;391;107;95;71;53;;;;
Республика Тыва;1117;986;1018;718;250;238;377;445;;;;
Республика Хакасия;1445;519;402;316;132;107;69;22;;;;
Алтайский край;2093;1573;683;562;114;108;92;67;;;;
Красноярский край;19739;15821;11514;12934;4653;3539;2843;2126;;;;
Иркутская область;21409;24335;22154;20050;6444;4506;2020;2768;;;;
Кемеровская область;6884;6014;6827;4580;788;670;579;526;;;;
Новосибирская область;17871;23572;22880;19711;3476;2249;1933;1589;;;;
Омская область;1007;1568;2103;1707;518;247;456;2024;;;;
