Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;;;;
9.5. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ на душу населения НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; рублей)";;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;;
Липецкая область;19623,7;24275,5;29665,4;35263,2;45806,1;57862,6;72874,5;90515,9;117769,0;129704,3;147466,2;180922,7;203048,8;227249,9;252959,4;277728,1;290572,4;305869,7;;;
Московская область;20336,6;27960,8;36127,9;45836,7;63141,3;82661,6;109867,0;145610,9;188329,5;190352,0;215140,0;251783,4;285508,8;294493,5;330267,9;350517,7;378702,4;407628,0;;;
Орловская область;16620,6;22082,9;29708,5;34100,1;42330,9;53955,6;62138,1;78218,5;101719,3;109062,3;124830,7;147081,0;163784,4;183807,5;200482,9;225356,3;232780,8;245554,2;;;
Рязанская область;15124,4;19908,6;27633,4;32443,5;41198,3;51503,8;62729,4;81931,8;108474,8;118154,2;131734,6;151455,9;171965,8;190801,0;210212,3;225229,6;228747,3;244572,1;;;
Смоленская область;20271,3;26462,7;32617,2;39431,0;47011,4;58907,5;72361,9;87520,9;111579,5;124248,5;143955,9;163541,1;180761,4;199486,2;218787,0;235472,9;235409,4;243281,8;;;
Тамбовская область;17427,0;21760,2;27032,7;31706,0;41312,7;52997,5;66046,2;84903,6;111581,1;120573,9;132774,3;156694,3;176221,4;199392,5;225271,7;245019,9;259350,8;269915,2;;;
Тверская область;15387,5;20769,6;26721,6;32782,6;46364,5;64397,8;79193,6;93126,9;116965,0;126953,3;140739,1;162266,9;183322,5;201336,2;221727,4;235847,0;241807,1;248768,5;;;
Тульская область;14555,3;19306,5;25250,7;30954,8;40174,7;51290,2;64469,3;85396,3;112513,3;124287,7;143886,5;164984,8;183665,8;202574,2;224838,8;245687,2;257679,8;274843,2;;;
Ярославская область;17415,2;22925,8;30799,4;34951,5;42506,7;56027,3;76050,1;97305,5;117127,6;122333,0;135347,8;163202,8;183609,0;204913,3;229466,1;246047,3;252154,8;273192,2;;;
г. Москва;94411,4;119888,7;142603,3;167475,5;189634,3;223116,2;258824,7;303436,5;358159,4;374591,5;408637,8;475418,8;509940,7;550109,4;593266,8;597746,3;614003,0;642064,1;;;
Северо-Западный     федеральный округ;23890,5;32055,5;41597,9;50127,4;64836,3;84479,5;104838,0;130155,8;162714,6;173507,3;194245,3;223011,1;247911,9;269219,4;291454,6;314954,1;333395,3;352897,3;;;
Республика Карелия;21761,5;28053,1;38464,6;45174,6;57013,4;69749,0;89595,5;104253,7;128555,4;139039,3;157050,4;187187,8;210230,6;231998,5;251920,3;269546,5;279244,7;292490,4;;;
Республика Коми;27557,3;42806,1;53838,0;66058,3;84163,8;103308,3;127975,9;154382,9;182097,7;190292,4;194705,3;227980,9;253652,5;276194,1;295956,2;294007,7;289539,3;299774,5;;;
Архангельская область;20638,3;29600,6;37678,0;46001,5;58204,3;73097,4;89422,7;112450,4;142729,0;157006,1;173328,3;209532,9;228826,1;258178,5;289569,4;317319,2;330650,5;350263,1;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;…;70273,6;85179,7;106421,0;140046,6;181800,6;210806,7;236300,6;260748,7;304101,3;354036,5;390785,1;435032,6;464865,3;473195,6;475184,4;;;
Архангельская область без автономного округа;;;;;;;;;;;;206136,4;224247,4;253248,6;284078,2;311651,0;325094,7;345343,5;;;
Вологодская область;20341,3;26381,0;32790,7;38553,7;47645,4;58473,1;73426,8;89519,3;108954,6;109001,5;127342,2;144544,5;170212,0;181832,9;198239,2;209979,1;213105,0;225403,1;;;
Калинингpадская  область;21391,1;24528,3;32912,7;38321,1;46842,4;60958,6;80901,0;104402,8;130985,6;145733,3;156925,1;176179,5;189901,8;201445,9;223029,8;240462,5;252493,7;264197,2;;;
Ленинградская область;15831,3;21835,3;27688,0;32727,6;46016,8;62563,2;77388,1;94927,0;114219,9;129456,1;151269,7;186759,7;204481,3;219586,8;237945,3;264810,2;292271,3;308325,1;;;
Мурманская область;31624,0;40829,6;53495,0;64993,7;78529,2;99497,5;120740,9;147478,4;186293,8;206337,0;223005,7;250233,2;280358,6;312920,6;339954,4;351823,8;361719,5;381355,9;;;
Новгородская область;20064,6;25017,5;31998,8;37290,1;46100,2;56879,8;72501,4;90738,0;120888,3;135828,2;151582,3;185875,9;205871,8;229540,3;253297,6;275121,7;283315,9;290633,3;;;
