Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;
14.3.2. Сальдированный финансовый результат (прибыль минус убыток) организаций. Животноводство;;;;;;;;;;;;;;; ;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Республика Татарстан;-50;-122;511;488;2015;936;1884;2859;-849;5927;5880;120;438;1115;;;;;
Удмуртская Республика;396;513;1056;1287;565;1302;892;1735;661;2290;2130;2276;2368;2542;;;;;
Чувашская Республика;119;80;107;46;123;24;-63;364;252;563;797;546;592;722;;;;;
Пермский край;472;501;565;710;563;878;1067;1214;714;2130;2655;1711;2068;875;;;;;
Кировская область;577;404;747;1217;1093;1169;1826;1426;1298;2770;3400;2848;3350;3129;;;;;
Нижегородская область ;874;522;663;701;217;217;993;1257;716;2056;1014;983;1893;1418;;;;;
Оренбургская область;209;156;413;439;368;-670;590;261;-472;-258;365;-794;-2219;-533;;;;;
Пензенская область;262;335;685;756;1504;1077;876;1297;-95;2500;388;-279;1244;1098;;;;;
Самарская область;164;342;315;353;140;-485;-470;378;-1265;82;-743;-327;63;-106;;;;;
Саратовская область;148;26;222;213;314;449;352;219;188;484;515;428;222;312;;;;;
Ульяновская область;-211;-33;48;85;10;-7;97;173;397;-549;-239;-598;143;443;;;;;
Уральский       федеральный округ;2445;3377;4491;4532;4240;6093;5926;6599;5148;8990;9695;7802;7873;9593;;;;;
Курганская область;-71;167;290;208;-56;18;96;-14;27;-100;254;209;140;179;;;;;
Свердловская область ;1037;1263;1239;1561;1139;2137;1835;1920;1578;3279;4229;3790;2522;3588;;;;;
Тюменская область;528;567;1513;1730;1984;2501;2460;2517;2151;2862;3324;2210;2504;2280;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-8;-53;47;24;-22;-9;-19;3;5;4;1;-15;5;6;;;;;
Ямало-Ненецкий автономный округ;-89;-0,0;137;184;142;87;266;136;46;-97;25;79;62;-10;;;;;
Тюменская область    без автономных округов;625;620;1329;1522;1864;2423;2213;2378;2100;2955;3298;2146;2437;2284;;;;;
Челябинская область;951;1380;1449;1033;1173;1437;1535;2176;1392;2949;1888;1593;2707;3546;;;;;
Сибирский    федеральный округ;4594;4686;7755;9984;7976;8962;11123;10758;7896;14300;15412;8701;14965;14516;;;;;
Республика Алтай;40;38;53;34;25;5;75;33;12;15;74;-221;1452;-47;;;;;
Республика Тыва;0,2;-1;4;2;11;0,2;13;-3;2;3;3;5;8;8;;;;;
Республика Хакасия;59;131;138;100;103;82;98;102;-179;4;-50;6;70;87;;;;;
Алтайский край;235;439;890;976;800;1755;1708;1459;160;1544;1126;334;2302;1869;;;;;
Красноярский край;1680;1744;2298;2604;1783;1673;2085;1681;1828;1690;1879;-763;2180;2462;;;;;
Иркутская область;918;987;1020;1375;1571;1455;1823;2135;2198;2357;2616;2517;2774;2187;;;;;
Кемеровская область;234;26;86;319;335;284;668;660;698;-217;1820;294;-1788;-323;;;;;
Новосибирская область ;382;926;1561;1967;1623;1194;1961;2057;2465;4063;4038;3770;3518;2870;;;;;
Омская область;652;7;1120;1467;512;1475;1402;1303;266;3625;2549;1622;2290;2376;;;;;
Томская область;394;389;585;1140;1213;1039;1290;1331;446;1216;1357;1137;2159;3027;;;;;
Дальневосточный федеральный округ;365;329;554;906;1199;1036;900;850;420;884;810;-172;-128;-187;;;;;
Республика Бурятия;39;9;34;34;26;35;38;14;-11;357;357;254;236;402;;;;;
Республика Саха (Якутия);50;64;116;166;101;130;14;157;77;5;58;17;-3;-217;;;;;
Забайкальский край;-36;-28;19;95;62;54;64;47;59;40;-13;-44;16;6;;;;;
Камчатский край;12;14;5;79;64;104;158;67;107;238;273;65;110;86;;;;;
Приморский край;210;218;361;309;401;284;163;211;-22;-188;-856;-1128;-647;-343;;;;;
Хабаровский край ;-51;-59;-113;84;40;85;88;75;-214;12;79;-127;-249;-404;;;;;
Амурская область;27;16;68;66;304;249;259;155;316;444;821;300;-2;268;;;;;
Магаданская область;-0,2;-10;-16;-27;-7;6;-4;-4;-24;-1;-1;-1;-0,4;-1,0;;;;;
Сахалинская область;23;12;21;-45;40;9;-1,0;-2;1;-6;-41;314;170;-110;;;;;
Еврейская автономная область;-0,4;-4;0,0;-2;-8;-10;0,0;0,0;-1;-;-1;-;-22;-17;;;;;
Чукотский автономный округ;92;97;59;147;176;90;121;130;132;-17;134;178;263;143;;;;;
__________;;;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности. Знак (-) означает убыток.;;;;;;;;;;;;;;;;;;;
"2) Данные с 2017 г. приведены  в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2; данные за 2005-2016 гг. - в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007. ";;;;;;;;;;;;;;;;;;;
