Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;
РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
14.44. УЛОВ РЫБЫ И ДОБЫЧА ДРУГИХ ВОДНЫХ БИОРЕСУРСОВ1);;;;;;;;;
(тонн);;;;;;;;;
;2016;2017;2018;;;;;;
Российская Федерация;4811976;4951685;5109775;;;;;;
Центральный федеральный округ;31624;22440;11988;;;;;;
Белгородская область;2346;1;1;;;;;;
Брянская область;20;15;16;;;;;;
Владимирская область;70;191;66;;;;;;
Воронежская область;1513;1448;1622;;;;;;
Ивановская область;154;193;133;;;;;;
Калужская область;24;10;4;;;;;;
Костромская область;512;383;316;;;;;;
Курская область;195;126;133;;;;;;
Липецкая область;1562;1732;1330;;;;;;
Московская область;1354;1965;1340;;;;;;
Орловская область;154;174;164;;;;;;
Рязанская область;34;74;48;;;;;;
Смоленская область;61;257;159;;;;;;
Тамбовская область;2;2;2;;;;;;
Тверская область;409;338;192;;;;;;
Тульская область;-;-;-;;;;;;
Ярославская область;1246;1407;1486;;;;;;
г. Москва;21968;14124;4976;;;;;;
Северо-Западный федеральный округ;1250664;1390298;1259660;;;;;;
Республика Карелия;94411;111707;100182;;;;;;
Республика Коми;489;300;245;;;;;;
Архангельская область;171829;186444;157336;;;;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;15076;20835;13853;;;;;;
Архангельская область без автономного округа;156753;165609;143483;;;;;;
Вологодская область;3097;1996;2317;;;;;;
Калининградская область;217425;253757;256551;;;;;;
Ленинградская область;21955;27795;25992;;;;;;
Мурманская область;650601;707644;663359;;;;;;
Новгородская область;3477;2418;3128;;;;;;
Псковская область;3312;3559;4512;;;;;;
г. Санкт-Петербург;84068;94678;46038;;;;;;
Южный         федеральный округ;177046;162394;132354;;;;;;
Республика Адыгея;105;155;91;;;;;;
Республика Калмыкия;2792;2794;2329;;;;;;
Республика Крым;17055;16350;8230;;;;;;
Краснодарский край;39716;32359;20552;;;;;;
Астраханская область;51530;54850;52165;;;;;;
Волгоградская область;8664;6773;7056;;;;;;
Ростовская область;20385;19476;21655;;;;;;
г. Севастополь;36799;29637;20276;;;;;;
Северо-Кавказский федеральный округ;7992;8041;7399;;;;;;
Республика Дагестан;7019;7035;5936;;;;;;
Республика Ингушетия ;-;-;-;;;;;;
Кабардино-Балкарская Республика;-;2;10;;;;;;
Карачаево-Черкесская Республика;-;-;-;;;;;;
Республика Северная Осетия – Алания;131;232;488;;;;;;
Чеченская Республика ;100;-;-;;;;;;
Ставропольский край;742;772;965;;;;;;
Приволжский федеральный округ;12999;14307;15156;;;;;;
Республика Башкортостан;238;438;168;;;;;;
Республика Марий Эл;638;1278;704;;;;;;
Республика Мордовия;-;-;-;;;;;;
Республика Татарстан;2296;2485;3827;;;;;;
Удмуртская Республика;23;701;1268;;;;;;
Чувашская Республика;213;238;202;;;;;;
Пермский край;1123;1046;1096;;;;;;
Кировская область;100;82;45;;;;;;
Нижегородская область ;820;521;575;;;;;;
Оренбургская область;490;502;567;;;;;;
Пензенская область;507;591;902;;;;;;
Самарская область;1006;1116;1198;;;;;;
Саратовская область;3382;3629;3248;;;;;;
Ульяновская область;2163;1680;1356;;;;;;
Уральский         федеральный округ;59453;60674;38688;;;;;;
Курганская область;6923;5050;3546;;;;;;
Свердловская область ;380;286;268;;;;;;
Тюменская область;46774;49211;29671;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;24068;25268;14315;;;;;;
Ямало-Ненецкий автономный округ;18878;20200;10098;;;;;;
Тюменская область без автономных округов;3828;3743;5258;;;;;;
Челябинская область;5376;6127;5203;;;;;;
Сибирский           федеральный округ;28420;34286;31781;;;;;;
Республика Алтай;10;7;9;;;;;;
Республика Тыва;123;142;285;;;;;;
Республика Хакасия;594;760;508;;;;;;
Алтайский край;3057;3789;2819;;;;;;
Красноярский край;5154;5375;6227;;;;;;
Иркутская область;2384;3428;2970;;;;;;
Кемеровская область;261;403;441;;;;;;
Новосибирская область ;9249;11852;11097;;;;;;
Омская область;3301;3367;3509;;;;;;
Томская область;4287;5163;3916;;;;;;
Дальневосточный федеральный округ;3243779;3259244;3612745;;;;;;
Республика Бурятия;2034;1934;1304;;;;;;
Республика Саха (Якутия);6853;7077;6201;;;;;;
Забайкальский край;169;98;21;;;;;;
Камчатский край;1124769;1288044;1670068;;;;;;
Приморский край;843013;724271;743223;;;;;;
Хабаровский край ;421171;398815;384652;;;;;;
Амурская область;72;32;65;;;;;;
Магаданская область;112539;107622;120397;;;;;;
Сахалинская область;724426;720978;674181;;;;;;
Еврейская автономная область;44;54;25;;;;;;
Чукотский автономный округ;8689;10319;12608;;;;;;
?????;;;;;;;;;
1) По данным Росрыболовства.;;;;;;;;;
