Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;;;;;
6.5. ДЕТСКИЙ ОТДЫХ;;;;;;;;;;;;;;;;;;;;;;;
"6.5.2. Численность детей, отдохнувших в них за лето1);2)";;;;;;;;;;;;;;;;;;;;;;;
(тысяч человек);;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;6170,6;6358,1;6113,7;5839,4;5596,4;5666,8;5285,5;5135,9;5040,4;4864,0;4894,1;4892,8;4958,3;4864,8;4829,4;4661,2;4787,1;4422,5;4274,4;;;;
Центральный   федеральный округ;1282,3;1275,3;1213,3;1132,5;1060,1;1069,8;965,8;942,6;908,1;874,1;856,1;881,6;919,9;880,0;856,6;827,3;868,3;827,6;742,0;;;;
Белгородская область;98,1;96,5;98,8;93,5;92,3;92,0;86,1;84,7;86,4;83,3;86,4;85,6;87,4;87,0;85,1;83,4;86,7;84,0;80,2;;;;
Брянская область;87,8;82,5;82,5;77,8;64,1;59,4;51,6;53,8;50,5;48,8;57,2;56,6;56,0;54,8;51,0;46,4;42,7;41,4;36,4;;;;
Владимирская область;87,9;89,0;92,0;80,9;79,6;73,5;70,7;65,3;63,2;58,5;53,0;53,4;54,0;53,0;51,8;49,3;47,7;46,7;46,7;;;;
Воронежская область;71,7;68,7;66,3;65,1;69,0;74,6;65,7;66,3;67,8;65,7;59,6;59,5;63,4;64,2;64,4;61,2;64,2;61,2;61,2;;;;
Ивановская область;89,3;100,7;65,7;55,2;59,3;65,0;44,7;41,6;40,3;36,8;41,7;41,5;44,4;42,8;45,5;39,8;37,4;20,9;21,2;;;;
Калужская область;29,7;31,9;31,0;31,8;28,9;28,2;26,9;25,6;22,9;28,9;27,9;26,7;30,2;30,8;31,5;31,2;34,6;27,0;26,0;;;;
Костромская область;46,3;37,4;32,8;29,0;27,6;28,6;24,0;23,4;23,1;21,5;20,2;24,3;25,9;26,6;24,5;24,3;24,9;22,2;21,6;;;;
Курская область;43,7;46,8;34,5;26,1;28,4;52,3;38,2;43,9;41,3;36,1;34,4;33,4;32,8;32,4;32,9;28,3;33,3;33,9;34,0;;;;
Липецкая область;63,6;71,8;71,0;75,5;73,3;71,8;63,4;55,6;48,6;43,0;38,4;40,0;40,7;40,8;41,8;41,4;42,9;44,2;46,3;;;;
Московская область;108,5;104,8;101,5;94,6;86,7;84,9;84,9;83,1;82,9;75,8;72,1;96,7;92,2;95,0;92,8;98,9;96,4;114,6;103,9;;;;
Орловская область;44,0;46,4;47,3;46,4;46,7;46,7;44,5;40,5;39,2;37,6;34,3;35,5;35,1;33,8;32,8;32,0;30,0;26,9;25,2;;;;
Рязанская область;33,2;29,7;30,3;27,4;24,5;30,4;29,5;31,3;31,1;30,0;23,8;24,6;25,4;26,6;25,4;28,5;29,4;28,8;25,7;;;;
Смоленская область;67,2;77,6;74,8;75,1;63,5;56,6;39,7;38,5;33,7;32,9;30,3;35,9;34,2;32,8;21,2;22,6;22,7;19,0;16,7;;;;
Тамбовская область;54,8;58,7;59,9;56,9;57,5;58,5;62,2;62,2;63,2;60,2;55,8;54,9;54,7;55,3;54,1;55,0;55,0;54,9;56,0;;;;
Тверская область;62,7;65,5;63,5;62,3;56,4;53,9;51,8;50,2;48,7;50,3;51,3;55,9;56,8;56,0;56,3;54,1;53,9;57,1;55,1;;;;
Тульская область;65,0;58,8;58,9;55,3;52,9;51,8;51,7;50,3;52,3;57,1;55,1;51,9;54,2;53,4;55,3;49,6;46,0;43,9;42,0;;;;
Ярославская область;75,1;68,7;65,8;63,4;56,7;56,0;53,2;51,3;49,3;51,3;51,8;54,1;55,4;55,5;54,0;49,5;46,0;37,4;40,3;;;;
г. Москва;153,6;139,9;136,9;116,2;92,9;85,7;77,0;75,0;63,7;56,2;62,8;51,3;77,1;39,2;36,1;31,8;74,3;63,5;3,7;;;;
Северо-Западный  федеральный округ;539,0;530,4;493,4;468,7;448,0;433,4;400,8;375,0;356,5;331,6;328,7;338,2;338,6;337,8;335,3;324,0;335,6;293,2;278,0;;;;
Республика Карелия;29,0;30,0;27,9;18,1;15,1;13,8;12,8;12,8;9,8;8,1;10,0;13,2;11,9;12,1;11,4;9,7;10,6;8,7;5,3;;;;
Республика Коми;36,6;37,9;40,3;39,5;37,7;37,0;35,4;31,5;28,9;26,6;23,0;24,2;24,1;25,9;24,7;24,2;24,7;24,0;24,4;;;;
Архангельская область;100,6;94,8;90,1;88,6;70,4;59,9;50,3;47,3;45,0;41,1;42,7;41,0;40,7;39,9;39,2;41,0;41,6;40,8;35,1;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2,4;2,0;2,2;2,1;1,7;1,9;1,6;1,6;1,6;1,7;1,4;1,4;1,4;1,5;1,4;1,4;1,5;1,7;1,7;;;;
Архангельская область без автономного округа;98,2;92,8;87,9;86,5;68,7;58,0;48,7;45,7;43,4;39,4;41,3;39,6;39,3;38,4;37,8;39,6;40,1;39,2;33,4;;;;
Вологодская область;67,0;69,0;61,7;59,5;56,0;53,4;49,4;47,4;45,1;38,8;42,5;41,0;38,4;36,1;34,7;33,8;36,7;32,2;31,0;;;;
Калининградская область;42,2;37,6;35,2;40,3;40,3;44,2;45,0;39,3;38,2;38,6;41,8;44,0;42,9;44,4;46,6;44,7;46,9;42,5;43,8;;;;
Ленинградская область;57,3;57,2;52,1;47,5;49,7;48,0;39,5;38,9;38,4;81,4;34,5;39,6;39,2;41,3;42,2;42,6;46,7;43,6;69,9;;;;
Мурманская область;21,2;25,0;23,4;21,8;22,2;18,2;16,8;17,5;17,1;16,2;15,2;12,2;13,6;13,3;11,0;11,4;12,7;10,6;7,4;;;;
Новгородская область;26,1;25,0;22,9;23,6;22,5;24,8;27,6;25,6;24,6;26,6;24,7;26,1;25,3;25,0;24,0;23,1;24,4;20,9;19,3;;;;
Псковская область;36,9;37,5;41,0;34,3;40,3;38,0;29,4;27,3;25,4;24,4;22,2;22,4;21,5;21,3;20,1;17,6;19,8;13,4;11,4;;;;
г. Санкт-Петербург;122,0;116,5;99,1;95,5;93,7;96,1;94,5;87,4;84,1;29,8;72,1;74,5;81,1;78,6;81,6;75,8;71,5;56,4;30,5;;;;
Южный          федеральный округ;413,2;449,5;470,9;439,2;439,2;463,1;458,4;485,5;466,1;482,3;501,9;477,3;489,0;490,8;476,1;497,0;546,2;508,2;448,8;;;;
Республика Адыгея;4,2;18,1;21,1;18,0;14,8;12,8;12,0;11,8;10,4;9,4;11,4;13,7;14,5;14,4;10,7;9,5;8,5;4,7;4,9;;;;
