;Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
;13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;
13.1.;Объем промышленной продукции в 2000-2004 гг.;;;;;;;;;
13.2.;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности ;;;;;;;;;
13.2.1.;«Добыча полезных ископаемых» в  соответствии с ОКВЭД (2005-2016 гг.);;;;;;;;;
13.2.2.;«Добыча полезных ископаемых» в  соответствии с ОКВЭД2 (2017-2018  гг.);;;;;;;;;
13.2.3.;«Обрабатывающие производства» в соответствии с ОКВЭД (2005-2016 гг.);;;;;;;;;
13.2.4.;«Обрабатывающие производства» в соответствии с ОКВЭД2 (2017-2018  гг.);;;;;;;;;
13.2.5.;«Производство и распределение электроэнергии, газа и воды» в соответствии с ОКВЭД (2005-2016 гг.);;;;;;;;;
13.2.6.;"«Обеспечение электрической энергией, газом и паром; кондиционирование воздуха» в соответствии с ОКВЭД2 (2017-2018 гг.)";;;;;;;;;
13.2.7.;"«Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений» в соответствии с ОКВЭД2 (2017-2018 гг.)";;;;;;;;;
13.3.;Индексы промышленного производства;;;;;;;;;
13.3.1.;В соответствии с ОКВЭД (2000-2016 гг.);;;;;;;;;
13.3.2.;В соответствии с ОКВЭД2  (2015-2018 гг.);;;;;;;;;
13.4.;Индексы производства по виду экономической деятельности «Добыча полезных ископаемых»;;;;;;;;;
13.4.1.;В  соответствии с ОКВЭД (2000-2016 гг.);;;;;;;;;
13.4.2.;В соответствии с ОКВЭД2  (2015-2018 гг.);;;;;;;;;
13.5.;Индексы производства по виду экономической деятельности «Обрабатывающие производства»;;;;;;;;;
13.5.1.;В соответствии с ОКВЭД (2000-2016 гг.);;;;;;;;;
13.5.2.;В соответствии с ОКВЭД2  (2015-2018 гг.);;;;;;;;;
13.6.;Индексы производства по виду экономической деятельности  «Производство и распределение электроэнергии, газа и воды» в  соответствии с ОКВЭД (2000-2016 гг.);;;;;;;;;
13.7.;"Индексы производства по виду экономической деятельности  «Обеспечение электрической энергией, газом и паром; кондиционирование воздуха» в соответствии с ОКВЭД2  (2015-2018 гг.)";;;;;;;;;
13.8.;"Индексы производства по виду экономической деятельности «Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений» в соответствии с ОКВЭД2              (2015-2018 гг.)";;;;;;;;;
13.9.;Мощность электростанций;;;;;;;;;
13.10.;Производство электроэнергии;;;;;;;;;
