Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;;;
21.10. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;;;;;
21.10.4.  Добыча полезных ископаемых в соответствии с ОКВЭД2 ;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;
;2013;2014;2015;2016;2017;2018;;;;;
Республика Алтай   ;78,5;120,6;137,2;112,6;92,9;105,5;;;;;
Республика Тыва;105,5;105,3;103,5;146,1;105,9;119,5;;;;;
Республика Хакасия;108,5;111,6;98,9;94,2;98,8;129,5;;;;;
Алтайский край;100,4;140,9;90,3;128,1;120,4;95,6;;;;;
Красноярский край;113,3;96,1;98,6;117,4;138,8;103,4;;;;;
Иркутская область;99,4;96,3;111,3;106,6;129,1;109,4;;;;;
Кемеровская область;92,2;103,8;118,1;170,4;98,5;114,5;;;;;
Новосибирская область;102,3;101,1;112,5;107,8;108,7;111,3;;;;;
Омская область;116,7;66,2;147,0;107,3;152,9;97,2;;;;;
Томская область;130,0;93,0;102,0;121,7;129,8;99,8;;;;;
Дальневосточный      федеральный округ3);112,9;107,7;104,8;127,5;108,0;113,6;;;;;
Республика Бурятия;104,1;113,3;90,5;117,9;128,6;99,0;;;;;
Республика Саха (Якутия);89,9;109,2;116,0;105,0;102,6;107,3;;;;;
Забайкальский край;87,1;123,9;101,4;106,6;103,5;107,5;;;;;
Камчатский край;99,5;112,8;101,9;106,5;101,8;107,8;;;;;
Приморский край;106,6;102,4;107,4;112,0;100,8;101,7;;;;;
Хабаровский край;106,2;106,4;102,9;105,3;107,4;104,8;;;;;
Амурская область;81,5;132,1;118,0;110,3;95,2;108,6;;;;;
Магаданская область;107,6;107,3;104,8;105,4;106,1;102,3;;;;;
Сахалинская область;124,7;106,6;100,0;145,0;105,4;116,4;;;;;
Еврейская автономная область;112,5;104,7;103,8;106,4;100,0;100,0;;;;;
Чукотский автономный округ;109,5;104,6;87,6;121,4;134,7;122,9;;;;;
?????;;;;;;;;;;;
1) Данные за 2013-2018 гг. рассчитаны в соответствии с ОКВЭД2. На товары, предназначенные для реализации на внутреннем рынке.;;;;;;;;;;;
2) Данные за 2014-2016 гг. приведены без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;;;
3) Данные за 2013-2018 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;
