Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;
4.11. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ1);;;;;;;;;;;;;;;
(на начало учебного года);;;;;;;;;;;;;;;
;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;746;626;529;424;449;375;489;518;511;352;339;362;602;618;609
Центральный    федеральный округ;125;119;83;63;61;53;73;71;76;40;37;48;117;127;115
Белгородская область;1;2;1;1;1;1;1;-;-;-;-;-;-;-;-
Брянская область;1;1;-;-;-;-;-;-;-;1;1;4;6;12;12
Владимирская область;2;1;1;1;2;2;7;2;1;-;-;-;2;2;-
Воронежская область;15;13;3;3;4;6;2;2;2;1;1;3;13;16;13
Ивановская область;6;3;4;2;2;2;2;2;2;2;2;2;3;3;2
Калужская область;3;4;4;5;2;2;6;5;4;2;2;1;1;1;1
Костромская область;3;2;1;1;1;1;1;1;1;1;-;-;-;2;2
Курская область;7;5;5;1;1;3;2;2;2;3;6;9;19;20;20
Липецкая область;9;7;7;3;3;3;3;3;2;1;2;2;1;1;1
Московская область;12;13;9;8;7;7;10;16;21;8;3;8;29;28;27
Орловская область;2;9;1;1;1;4;4;5;4;2;2;4;8;6;6
Рязанская область;6;5;3;1;1;-;2;2;4;3;2;2;4;4;4
Смоленская область;15;10;9;6;6;7;9;7;6;3;2;2;2;2;2
Тамбовская область;1;5;3;3;3;-;3;4;3;4;2;2;8;7;5
Тверская область;15;11;8;9;6;3;4;4;6;5;5;2;4;6;5
Тульская область;1;5;-;-;1;1;3;3;3;3;6;5;5;5;4
Ярославская область;3;7;2;2;2;1;-;1;1;1;1;2;5;5;4
г. Москва;23;16;22;16;18;10;14;12;14;-;-;-;7;7;7
Северо-Западный     федеральный округ;74;50;45;35;31;23;43;42;38;29;28;33;43;42;47
Республика Карелия;8;5;4;1;1;1;5;4;1;1;1;1;6;6;6
Республика Коми;11;8;8;6;4;4;9;7;6;7;7;5;5;5;7
Архангельская область;9;5;5;1;-;-;11;11;11;1;1;1;1;1;1
в том числе ;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область  без автономного округа;9;5;5;1;-;-;11;11;11;1;1;1;1;1;1
Вологодская область;5;6;3;2;2;-;-;3;2;-;-;1;4;4;4
Калининградская область;4;1;1;1;1;1;2;3;3;-;-;-;-;-;-
Ленинградская область;9;5;4;4;3;3;3;2;2;8;8;13;13;13;13
Мурманская область;21;14;14;14;12;8;8;8;9;10;9;8;9;6;7
Новгородская область;2;3;3;1;3;3;3;2;2;2;2;2;3;5;6
Псковская область;4;3;3;3;3;2;2;2;2;-;-;2;2;2;3
г. Санкт-Петербург;1;-;-;2;2;1;-;-;-;-;-;-;-;-;-
Южный              федеральный округ;124;109;93;87;76;69;86;64;66;61;55;53;62;58;55
