Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ 1);;;;;;;
18.6.1. Удельный вес домашних хозяйств, имевших персональный компьютер;;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;2018;;
Российская Федерация;71,0;72,5;74,3;74,4;72,4;;
Центральный   федеральный округ;73,4;74,9;77,5;78,0;76,8;;
Белгородская область;69,0;67,2;69,2;74,4;66,7;;
Брянская область;57,2;64,0;66,9;65,8;67,2;;
Владимирская область;67,7;71,5;74,8;70,8;66,8;;
Воронежская область;61,9;73,7;78,2;77,6;76,6;;
Ивановская область;64,4;69,5;74,6;68,7;63,6;;
Калужская область;68,2;68,5;70,6;74,9;73,9;;
Костромская область;69,1;63,1;71,8;68,6;64,4;;
Курская область;61,8;60,0;68,8;70,9;66,7;;
Липецкая область;61,5;70,8;70,5;68,9;70,7;;
Московская область;76,6;78,6;80,8;85,8;81,7;;
Орловская область;70,6;69,0;69,6;67,9;68,7;;
Рязанская область;69,4;62,3;65,7;68,8;68,9;;
Смоленская область;68,2;70,4;70,5;69,9;71,1;;
Тамбовская область;63,0;68,1;69,8;74,3;71,9;;
Тверская область;69,0;69,4;74,5;71,2;68,9;;
Тульская область;74,2;73,1;81,1;82,4;84,6;;
Ярославская область;66,2;70,4;74,6;65,3;64,3;;
г. Москва;84,7;83,8;84,2;84,1;85,5;;
Северо-Западный     федеральный округ;78,5;80,6;81,0;79,7;77,8;;
Республика Карелия;72,8;75,1;79,1;76,7;71,6;;
Республика Коми;75,0;84,8;78,2;75,6;75,5;;
Архангельская область;76,3;78,5;75,6;72,3;73,4;;
в том числе: ;;;;;;;
Ненецкий автономный   округ;63,1;77,7;76,2;76,4;67,7;;
Архангельская область    без автономного округа;76,8;78,5;75,6;72,1;73,5;;
Вологодская область;63,9;64,0;65,5;70,6;68,7;;
Калининградская область;82,3;81,1;86,0;77,6;77,1;;
Ленинградская область;76,3;76,0;77,9;75,5;75,5;;
Мурманская область;82,7;88,6;83,2;82,5;81,3;;
Новгородская область;63,6;73,9;71,6;71,1;68,0;;
Псковская область;65,3;66,8;70,4;66,6;65,5;;
г. Санкт-Петербург;87,6;88,7;89,6;89,4;86,0;;
Южный          федеральный округ;67,2;71,6;75,7;77,1;71,8;;
Республика Адыгея;51,4;59,8;65,4;60,3;56,1;;
Республика Калмыкия;51,3;68,0;69,5;72,5;63,9;;
Республика Крым;…;73,5;74,7;81,5;80,5;;
Краснодарский край;63,2;67,5;72,9;77,5;63,3;;
Астраханская область;65,2;77,4;74,8;77,6;80,7;;
Волгоградская область;76,1;70,9;73,1;74,8;72,6;;
Ростовская область;69,3;74,9;81,4;77,4;76,6;;
г. Севастополь;…;83,2;86,9;82,1;78,0;;
Северо-Кавказский        федеральный округ;59,2;62,6;61,4;66,0;62,0;;
Республика Дагестан;47,5;54,0;59,1;62,8;47,8;;
Республика Ингушетия;56,2;57,9;68,7;70,5;73,8;;
Кабардино-Балкарская   Республика;58,4;64,9;63,5;68,2;61,3;;
Карачаево-Черкесская     Республика;58,0;53,8;66,8;69,4;63,3;;
Республика Северная    Осетия – Алания;72,8;64,4;69,9;87,2;72,3;;
Чеченская Республика;55,7;77,3;18,9;39,4;61,7;;
Ставропольский край;66,3;65,9;71,1;69,6;69,3;;
Приволжский      федеральный округ;68,2;69,7;71,1;71,4;70,4;;
Республика Башкортостан;68,2;70,6;71,6;72,0;71,8;;
Республика Марий Эл;66,5;72,6;67,8;63,0;56,5;;
Республика Мордовия;73,8;70,6;68,9;65,3;63,5;;
Республика Татарстан;75,7;81,4;79,4;78,2;72,8;;
Удмуртская Республика;75,5;68,8;71,5;70,3;64,3;;
Чувашская Республика;70,0;73,2;66,8;60,6;59,0;;
Пермский край;70,1;68,5;71,9;69,4;69,3;;
Кировская область;63,1;66,5;67,7;61,1;62,0;;
Нижегородская область;66,3;62,1;67,5;67,9;68,7;;
Оренбургская область;65,2;70,1;73,1;79,8;76,9;;
Пензенская область;63,4;67,8;68,7;71,5;67,0;;
Самарская область;66,8;72,8;73,0;81,2;81,1;;
Саратовская область;63,8;64,1;67,7;69,6;71,9;;
Ульяновская область;63,4;63,0;67,8;62,4;67,9;;
Уральский          федеральный округ;73,4;71,4;75,3;73,8;72,7;;
Курганская область;60,5;63,7;63,1;62,0;64,3;;
Свердловская область;75,4;69,5;75,7;69,0;68,2;;
Тюменская область;81,4;79,6;82,1;84,9;83,1;;
в том числе:;;;;;;;
Ханты-Мансийский      автономный округ – Югра;88,2;84,6;84,5;89,5;86,1;;
Ямало-Ненецкий    автономный округ;93,2;91,2;89,8;94,7;96,5;;
Тюменская область без автономных округов;69,8;69,9;76,6;76,3;74,9;;
Челябинская область;67,2;68,6;71,8;72,9;71,2;;
Сибирский    федеральный округ;70,0;71,8;71,4;69,6;67,0;;
Республика Алтай;63,4;76,5;62,1;72,5;67,8;;
Республика Тыва;68,1;67,9;58,1;69,2;57,5;;
Республика Хакасия;65,1;77,9;65,9;70,1;65,6;;
Алтайский край;67,5;67,8;69,1;69,9;69,9;;
Красноярский край;70,8;72,0;73,4;71,5;70,5;;
Иркутская область;67,4;76,0;69,3;67,3;66,4;;
Кемеровская область;71,3;69,7;73,3;69,9;65,3;;
Новосибирская область;74,3;73,9;75,4;67,3;70,0;;
Омская область;72,5;71,7;74,0;73,2;60,6;;
Томская область;63,7;69,3;63,1;66,0;62,6;;
Дальневосточный   федеральный округ;70,1;69,5;71,7;72,2;69,0;;
Республика Бурятия;65,8;69,5;68,8;72,6;66,3;;
Республика Саха (Якутия);73,7;70,2;70,0;67,3;60,7;;
Забайкальский край;65,1;64,2;70,5;66,3;61,7;;
Камчатский край;75,8;72,0;66,1;68,6;77,5;;
Приморский край;74,1;72,0;78,1;76,5;74,6;;
Хабаровский край;68,5;70,4;73,4;71,9;72,3;;
Амурская область;63,6;65,6;64,8;72,4;65,4;;
Магаданская область;79,1;81,1;78,7;78,8;77,7;;
Сахалинская область;74,4;67,7;65,6;74,9;71,1;;
Еврейская автономная    область;63,7;65,7;62,8;68,8;55,3;;
Чукотский автономный  округ ;77,7;77,1;85,0;78,6;83,5;;
___________;;;;;;;
"1)  Выборочное обследование осуществляется с 2013 г .; данные публикуются с 2014 г.";;;;;;;
