Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;
18.9. ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения 1);;;;;;;;;
18.9.1. Число активных абонентов фиксированного широкополосного доступа к сети Интернет ;;;;;;;;;
"(на конец года; единиц)";;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;
Ленинградская область;7,4;8,7;10,0;9,7;10,1;11,0;11,2;11,5;
Мурманская область;15,3;17,2;18,4;19,5;23,4;25,9;28,3;28,7;
Новгородская область;13,6;14,8;15,2;15,3;15,6;16,0;18,0;17,5;
Псковская область;6,3;7,6;8,3;8,5;8,9;7,9;15,6;16,7;
г. Санкт-Петербург ;19,4;21,9;26,9;27,4;28,8;29,3;31,9;29,3;
Южный                  федеральный округ;9,3;11,1;13,0;12,2;13,8;13,6;16,7;17,7;
Республика Адыгея;3,7;4,9;5,6;6,2;7,0;9,4;9,7;10,1;
Республика Калмыкия;4,5;6,1;7,6;8,5;9,6;8,7;8,8;13,8;
Республика Крым;;;;0,5;2,5;3,9;10,0;10,4;
Краснодарский край;8,9;11,4;13,2;14,9;17,1;16,2;18,9;20,2;
Астраханская область;9,5;11,3;12,3;12,7;13,4;13,0;14,9;15,9;
Волгоградская область;12,1;13,9;15,9;14,1;14,9;14,1;15,8;16,5;
Ростовская область;9,1;9,9;12,2;14,3;16,1;15,7;20,1;21,1;
г. Севастополь;;;;2,8;4,2;6,6;7,1;6,6;
Северо-Кавказский       федеральный округ;3,4;4,3;5,2;5,9;6,4;6,4;8,4;8,6;
Республика Дагестан;0,5;0,9;1,6;1,9;2,3;2,6;2,4;2,5;
Республика Ингушетия ;0,5;0,6;0,6;0,3;0,3;0,9;1,0;1,2;
Кабардино-Балкарская Республика;4,9;6,8;7,9;8,5;10,0;9,4;9,5;9,9;
Карачаево-Черкесская Республика;4,4;5,6;6,5;7,5;8,9;8,5;10,1;10,3;
Республика Северная Осетия – Алания;5,7;6,9;7,7;7,8;8,7;8,0;12,7;15,8;
Чеченская Республика ;0,1;0,1;0,1;2,2;1,0;3,0;4,0;4,3;
Ставропольский край;7,2;9,0;10,4;11,4;12,5;11,7;16,7;16,3;
Приволжский        федеральный округ;13,2;16,1;18,2;18,2;19,5;20,0;21,8;22,0;
Республика Башкортостан;13,2;16,1;18,7;19,5;19,6;20,2;21,3;21,5;
Республика Марий Эл;12,0;13,9;14,9;15,6;16,2;17,2;18,2;18,4;
Республика Мордовия;9,6;12,1;12,5;13,3;17,1;17,9;18,6;18,5;
Республика Татарстан;18,9;21,8;24,2;22,8;23,9;24,5;25,5;25,7;
Удмуртская Республика;15,0;17,9;19,5;18,1;18,9;19,4;20,0;20,5;
Чувашская Республика;6,3;8,7;9,6;10,0;16,6;17,1;21,9;24,0;
Пермский край;10,6;10,4;11,6;12,5;14,2;14,3;22,0;21,9;
Кировская область;14,4;16,7;17,8;14,8;19,1;19,9;20,6;21,0;
Нижегородская область ;14,2;18,2;21,1;22,4;23,7;24,8;23,3;23,6;
Оренбургская область;11,7;14,8;16,6;17,3;16,2;16,6;17,4;18,2;
Пензенская область;9,1;11,5;17,2;16,8;17,9;18,6;19,4;19,7;
Самарская область;13,2;18,4;20,0;19,1;19,7;20,2;21,8;21,9;
Саратовская область;12,7;15,4;17,5;18,5;19,9;19,8;22,0;21,5;
Ульяновская область;14,1;16,6;17,5;16,7;19,8;19,5;23,5;23,0;
Уральский       федеральный округ;14,1;16,9;18,7;19,9;21,8;21,4;24,3;24,6;
Курганская область;10,4;13,4;15,4;16,0;16,9;17,1;20,2;20,4;
Свердловская область ;14,3;16,7;18,6;20,1;23,2;21,1;23,7;24,5;
Тюменская область;16,6;18,0;18,0;19,5;20,4;20,8;25,5;24,9;
в том числе:;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;15,2;16,6;15,7;18,9;19,6;19,8;25,8;25,2;
Ямало-Ненецкий автономный    округ;14,3;15,3;16,0;18,1;19,7;20,3;22,7;23,1;
Тюменская область     без автономных округов;19,0;20,5;21,4;20,6;21,7;22,2;26,0;25,4;
Челябинская область;12,5;16,9;20,2;20,9;22,8;23,5;24,7;25,5;
Сибирский       федеральный округ;10,7;14,3;15,9;16,6;17,8;18,2;19,4;20,3;
Республика Алтай;3,6;4,1;4,9;5,2;6,3;8,8;7,6;8,5;
Республика Тыва;1,2;1,4;1,8;2,2;2,4;3,4;4,4;4,9;
Республика Хакасия;7,9;8,2;8,6;9,2;10,3;10,7;11,4;12,3;
Алтайский край;7,8;12,2;13,3;14,4;16,2;17,0;17,8;18,3;
Красноярский край;10,1;13,6;15,0;15,0;15,7;14,0;13,6;15,0;
Иркутская область;7,2;11,5;14,5;16,9;16,4;17,1;19,5;20,5;
Кемеровская область;10,3;12,7;14,4;15,4;16,7;17,3;18,0;18,3;
Новосибирская область ;20,1;25,9;28,2;29,3;30,9;32,4;34,7;36,4;
Омская область;9,6;14,0;14,6;13,3;14,0;14,6;15,9;16,5;
Томская область;11,2;11,7;11,8;12,0;16,5;17,0;19,5;19,6;
Дальневосточный  федеральный округ;9,9;11,1;11,6;12,7;14,7;15,5;17,2;17,5;
Республика Бурятия;4,6;5,5;6,5;7,1;9,3;13,1;14,1;14,5;
Республика Саха (Якутия);9,4;9,6;9,2;9,4;13,4;13,8;16,0;15,8;
