Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;
18.5. ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;
18.5.1. Организации, использовавшие системы электронного документооборота1);;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Уральский          федеральный округ;64,4;63,0;62,0;66,7;62,5;66,3;66,2;68,2;;;;
Курганская область;80,1;80,6;67,8;55,6;54,1;60,4;59,1;62,9;;;;
Свердловская область;65,2;63,0;64,0;73,9;64,4;67,7;67,6;68,1;;;;
Тюменская область;62,1;60,6;60,2;64,0;62,1;67,5;66,4;69,2;;;;
в том числе:;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;60,3;61,6;61,6;58,3;60,0;66,9;65,7;68,5;;;;
Ямало-Ненецкий    автономный округ;63,2;61,1;57,4;93,7;59,9;67,6;67,0;67,6;;;;
Тюменская область без автономных округов;63,4;59,2;59,9;57,2;65,6;68,2;66,8;71,0;;;;
Челябинская область;61,9;59,9;60,2;67,5;65,5;65,6;67,9;69,5;;;;
Сибирский    федеральный округ;61,4;58,5;60,1;55,9;61,7;63,6;62,4;66,9;;;;
Республика Алтай;72,2;68,6;78,6;88,7;77,7;80,6;77,9;75,1;;;;
Республика Тыва;60,4;49,3;58,1;54,4;56,0;65,4;75,9;63,9;;;;
Республика Хакасия;71,1;67,3;67,5;68,1;71,8;68,4;61,1;64,8;;;;
Алтайский край;58,5;53,8;57,0;55,2;63,5;66,8;63,2;74,6;;;;
Красноярский край;56,7;56,7;59,4;51,3;65,1;63,8;61,3;65,5;;;;
Иркутская область;64,3;62,1;62,7;55,4;58,7;59,3;63,3;62,5;;;;
Кемеровская область;70,5;65,8;62,2;56,0;59,1;62,4;60,4;63,9;;;;
Новосибирская область;59,3;55,9;58,4;58,2;66,1;62,4;61,7;70,0;;;;
Омская область;56,8;56,7;58,8;51,0;52,9;62,1;62,5;67,7;;;;
Томская область;72,8;61,8;58,8;56,9;60,8;66,9;59,4;65,4;;;;
Дальневосточный   федеральный округ;58,3;59,2;60,3;57,1;61,5;64,9;64,2;66,4;;;;
Республика Бурятия;60,1;58,0;59,2;51,3;56,1;60,3;50,2;54,1;;;;
Республика Саха (Якутия);47,3;50,2;54,1;52,7;57,6;59,4;60,2;63,0;;;;
Забайкальский край;62,8;65,7;69,7;59,4;67,1;68,2;71,0;73,1;;;;
Камчатский край;65,3;67,1;68,3;59,0;65,0;72,3;71,4;60,7;;;;
Приморский край;58,8;58,1;55,8;57,4;57,4;62,0;62,3;67,0;;;;
Хабаровский край;69,1;69,0;68,1;64,4;71,1;75,2;73,0;73,5;;;;
Амурская область;52,5;53,8;54,1;60,5;65,8;68,9;68,9;71,1;;;;
Магаданская область;64,9;65,9;65,7;55,5;61,3;64,8;64,0;64,9;;;;
Сахалинская область;60,1;60,4;63,3;55,7;63,9;64,9;67,2;67,8;;;;
Еврейская автономная    область;54,2;55,9;56,1;47,8;50,7;60,5;61,5;68,8;;;;
Чукотский автономный  округ ;68,0;65,9;62,2;58,4;54,4;56,8;54,1;55,1;;;;
_____________;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2011 г.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
