Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ1);;;;;;;;;;;;;;;;;;;
14.39.2. Площадь лесных земель, пройденная пожарами;;;;;;;;;;;;;;;;;;;
(гектар);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Татарстан;3;8;27;17;35;10;115;8;62;86;168;-;-;-;-;-;-;-;-
Удмуртская Республика;9;57;24;48;6;71;205;4;37;20;266;6;2;19;10;2;8;2;15
Чувашская Республика;3;9;40;2;2;31;119;16;31;144;9827;1;-;-;1;-;1;29;-
Пермский край;5833;3890;771;310;91;208;295;54;585;174;25379;884;229;754;353;942;344;66;175
Кировская область;174;5237;445;56;57;169;339;44;237;425;5201;1379;8;833;148;89;83;3;14
Нижегородская область;268;905;8044;149;146;946;2075;657;260;605;168770;61;20;72;886;105;28;26;126
Оренбургская область;35;123;223;2105;1676;751;1521;244;936;2483;5419;119;934;421;845;594;849;1092;2094
Пензенская область;4;100;63;34;15;100;210;56;61;1052;4265;38;0;24;162;233;11;61;171
Самарская область;9;429;88;99;24;285;888;30;198;931;5065;15;65;119;50;34;11;-;35
Саратовская область;34;200;237;89;56;519;379;206;489;1507;6364;26;11;1;110;719;20;510;1496
Ульяновская область;55;228;215;241;211;197;1007;266;388;1385;4834;21;12;17;38;3133;25;186;1994
Уральский      федеральный округ;39923;5960;8499;34286;247734;101601;98939;23819;115639;51170;372637;94658;229953;198549;11565;11259;64155;243681;43562
Курганская область;115;318;315;429;83307;509;4315;2586;30538;7283;20876;2548;9248;415;1780;3274;371;2311;5247
Свердловская область;4035;882;390;1822;36490;1787;24576;680;39494;9153;253701;27725;6561;1874;3683;1871;3475;4926;4447
Тюменская область;35499;3490;5695;28415;101937;97565;61489;19460;18837;21919;86417;59939;185291;194329;4863;2789;57783;226101;9697
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный      округ – Югра;34236;1641;1267;24718;65040;91890;13059;15068;5248;8444;52418;40950;122586;48738;1293;1567;8086;53924;6158
Ямало-Ненецкий автономный округ;340;603;3884;1510;1572;2999;3283;4007;199;3530;220;12230;57645;145120;1818;798;49367;171602;2550
Тюменская область без автономных   округов;923;1246;544;2187;35325;2676;45147;385;13390;9945;33779;6759;5059;472;1753;424;330;575;989
Челябинская область;274;1270;2099;3620;26000;1740;8559;1093;26771;12815;11643;4447;28854;1930;1239;3325;2526;10342;24171
Сибирский      федеральный округ;82524;91184;296863;455753;145153;72478;687245;134152;127143;64054;80008;285117;741539;119086;1113424;669136;941849;1474731;1911008
Республика Алтай;1195;3792;4210;13529;2265;199;450;1321;4946;216;251;4170;9007;264;1239;2024;34;1067;629
Республика Тыва;21630;12736;207986;21817;2443;14099;9996;43257;27560;8905;1653;13258;17034;32455;102672;119020;2671;44678;7776
Республика Хакасия;956;3591;6227;732;1531;2540;1544;5167;14593;6305;1441;5731;2114;1136;2683;13134;458;405;508
Алтайский край;9350;600;966;2660;1117;1810;16246;558;2905;756;11755;1111;4831;94;1071;342;322;163;183
Красноярский край;7851;22938;19968;144794;57313;10145;452072;27875;21628;6487;8597;103637;415413;54707;153996;26692;207689;505333;1590708
Иркутская область;30400;25294;52274;198087;9533;33531;122732;50407;44377;8575;42366;141872;23591;26759;732656;503708;709035;917380;307094
Кемеровская область;78;1048;974;1188;1333;1681;1108;370;1058;904;800;716;949;14;309;63;28;33;3
Новосибирская область;3886;7572;2398;6282;32225;3098;30847;140;1840;4300;1448;2931;4929;220;2192;973;835;1012;408
Омская область;4340;11825;781;3333;12787;2260;24531;547;6123;14982;10361;4256;6694;1265;112766;881;926;3642;3019
Томская область;2838;1788;1079;63331;24606;3115;27719;4510;2113;12624;1337;7435;256977;2172;3840;2299;19851;1018;679
Дальневосточный     федеральный округ;965038;751363;952564;1840566;126687;647714;645638;854213;1809148;1971345;849346;839787;1076784;785118;2052103;2057655;1495806;1541305;5428158
Республика Бурятия;122949;12439;18295;232260;8065;9187;22770;28400;98836;197204;30405;79260;105049;17687;106510;820973;140723;275700;23438
Республика Саха (Якутия);8881;480527;537439;107703;9417;335248;51188;5380;539169;249289;87219;413137;157631;674374;949542;17986;11847;626564;2859235
Забайкальский край;188993;34651;62851;959122;61007;25967;51382;387804;240375;170702;62226;208033;440853;45062;522776;905766;266489;304151;358126
Камчатский  край;321955;19643;66137;29472;13713;2014;1223;13504;2016;3484;4355;1072;1072;2319;803;1893;5101;1655;2604
Приморский край;838;11788;6678;35775;11053;10737;11437;4088;48744;97086;12527;4808;4654;3728;79753;8335;4293;89886;110262
Хабаровский край;64458;88468;100622;176753;3975;226801;65083;167276;218933;417422;40673;92891;309038;13058;50502;6994;115355;88968;250409
Амурская область;192768;52985;152978;192816;9459;31869;437597;229796;620529;267097;36561;33473;32522;25698;337321;162518;752695;98406;1688451
Магаданская область;61038;1887;3391;62917;53;3614;2089;4582;20716;490887;396775;2888;11566;230;518;4377;101594;6898;51018
Сахалинская область;78;187;2866;18492;64;578;38;1874;6763;…2);442;70;8234;228;90;47;239;4426;722
Еврейская автономная область;1146;7031;1291;5771;9847;1350;2141;2067;11679;77074;3276;1793;499;1655;3806;128042;91096;44397;81967
Чукотский автономный округ;1934;41757;16;19485;34;349;690;9442;1388;…2);174888;2362;5665;1080;483;725;6374;256;1927
?????;;;;;;;;;;;;;;;;;;;
"1) До 2009 г. - по данным Росстата по состоянию на 1 ноября; с 2010 г. - по данным Рослесхоза по итогам за год.";;;;;;;;;;;;;;;;;;;
2)  Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п. 5 ст. 4, ч. 1 ст. 9).;;;;;;;;;;;;;;;;;;;
