Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;
14.40. ;;;;;;;;;;;;;;
14.40.2. Среднегодовая численность работников организаций;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;247753;212788;192733;187031;165574;156576;144441;134310;119159;107067;103352;97532;70575;84967
Центральный     федеральный округ;15632;12973;13467;15253;12552;11709;10374;9150;8247;7410;6941;7329;5457;6595
Белгородская область;-;88;13;45;118;94;101;96;37;49;43;29;21;101
Брянская область;524;661;691;774;351;242;196;830;771;745;717;389;315;509
Владимирская область;1362;980;1117;2306;1767;2377;1930;1312;985;944;924;561;449;475
Воронежская область;427;398;223;16;30;97;65;97;116;428;332;164;46;43
Ивановская область;911;858;564;491;396;201;361;15;375;456;401;707;116;144
Калужская область;1141;786;667;1151;883;665;751;592;460;242;229;246;209;167
Костромская область;4992;3935;5612;5036;4140;3742;3327;2560;2132;1923;1450;1545;1676;1438
Курская область;42;43;36;15;21;26;130;85;87;83;82;83;149;68
Липецкая область;187;266;200;185;213;232;125;203;322;229;188;170;16;225
Московская область;525;491;391;149;105;72;74;75;1;106;-;407;464;161
Орловская область;43;53;41;58;87;90;25;48;42;23;4;13;4;8
Рязанская область;992;813;619;1053;587;461;568;574;506;201;335;474;120;327
Смоленская область;356;134;449;856;774;678;500;505;481;121;326;317;289;241
Тамбовская область;27;49;115;115;171;67;77;105;134;186;189;200;96;529
Тверская область;2975;2207;1700;1627;1545;1602;1250;1316;1264;1209;1301;1293;1150;1503
Тульская область;14;16;11;211;281;134;118;5;1;-;-;-;-;22
Ярославская область;1114;1195;1018;1165;1083;929;776;732;533;465;397;429;236;440
г. Москва;-;-;-;-;-;-;-;-;-;-;23;302;101;194
Северо-Западный     федеральный округ;87141;78367;68688;62024;49030;45542;41171;36338;33845;30738;30025;28591;15963;20149
Республика Карелия;12694;11205;9911;8070;6504;5584;4318;3459;2999;2445;1913;2028;1662;2214
Республика Коми;12723;11496;10657;10587;9924;9752;9160;7640;6552;6220;5929;5507;1752;2463
Архангельская область;21308;20232;15156;14100;10636;8995;9431;7433;6832;6163;5059;5631;5697;5889
в том числе:  ;;;;;;;;;;;;;;
Ненецкий автономный округ;2;1;2;-;-;3;-;-;-;-;-;-;-;-
Архангельская область      без автономного округа;21306;20231;15154;14100;10636;8992;9431;7433;6832;6163;5059;5631;5697;5889
Вологодская область;16275;12841;12811;10472;6926;6707;6469;6200;5531;5444;5346;4451;3206;4482
Калининградская область;402;310;303;314;176;8;63;6;33;-;-;115;43;50
Ленинградская область;19870;18693;16029;14564;12056;11488;9242;9584;9963;8280;8905;8969;2672;3129
Мурманская область;230;161;159;197;167;132;120;113;66;60;50;30;44;83
Новгородская область;1937;1900;2069;2134;2167;2201;1640;1542;1383;1651;1455;1490;260;605
Псковская область;1526;1301;1312;1528;474;675;728;361;486;471;773;363;573;686
г. Санкт-Петербург;176;228;281;58;-;-;-;-;-;4;595;7;55;548
Южный          федеральный округ;757;691;1017;1137;2139;1757;1761;1576;1493;1489;1808;1681;929;1074
Республика Адыгея;474;507;423;90;98;52;70;73;66;61;54;52;66;86
Республика Калмыкия;1;-;-;-;-;-;15;5;4;-;-;-;-;-
Республика Крым;;;;;;;;;;…;272;256;227;219
Краснодарский край;192;95;509;979;1383;1332;1332;1364;1391;1411;1473;1334;636;758
Астраханская область;2;1;2;-;-;-;2;2;2;1;3;2;-;1
Волгоградская область;60;72;72;-;586;351;319;97;1;-;-;-;-;-
Ростовская область;28;16;11;68;72;22;23;35;29;16;3;2;-;10
г. Севастополь;;;;;;;;;;…;3;35;-;-
Северо-Кавказский    федеральный округ;422;190;85;206;155;117;97;88;122;138;115;63;16;70
Республика Дагестан;-;-;-;-;-;-;-;-;-;55;55;5;10;-
Республика Ингушетия;-;-;-;-;-;8;-;-;22;-;-;3;-;-
Кабардино-Балкарская Республика;233;77;7;-;3;10;-;-;-;10;-;-;-;19
Карачаево-Черкесская Республика;156;111;70;161;127;98;97;66;51;47;24;22;1;49
Республика Северная     Осетия –  Алания;-;-;-;19;14;1;-;7;24;1;1;-;-;-
Чеченская Республика;…;-;7;26;11;-;-;15;25;25;35;33;4;1
Ставропольский край;33;2;1;-;-;-;-;-;-;-;-;-;1;-
Приволжский    федеральный округ;34823;28641;25600;27253;23504;22678;22194;21596;20724;14690;15181;13217;9000;10691
Республика Башкортостан;3098;2877;2633;1779;2623;2458;2134;2379;2184;1664;1624;1202;747;781
Республика Марий Эл;1171;795;550;1256;1238;1088;922;723;701;601;598;602;257;289
Республика Мордовия;254;131;88;777;399;561;454;243;23;-;1;- ;170;186
Республика Татарстан;1363;828;848;875;683;636;180;150;167;239;218;236;181;694
Удмуртская Республика;2537;1455;1207;2400;1929;1786;889;877;778;712;752;514;554;667
Чувашская Республика;532;316;329;224;104;87;148;35;47;19;23;23;12;3
Пермский край;8693;6799;6491;5863;4274;3448;5007;5768;6769;3602;4126;3112;2101;2567
Кировская область;12128;9611;8540;7910;7451;6153;6443;5416;4755;3927;4006;3795;3389;3636
Нижегородская область;3486;3894;3179;3267;2855;4957;4326;3732;3013;2310;2304;2319;925;1063
Оренбургская область;71;80;-;319;-;-;-;-;-;3;-;- ;42;63
Пензенская область;706;528;423;1519;934;1006;990;1498;1497;960;962;925;396;321
Самарская область;141;145;125;251;143;9;9;57;50;-;-;32;5;-
Саратовская область;13;547;373;307;262;202;192;179;178;164;209;146;38;212
Ульяновская область;630;635;814;506;609;287;500;539;562;489;358;311;183;210
Уральский    федеральный округ;16628;11878;8988;9153;8107;7717;8207;8752;7085;6043;5353;4707;3103;3814
Курганская область;444;167;267;407;324;557;409;595;620;1011;820;296;506;381
Свердловская область;10746;8556;5717;6110;4658;3986;4770;5187;3617;3206;2662;2753;1642;1947
Тюменская область;5166;2892;2738;2456;2342;2448;2210;2125;2011;1071;1153;1065;584;1155
в том числе:;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;4064;2167;2043;1883;1725;1978;1698;1592;1593;835;941;735;258;802
Ямало-Ненецкий автономный округ;135;64;22;23;25;26;27;30;28;29;33;25;13;53
Тюменская область без  автономных округов;967;661;673;550;592;444;484;503;390;208;176;304;314;300
Челябинская область;272;263;266;180;783;726;818;845;837;755;718;593;371;331
Сибирский     федеральный округ;55629;45192;43270;42357;42431;42972;36774;34599;29537;28273;26704;24321;19925;25418
Республика Алтай;392;383;429;446;355;243;224;216;175;183;158;130;42;90
Республика Тыва;50;52;40;26;56;26;14;40;26;6;6;7;18;23
Республика Хакасия;3174;1755;733;589;195;286;156;173;27;172;130;89;45;116
Алтайский край;1203;1070;2036;3019;3083;3483;3619;3690;3255;3284;2805;2675;2073;2678
Красноярский край;16715;14594;13476;13731;13589;13162;12118;9658;8522;7935;7358;6329;5405;7186
Иркутская область;27019;20946;18447;17515;17733;19112;15405;16190;13873;12862;12395;12063;9582;12089
