Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
 15.9. ВВОД В ДЕЙСТВИЕ МОЩНОСТЕЙ ОБЩЕОБРАЗОВАТЕЛЬНЫХ  ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;
15.9.1. Ввод в действие мощностей общеобразовательных организаций;;;;;;;;;;;;;;;;;;;
(ученических мест);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Мордовия;1002;1214;1143;1088;454;562;270;640;250;180;120;200;98;-;-;950;150;2290;715
Республика Татарстан;11416;9946;5058;8232;3918;3944;5194;1704;3228;1883;1871;1360;1639;3104;2529;2570;2023;5581;5885
Удмуртская Республика;3323;2652;1184;1370;1228;472;756;935;618;536;254;742;618;862;118;200;112;1650;1565
Чувашская Республика;1302;3017;3188;1426;686;216;1387;1460;410;690;-;140;660;1060;-;205;165;1100;1629
Пермский край;3729;378;664;986;1264;1817;752;972;976;108;1280;502;1160;224;140;880;1200;1625;2726
Кировская область;568;252;1755;182;162;516;268;162;328;1045;160;199;-;-;213;-;1070;1000;865
Нижегородская область ;1761;1103;162;514;2399;1246;626;2130;1394;2920;1040;110;400;-;500;176;550;2050;499
Оренбургская область;2456;2575;1148;180;436;1637;566;910;1744;625;980;75;-;460;975;100;2233;2645;1135
Пензенская область;318;516;480;228;1346;-;360;50;-;60;-;275;-;700;40;-;1100;1275;660
Самарская область;3248;1095;2415;-;1121;1169;180;-;180;3080;-;-;-;448;380;-;3887;1500;2000
Саратовская область;389;1838;1404;1292;640;1040;700;798;575;2176;624;96;825;412;-;-;-;1181;2200
Ульяновская область;926;-;-;-;-;36;-;-;246;-;-;144;-;224;-;-;300;-;1000
Уральский      федеральный округ;19032;12103;7483;6559;6665;11093;6778;9791;7683;7340;4267;4057;2020;8186;3384;3711;4625;5554;6735
Курганская область;40;294;328;236;-;-;-;-;-;-;515;-;-;-;80;-;275;155;-
Свердловская область ;2212;1163;1734;768;750;743;960;2491;350;2050;275;1474;860;1380;694;550;1550;1805;1398
Тюменская область;12897;8986;4981;3543;5520;7964;5293;5930;4683;5190;3477;1344;1160;6806;1610;3161;1800;2419;2912
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;6808;5414;1112;2415;3639;3565;2245;1825;1273;1800;1200;640;200;2325;1140;1841;1072;787;610
Ямало-Ненецкий автономный округ;4634;1593;1355;155;1455;2870;1110;1395;1885;3330;1280;-;960;1300;350;220;728;-;720
Тюменская область без  автономных округов;1455;1979;2514;973;426;1529;1938;2710;1525;60;997;704;-;3181;120;1100;-;1632;1582
Челябинская область;3883;1660;440;2012;395;2386;525;1370;2650;100;-;1239;-;-;1000;-;1000;1175;2425
Сибирский       федеральный округ;16743;10797;10177;11468;5421;9794;5056;5964;6819;4080;5689;7255;3284;7018;4364;3842;5694;10821;9306
Республика Алтай;920;427;927;314;70;504;1134;645;312;-;1871;400;-;100;119;-;216;-;640
Республика Тыва;350;1988;1630;1476;-;666;-;460;834;-;-;-;-;361;-;-;-;825;-
Республика Хакасия;233;-;663;-;1335;539;-;237;50;-;-;160;110;260;-;-;435;-;170
Алтайский край;3101;2304;1555;1445;204;1910;798;2434;834;753;552;471;865;519;716;140;682;842;950
Красноярский край;3441;972;572;1614;52;2400;2352;180;1873;595;875;2714;460;2164;824;1730;181;1500;280
Иркутская область;3420;1712;2595;742;1192;974;72;312;430;20;452;630;1055;732;180;-;870;3150;2349
Кемеровская область;1140;1163;666;1575;855;414;-;185;998;457;480;1650;120;550;-;850;1050;1508;1050
Новосибирская область ;1448;1731;1165;2110;1259;340;165;675;151;2052;740;450;512;2079;1135;452;550;1796;2767
Омская область;462;500;404;190;234;1847;-;836;812;58;440;680;62;46;550;670;550;-;-
Томская область;2228;-;-;2002;220;200;535;-;525;145;279;100;100;207;840;-;1160;1200;1100
Дальневосточный   федеральный округ;7875;7537;4232;9359;7271;5529;6587;7497;3786;6212;5636;4604;1806;5595;4501;4262;1741;3464;3364
Республика Бурятия;500;978;1009;652;668;120;602;1133;1161;748;594;1650;150;220;620;850;60;375;1019
Республика Саха (Якутия);1357;3702;2360;4072;3832;2787;2680;2603;1637;2420;1741;1694;1316;2310;1395;1316;1165;1383;2040
Забайкальский край;1221;846;540;1123;488;350;1850;1847;440;1822;-;190;-;750;200;160;216;-;-
Камчатский край;-;-;-;168;-;-;160;176;50;-;125;-;-;200;400;-;-;-;-
Приморский край;572;-;48;-;258;-;400;154;154;-;308;825;-;1045;160;-;-;-;-
Хабаровский край ;2489;1747;-;2076;450;-;471;276;194;-;80;15;80;750;20;1000;-;800;80
Амурская область;1736;264;275;1268;645;1150;-;-;150;528;192;80;260;-;-;-;-;-;-
Магаданская область;-;-;-;-;-;-;-;-;-;270;90;-;-;-;-;30;-;-;-
Сахалинская область;-;-;-;-;250;504;308;-;-;110;1506;150;-;-;1706;906;300;906;225
Еврейская автономная область;-;-;-;-;-;-;-;250;-;-;1000;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;680;618;116;1058;-;314;-;-;-;320;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
