Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;
12.3.4. Оборот малых предприятий1);;;;;;;;;;;
(миллиардов  рублей);;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018;;;;
Мурманская область;94,8;102,5;112,3;112,6;158,6;177,1;167,4;;;;
Новгородская область;62,2;71,0;76,3;82,8;107,4;85,9;86,6;;;;
Псковская область;69,0;72,6;75,8;79,7;103,0;142,4;157,9;;;;
г. Санкт-Петербург;1365,0;1431,1;1448,5;1504,4;3317,5;3924,3;4149,5;;;;
Южный        федеральный округ;1628,8;1819,6;1945,2;2177,1;2803,2;3800,6;3588,6;;;;
Республика Адыгея;35,7;37,9;38,8;43,5;48,8;57,4;68,3;;;;
Республика Калмыкия;8,1;6,9;8,3;9,5;10,3;11,9;16,0;;;;
Республика Крым;;;;30,1;155,7;192,8;262,2;;;;
Краснодарский край;726,2;834,7;935,9;998,6;1104,8;1790,4;1466,2;;;;
Астраханская область;66,1;71,5;76,6;83,6;99,0;108,6;114,8;;;;
Волгоградская область;217,9;246,1;250,7;281,6;334,4;513,6;455,4;;;;
Ростовская область;574,8;622,5;635,0;719,3;956,4;1057,5;1130,1;;;;
г. Севастополь;;;;10,9;93,8;68,3;75,5;;;;
Северо-Кавказский федеральный округ;515,0;586,8;673,9;767,4;927,0;1016,1;1031,6;;;;
Республика Дагестан;136,5;141,6;163,2;187,6;192,1;193,1;294,0;;;;
Республика Ингушетия;6,5;8,0;14,3;15,7;15,6;13,0;15,7;;;;
Кабардино-Балкарская Республика;26,7;30,1;31,9;37,3;47,3;50,6;62,6;;;;
Карачаево-Черкесская Республика;23,3;21,3;28,0;24,3;20,4;31,8;32,7;;;;
Республика Северная Осетия – Алания;35,9;31,7;43,2;40,9;44,8;45,9;53,7;;;;
Чеченская Республика;17,7;30,4;45,5;65,3;102,6;85,8;107,0;;;;
Ставропольский край;268,4;323,6;347,8;396,2;504,2;595,8;465,8;;;;
