Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.8. ЧИСЛО ДЕЙСТВУЮЩИХ ФИЛИАЛОВ КРЕДИТНЫХ ОРГАНИЗАЦИЙ В СУБЪЕКТЕ1);;;;;;;;;;;;;;;;;;;;
(на начало года);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;3923;3793;3433;3326;3219;3238;3295;3281;3455;3470;3183;2926;2807;2349;2005;1708;1398;1098;890;709
Центральный       федеральный округ;…;882;768;737;709;722;728;732;758;761;687;603;583;458;397;348;292;218;171;134
Белгородская область;37;31;29;27;29;32;35;32;34;33;33;25;23;12;11;10;7;6;6;5
Брянская область;33;31;32;32;20;21;26;26;30;30;25;24;21;13;11;7;5;4;3;2
Владимирская область;38;39;37;32;31;31;26;30;30;30;23;23;23;18;13;12;9;8;4;2
Воронежская область;51;47;38;35;34;40;43;48;54;58;58;54;49;31;31;28;22;16;15;12
Ивановская область;25;25;17;18;18;22;21;22;21;20;17;15;13;14;12;11;8;6;2;2
Калужская область;30;29;31;32;30;31;28;27;29;29;27;23;22;13;11;9;5;3;4;4
Костромская область;20;19;13;15;17;18;15;13;17;15;12;11;12;9;7;5;5;4;3;3
Курская область;30;31;28;26;18;19;21;20;21;22;21;18;17;11;9;7;5;4;4;2
Липецкая область;25;27;22;18;17;19;20;20;24;27;26;24;21;13;11;9;6;5;4;2
Московская область;187;195;168;157;151;149;149;141;127;117;102;83;81;70;47;40;37;18;3;3
Орловская область;30;27;20;21;22;21;22;24;24;22;20;19;18;15;13;12;11;7;6;5
Рязанская область;35;35;27;27;23;25;24;26;26;28;22;18;18;14;11;10;8;6;6;4
Смоленская область;35;38;29;30;29;31;30;28;29;30;23;19;20;15;13;8;5;4;3;2
Тамбовская область;37;35;29;25;20;21;21;20;20;20;17;13;11;6;4;3;3;3;3;2
Тверская область;41;30;30;31;36;36;38;39;40;36;33;32;26;14;14;11;9;8;5;4
Тульская область;31;36;34;35;39;36;30;33;34;36;29;25;23;15;14;12;12;9;7;6
Ярославская область;33;34;32;30;34;37;36;41;42;42;36;32;31;28;25;24;19;11;7;4
г. Москва;165;173;152;146;141;133;143;142;156;166;163;145;154;147;140;130;116;96;86;70
Северо-Западный     федеральный округ;…;396;396;382;373;364;376;393;431;407;386;367;318;311;288;251;209;165;144;101
Республика Карелия;24;26;28;24;24;20;20;22;23;22;19;19;14;14;13;11;9;5;5;2
Республика Коми;43;43;42;41;40;35;36;36;40;41;34;33;27;24;15;11;10;8;8;5
Архангельская область;30;28;30;29;27;31;32;32;34;33;31;31;31;27;22;17;14;10;7;4
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;1;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Архангельская область     без автономного округа;30;28;29;27;26;29;30;30;32;32;30;30;30;26;21;16;13;9;6;3
Вологодская область;51;48;45;37;31;29;29;28;29;32;28;20;15;17;13;11;6;6;5;2
Калинингpадская область;32;29;31;30;32;32;31;33;39;37;36;33;30;27;25;23;18;10;10;9
Ленинградская область;45;41;40;40;42;42;42;45;46;37;32;28;15;13;13;11;8;4;3;2
Мурманская область;26;25;26;27;28;27;29;25;26;25;27;23;15;16;16;12;11;4;4;2
Новгородская область;29;31;29;29;19;16;16;17;18;17;16;14;11;10;9;9;6;5;4;3
Псковская область;18;18;14;13;13;10;11;14;15;13;12;11;6;6;6;7;7;6;6;4
г. Санкт-Петербург;102;107;111;112;117;122;130;141;161;150;151;155;154;157;156;139;120;107;92;68
Южный                федеральный округ;…;340;311;300;300;302;303;300;312;334;311;306;302;249;224;214;176;122;95;78
Республика Адыгея;10;11;10;6;6;6;6;6;6;6;5;6;6;5;5;5;4;3;2;2
Республика Калмыкия;8;7;5;5;4;5;4;4;4;4;3;3;3;3;3;3;2;1;1;1
Республика Крым;;;;;;;;;;;;;;;…;13;9;6;3;2
Краснодарский край;120;116;106;102;101;105;106;103;107;110;105;105;98;80;72;59;52;39;34;27
Астраханская область;32;32;29;28;28;29;29;26;29;30;26;24;24;21;17;12;9;5;2;2
Волгоградская область;59;59;57;55;58;58;63;56;66;74;63;58;56;43;35;32;23;16;13;12
Ростовская область;132;115;104;104;103;99;95;105;100;110;109;110;115;97;92;85;73;51;40;32
г. Севастополь;;;;;;;;;;;;;;;…;5;4;1;-;-
Северо-Кавказский     федеральный округ;…;233;176;180;166;166;168;168;173;169;173;173;177;169;155;99;72;53;42;38
Республика Дагестан;117;113;76;76;75;75;75;74;72;70;76;76;82;85;76;25;15;9;5;5
Республика Ингушетия;7;3;4;6;5;5;5;4;5;4;5;5;6;8;7;3;3;2;2;2
Кабардино-Балкарская Республика;19;18;16;18;9;9;11;12;13;12;13;13;13;13;12;11;6;3;3;3
Карачаево-Черкесская Республика;14;14;6;5;5;5;5;4;4;4;4;4;4;4;4;5;5;4;4;2
Республика Северная Осетия – Алания;29;23;19;19;17;17;18;17;16;15;11;12;11;11;9;9;8;6;5;3
Чеченская Республика;-;-;1;1;1;1;1;1;1;2;4;5;4;6;3;4;4;5;3;3
Ставропольский край;61;62;54;55;54;54;53;56;62;62;60;58;57;42;44;42;31;24;20;20
Приволжский        федеральный округ;…;787;717;682;631;648;671;696;746;774;694;628;619;518;389;322;256;205;146;112
Республика Башкортостан;100;72;58;52;44;45;49;52;60;67;59;53;54;36;33;31;23;17;16;15
Республика Марий Эл;22;23;24;25;25;26;25;22;23;20;20;17;17;16;13;12;8;7;4;2
Республика Мордовия;30;21;21;20;17;18;18;15;15;16;11;9;9;8;5;4;4;3;3;3
Республика Татарстан;99;98;98;99;98;102;103;111;102;95;94;96;96;89;66;49;38;29;16;8
Удмуртская Республика;47;43;44;34;28;26;29;30;31;33;29;23;23;22;11;8;4;4;3;3
Чувашская Республика;28;29;30;29;20;22;21;24;27;26;21;19;18;16;8;6;4;4;2;2
Пермский край;77;74;55;55;52;54;56;62;72;76;68;64;63;57;37;33;28;19;14;11
Кировская область;56;49;50;50;26;27;27;27;29;29;22;18;18;18;7;7;7;5;5;5
Нижегородская область;103;106;85;88;83;81;86;94;106;117;116;92;97;97;78;71;55;49;41;32
Оренбургская область;49;43;41;40;39;43;48;48;52;57;46;39;37;19;15;11;11;10;5;4
Пензенская область;38;38;32;24;28;32;32;28;31;34;30;26;24;17;15;11;8;6;5;3
Самарская область;92;88;80;73;77;77;82;87;93;99;87;84;78;60;52;47;39;31;22;16
Саратовская область;78;76;73;65;67;65;66;68;74;73;67;66;64;48;38;22;18;13;5;4
Ульяновская область;25;27;26;28;27;30;29;28;31;32;24;22;21;15;11;10;9;8;5;4
Уральский          федеральный округ;…;444;429;419;417;394;381;365;397;399;366;336;325;254;231;193;151;136;122;108
Курганская область;23;22;23;23;24;25;27;22;23;23;19;14;14;9;8;7;4;4;4;3
Свердловская область;147;149;141;143;128;105;89;89;99;106;97;94;93;70;67;65;53;49;48;41
