Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;;;;;;
СТРОИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ;;;;;;;;;;;;;;;;;;;;;;;;
15.1. ЧИСЛО ДЕЙСТВУЮЩИХ СТРОИТЕЛЬНЫХ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Карачаево-Черкесская Республика;229;183;187;184;226;212;221;192;239;248;280;225;183;233;239;366;447;252;508;;;;;
Республика Северная Осетия - Алания;444;628;450;271;382;273;283;314;382;527;731;809;427;422;420;564;462;512;523;;;;;
Чеченская Республика;..;…;…;…;...;…;…;265;319;454;479;363;309;155;364;934;1047;508;1234;;;;;
Ставропольский край;1256;1231;979;1403;1416;1322;1468;1225;1177;1308;1269;1607;2701;2698;2786;3098;2941;3146;3181;;;;;
Приволжский   федеральный округ;22362;21397;23086;23617;24601;22843;24430;26179;31988;35054;34082;39355;40583;44755;44487;50274;57465;57458;58909;;;;;
Республика Башкортостан;2248;1864;3183;3619;3884;3543;3483;3712;4164;4700;4674;4194;4615;6090;6115;7253;8084;8564;8278;;;;;
Республика Марий Эл;481;485;490;375;339;344;395;447;512;460;413;441;461;485;510;524;531;541;527;;;;;
Республика Мордовия;620;692;785;859;829;724;868;984;730;985;997;917;1140;1236;1226;1257;1265;1160;1179;;;;;
Республика Татарстан;3750;3812;4029;3708;3778;3498;3703;3951;4490;6191;5826;6002;6536;6533;6499;9688;10578;10832;10805;;;;;
Удмуртская Республика;1212;1054;1086;1148;1085;980;1227;1675;1791;2344;2288;2385;2185;2448;2650;2287;2480;2337;2714;;;;;
Чувашская Республика;804;658;676;719;851;1002;1155;1242;1643;1814;1911;1926;1910;1875;1984;2201;2529;2396;2341;;;;;
Пермский край;1645;1320;1708;1647;1822;1635;2065;1928;1917;2537;2400;4703;4601;4873;4754;7945;7449;6640;6278;;;;;
Кировская область;571;580;606;571;654;593;571;634;994;1012;1008;1755;2093;2347;2637;2562;2712;2470;2375;;;;;
Нижегородская область;2385;2382;1948;2766;2996;2861;2924;3334;5678;3843;3577;4713;3259;4244;3981;3445;3438;3961;4014;;;;;
Оренбургская область;1520;1483;1407;1423;1411;1386;1536;1604;2390;2074;2230;2249;2501;2564;2756;2686;2241;2811;3614;;;;;
Пензенская область;932;859;832;682;737;825;818;761;868;1323;1171;1010;1714;1826;1701;1088;1210;1715;1847;;;;;
Самарская область;4092;4046;4132;4013;4254;3551;3793;3792;4716;5108;4974;4973;5577;5707;5157;4048;8659;8576;9299;;;;;
Саратовская область;1401;1250;1427;1406;1294;1162;1019;1036;1054;1207;1148;2676;2297;2683;2681;3477;4045;3191;3342;;;;;
Ульяновская область;701;912;777;681;667;739;873;1079;1041;1456;1465;1411;1694;1844;1836;1813;2244;2264;2296;;;;;
Уральский      федеральный округ;11430;11436;10339;9721;10328;10078;11333;11916;12643;18380;20098;22264;24872;25625;27411;24255;29741;27931;27286;;;;;
Курганская область;536;557;406;411;420;468;528;522;584;646;650;598;940;972;888;606;896;1035;928;;;;;
