Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ ;;;;;;;;;;;;;;;;
"18.1.2. Организации, использовавшие серверы1);2)";;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Волгоградская область;8,5;7,7;8,7;12,7;14,1;15,7;17,5;20,6;18,6;16,2;18,2;23,6;35,0;40,6;39,7;46,5
Ростовская область;9,2;9,0;9,2;11,5;11,7;13,4;13,1;16,5;20,4;23,5;19,4;29,7;44,0;44,6;46,5;53,8
г. Севастополь;;;;;;;;;;;;25,5;41,0;30,9;36,2;53,1
Северо-Кавказский     федеральный округ;6,0;6,3;7,7;10,2;11,3;13,1;15,8;17,1;17,6;17,1;18,9;28,8;41,7;43,4;40,7;39,4
Республика Дагестан;10,7;21,6;9,8;12,0;6,9;8,7;18,3;18,0;16,7;20,5;23,7;26,1;31,4;30,2;24,0;21,4
Республика Ингушетия;10,6;3,8;8,5;10,0;20,8;18,0;20,0;12,8;6,5;17,7;13,4;35,0;34,1;45,6;44,7;44,1
Кабардино-Балкарская      Республика;5,2;4,5;5,5;9,0;7,9;9,3;11,3;13,2;9,9;11,4;13,1;18,6;37,0;40,2;34,9;35,3
Карачаево-Черкесская       Республика;7,2;6,4;5,5;9,2;9,8;9,1;11,3;11,4;14,0;14,3;15,9;23,4;39,2;41,9;47,5;46,5
Республика Северная Осетия – Алания;5,1;5,5;7,1;7,5;10,1;11,8;13,3;15,5;16,5;17,1;16,9;27,5;36,6;39,1;46,7;50,1
Чеченская Республика;-;-;-;14,3;8,8;11,9;15,0;12,8;17,2;10,8;14,8;24,6;29,5;32,0;30,3;33,6
Ставропольский край;5,6;6,0;8,8;11,4;14,2;17,5;19,6;22,1;22,9;22,4;24,0;36,7;56,9;58,5;59,4;58,0
Приволжский       федеральный округ;6,9;7,2;8,4;9,9;11,5;13,2;15,1;17,3;18,0;17,5;18,1;20,8;45,0;48,1;48,2;52,0
Республика Башкортостан;6,8;6,5;7,6;6,9;12,6;14,3;16,1;18,7;19,3;19,5;20,8;25,8;43,7;53,2;54,0;54,4
Республика Марий Эл;6,5;5,3;6,0;6,7;5,7;6,0;7,4;8,8;12,2;12,8;15,1;14,8;44,5;42,3;42,1;43,9
Республика Мордовия;7,3;6,0;6,3;6,5;7,6;10,4;12,9;13,0;9,5;9,7;9,6;12,4;33,4;31,9;30,5;41,5
Республика Татарстан;5,2;7,0;9,5;11,7;13,2;15,9;17,2;20,4;23,8;22,3;24,5;31,9;56,0;58,0;58,8;61,1
Удмуртская Республика;6,5;7,4;6,0;9,0;12,3;14,5;16,1;17,1;15,9;16,0;16,9;16,6;50,1;46,9;46,7;53,9
Чувашская Республика;7,4;9,6;11,8;21,0;11,8;11,8;14,2;13,3;10,2;9,7;8,4;5,3;35,8;45,0;41,3;47,3
Пермский край;10,7;9,8;12,5;11,5;13,2;13,9;16,1;18,6;18,5;19,0;19,4;28,6;48,9;49,9;48,5;55,8
Кировская область;4,2;4,8;4,8;7,4;8,8;9,7;10,1;12,0;12,5;12,6;13,7;16,3;37,1;43,5;43,2;44,3
Нижегородская область;7,8;7,0;8,6;10,5;12,7;14,0;16,0;19,6;20,2;19,5;20,6;31,1;53,8;55,7;55,0;56,4
Оренбургская область;6,9;7,8;6,9;8,4;8,3;10,3;16,2;19,7;19,6;20,2;19,7;13,5;44,3;47,9;49,1;50,5
Пензенская область;7,5;6,9;7,7;9,8;12,1;11,1;11,0;11,0;14,7;14,7;17,0;25,3;50,8;53,3;51,8;51,0
Самарская область;11,4;11,1;12,8;14,3;14,7;18,8;18,9;22,8;24,2;20,5;17,6;8,0;38,4;44,9;45,0;51,1
Саратовская область;6,2;7,4;7,3;8,7;10,5;11,9;14,7;16,3;16,7;16,3;18,0;26,7;45,1;41,0;40,8;45,9
Ульяновская область;3,6;4,2;5,9;7,1;8,9;12,0;13,5;15,5;17,3;15,6;15,8;21,3;38,0;39,7;40,7;44,1
Уральский     федеральный округ;10,8;10,9;12,5;15,4;18,1;19,8;22,3;24,8;25,5;22,9;24,0;33,6;54,9;57,0;56,0;58,3
Курганская область;5,3;4,5;5,1;6,5;7,9;10,1;9,7;11,7;9,9;10,6;11,1;20,4;31,5;38,5;37,4;37,5
Свердловская область;9,3;8,6;10,8;15,1;19,0;18,4;20,4;22,6;24,2;20,5;22,7;32,1;57,0;58,4;57,9;60,3
Тюменская область;14,7;15,4;17,0;19,8;22,4;25,4;28,5;30,3;30,4;28,2;28,6;38,9;60,7;63,4;60,2;62,4
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;17,2;18,6;20,8;24,2;26,5;28,2;33,4;34,6;34,0;31,0;32,3;42,7;66,5;70,6;66,6;65,7
Ямало-Ненецкий     автономный округ;16,7;18,3;20,5;25,0;27,8;32,5;35,5;36,7;37,2;31,5;29,6;42,6;65,0;68,8;61,9;63,3
Тюменская область без автономных округов;10,6;10,1;11,5;13,0;15,6;18,7;19,6;22,1;22,9;23,4;23,5;32,8;51,7;52,6;51,9;57,7
Челябинская область;10,1;10,7;11,7;13,1;14,7;17,5;19,0;22,9;24,1;21,6;22,6;32,6;54,8;55,0;56,1;58,9
Сибирский      федеральный округ;7,7;7,5;7,8;9,8;11,3;12,3;15,0;16,9;18,2;17,5;18,5;25,1;42,9;45,8;45,3;50,1
Республика Алтай;9,6;9,3;9,6;11,4;15,0;14,8;20,6;21,2;20,4;20,3;22,5;15,2;46,7;47,6;48,8;53,0
Республика Тыва;6,0;8,6;9,4;6,3;9,5;10,1;13,0;3,5;9,8;9,9;14,1;19,4;34,4;34,1;35,1;35,1
Республика Хакасия;13,4;12,6;6,6;10,9;12,4;14,9;14,2;24,4;23,3;22,2;23,4;34,0;57,6;53,6;48,1;50,3
Алтайский край;4,3;3,7;4,0;5,0;6,9;7,3;7,8;11,3;13,2;12,3;14,3;17,0;41,3;43,0;40,5;46,9
Красноярский край;8,1;8,5;10,4;12,9;13,3;15,4;18,4;18,9;20,2;20,1;21,8;32,3;50,5;51,0;47,7;51,5
Иркутская область;10,5;10,0;14,6;17,3;17,4;18,2;18,1;18,5;17,8;17,5;18,7;26,4;49,7;49,4;49,8;48,7
Кемеровская область;10,5;9,1;8,8;12,6;15,7;17,5;19,5;21,9;23,3;21,4;22,1;26,3;50,9;52,3;52,4;55,4
Новосибирская область;8,1;6,3;5,1;6,8;7,5;7,8;12,0;13,4;14,8;14,6;15,8;21,3;28,1;38,1;40,0;49,4
Омская область;5,6;7,1;7,5;9,1;10,2;10,8;12,7;15,4;17,2;16,6;16,1;25,2;35,7;40,7;39,8;47,0
Томская область;11,4;11,9;13,1;15,4;18,5;20,6;27,0;29,6;30,7;23,4;22,9;29,7;52,0;51,4;48,0;53,7
Дальневосточный     федеральный округ;6,9;7,2;7,9;9,8;11,9;14,0;15,4;17,1;16,9;16,6;16,9;22,9;45,3;49,1;48,5;51,3
Республика Бурятия;6,8;8,5;7,2;10,1;15,3;18,8;19,7;21,1;20,9;16,5;17,0;27,8;42,5;42,3;35,7;38,6
Республика Саха (Якутия);6,1;6,2;8,0;11,2;11,0;13,5;15,3;18,4;16,3;15,9;16,0;15,6;41,7;45,3;45,7;46,4
Забайкальский край;3,4;4,2;2,6;4,9;8,2;11,0;7,6;7,9;7,3;8,9;9,1;9,2;39,4;37,2;39,8;47,2
Камчатский край;11,5;10,1;9,5;9,8;14,9;16,2;19,3;21,8;22,9;23,7;21,2;31,8;59,2;61,4;63,7;57,4
Приморский край;7,0;7,0;8,5;10,2;10,1;13,3;16,4;16,8;18,1;17,2;17,5;21,8;36,5;45,1;46,1;54,2
Хабаровский край;8,3;8,8;11,4;12,2;16,8;19,5;22,8;25,3;23,9;24,6;24,6;33,3;60,9;65,5;59,2;59,1
Амурская область;6,4;6,8;6,6;7,2;7,6;10,9;11,2;13,6;15,1;13,3;15,2;27,9;43,9;48,7;44,8;46,4
Магаданская область;5,9;8,2;8,5;12,8;18,8;18,4;21,6;24,5;24,0;23,0;23,4;32,8;57,7;60,8;58,8;59,8
Сахалинская область;7,4;7,9;8,2;11,3;13,3;13,7;15,6;17,1;16,8;19,1;18,9;25,9;54,5;56,8;62,5;61,2
Еврейская автономная     область;6,9;7,0;5,6;8,0;10,7;1,4;0,4;-;-;1,8;2,2;2,2;32,5;40,4;41,1;46,1
Чукотский автономный    округ;17,8;19,2;29,9;30,5;34,0;31,7;29,2;23,7;23,4;26,0;23,6;33,1;59,1;62,0;65,3;61,4
?????;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2003 г.;;;;;;;;;;;;;;;;
2) До 2015 г. – ЭВМ других типов.;;;;;;;;;;;;;;;;
