Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.9. ПОСТУПЛЕНИЕ ПАТЕНТНЫХ ЗАЯВОК И ВЫДАЧА ПАТЕНТОВ В РОССИИ;;;;;;;;;;;;;;;;;;;
19.9.4.  Выдано патентов на полезные модели1);;;;;;;;;;;;;;;;;;;
(единиц);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Оренбургская область;27;26;29;60;31;62;57;51;46;49;49;36;47;29;34;17;21;17;19
Пензенская область;14;23;23;34;23;25;21;57;52;90;93;94;72;62;59;38;38;44;34
Самарская область;118;162;255;418;409;368;518;448;420;395;379;333;424;418;417;291;283;268;276
Саратовская область;71;100;94;137;164;142;207;193;223;171;156;161;200;222;194;113;117;130;168
Ульяновская область;27;67;108;89;58;105;237;142;142;165;169;166;213;174;229;127;131;163;246
Уральский         федеральный округ;366;413;532;772;792;657;976;881;933;956;805;894;948;986;981;647;634;622;666
Курганская область;16;23;26;22;39;24;47;41;52;45;27;57;71;84;59;27;27;28;42
Свердловская область;137;161;204;290;292;235;360;328;326;336;323;359;365;412;384;267;265;289;309
Тюменская область;48;60;109;167;1500;99;179;146;151;155;119;121;135;155;169;129;133;107;120
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;…;…;…;…;…;15;30;14;23;26;25;32;30;32;35;18;29;17;21
Ямало-Ненецкий автономный округ;…;…;…;…;…;6;17;21;17;21;10;15;18;13;19;13;17;11;13
Тюменская область без автономных округов;…;…;…;…;…;78;132;111;111;108;84;74;87;110;115;98;87;79;86
Челябинская область;165;169;193;293;311;299;390;366;404;420;336;357;377;335;369;224;209;198;195
Сибирский           федеральный округ;290;414;422;684;743;610;789;846;799;955;945;991;909;962;1029;793;773;689;803
Республика Алтай;-;2;2;-;1;2;-;1;-;3;5;1;3;5;-;4;2;-;4
Республика Тыва;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;1;-;-
Республика Хакасия;-;-;-;-;1;-;-;-;-;3;2;1;1;5;5;8;7;3;2
Алтайский край;37;49;64;80;100;68;81;67;71;59;80;79;88;83;95;57;76;75;106
Красноярский край;52;37;46;77;82;89;99;141;132;126;135;145;152;137;128;103;108;115;152
Иркутская область;13;23;32;34;29;27;46;57;67;107;69;73;70;81;97;70;64;73;50
Кемеровская область;42;84;65;111;84;61;91;123;78;95;104;95;91;97;105;76;79;54;63
Новосибирская область;65;82;92;157;204;166;190;162;178;207;202;232;202;228;229;204;202;152;194
Омская область;39;86;78;147;126;111;132;132;110;148;171;187;140;147;198;138;108;111;130
Томская область;42;51;43;78;116;86;150;163;163;206;177;177;162;179;170;133;126;106;102
Дальневосточный федеральный округ;50;55;78;120;103;101;147;127;184;172;171;204;255;258;256;191;198;184;174
Республика Бурятия;1;-;-;4;7;6;6;11;19;23;11;18;13;9;9;7;9;7;6
Республика Саха (Якутия);2;9;8;8;-;3;4;9;7;11;12;14;34;26;40;17;23;32;35
Забайкальский край;2;6;2;3;-;-;2;-;4;6;11;9;3;4;9;3;7;4;3
Камчатский край;-;2;2;5;2;-;6;4;1;2;2;2;3;15;10;7;4;6;-
Приморский край;33;33;49;44;48;57;66;47;83;78;80;106;89;82;77;58;49;51;55
Хабаровский край;11;5;17;53;43;32;56;45;42;51;47;41;99;107;78;65;59;40;38
Амурская область;1;-;-;2;1;-;2;2;5;-;7;10;9;12;29;24;41;35;30
Магаданская область;-;-;-;1;2;-;-;1;23;-;-;2;3;2;3;8;5;2;3
Сахалинская область;-;-;-;-;-;3;4;8;-;1;1;2;2;-;1;1;1;7;4
Еврейская автономная область;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
_____;;;;;;;;;;;;;;;;;;;
1) По данным Роспатента.;;;;;;;;;;;;;;;;;;;
