Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;
 12.8. ДЕБИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;
12.8.2. Просроченная;;;;;;;;;;;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Ингушетия;293;650;314;392;537;567;406;629;907;850;607;717;1537;1101;2661;3372;3347;296;285
Кабардино-Балкарская Республика;3445;4253;4291;4013;3846;3332;3592;2555;2083;1925;2265;1488;2724;5299;4903;6574;6365;6361;4373
Карачаево-Черкесская Республика;1209;1147;1062;1183;1297;1356;1343;1292;1057;1574;1085;881;720;817;439;5335;6596;4259;9982
Республика Северная Осетия – Алания;1416;2773;2868;2756;2575;3153;3302;2685;3195;2935;3041;2897;1818;1223;875;1645;807;726;1386
Чеченская Республика;…;530;2019;5119;5443;7285;9039;11678;24329;24738;17658;18444;15482;18273;16001;16342;17363;18564;21473
Ставропольский край;12555;12496;14945;15831;10882;12025;9107;11631;7727;6714;7900;7482;14486;18013;12903;16314;14470;11711;14082
Приволжский федеральный округ;180788;165433;163888;163774;156974;133265;114958;146267;188023;191620;195187;209387;207049;240738;308131;328820;269024;279491;257944
Республика Башкортостан;34107;28684;29371;28914;26752;21943;17647;16947;18134;20360;20354;18319;16307;18815;26556;23947;39173;36268;39169
Республика Марий Эл;4004;3693;3571;3262;3165;2934;1931;1579;1755;3000;1199;1224;1390;1508;1934;1982;2636;3137;3647
Республика Мордовия;3156;2691;2975;2758;2453;1753;1462;1739;1971;1979;1872;4308;3198;2526;2402;3544;4150;3600;2453
Республика Татарстан;20325;17766;18846;16766;15464;14266;14128;27646;33831;34868;31186;34402;29806;31363;45072;22434;22621;33430;38196
Удмуртская Республика;8404;7397;6742;7028;14909;11022;5021;17565;12585;17643;21382;26862;11728;14820;22965;23897;11239;11232;7421
Чувашская Республика;5284;3830;3508;3138;2934;2667;2596;2528;3180;4961;9873;5361;3893;3119;4191;4779;8368;30262;7043
Пермский край;21176;19629;19444;16688;15676;12228;13108;13756;16832;13946;13722;27335;26910;35390;30707;24398;25044;25008;30218
Кировская область;5135;5127;6335;7666;8000;6350;5061;6114;9955;7945;8957;6452;6634;5417;5400;5612;6754;5672;5549
Нижегородская область;17072;16777;16780;19931;16752;15766;19377;22627;39949;35632;29006;33450;42410;47894;51478;59948;57973;64730;60395
Оренбургская область;9735;9532;13858;9822;7722;6967;6552;5333;9067;4781;6719;8453;5047;14891;11473;15679;14396;10864;10667
Пензенская область;5266;4379;4379;3668;3669;3119;2386;2574;2643;3007;2344;1879;1649;2367;2153;2267;2170;2158;2840
Самарская область;22041;20927;12106;11543;11685;12572;12984;15141;21765;27815;31456;24501;42967;47239;82885;118598;47953;30102;30683
Саратовская область;15675;14999;13708;20892;15371;10615;6401;6424;7153;5907;5804;5017;4945;5484;8721;12007;17040;11997;8938
Ульяновская область;9408;10002;12265;11698;12422;11063;6304;6294;9203;9776;11313;11824;10165;9905;12194;9728;9507;11031;10725
