Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.4. Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Ненецкий автономный округ;-36,9;-34,2;-41,9;-37,1;-35,0;-31,1;-20,9;-29,0;-40,3;-45,2;-53,6;-46,8;-42,5;-48,5;;;;;;
Архангельская область без автономного округа;-10,6;-16,2;-8,6;-13,1;-3,8;1,2;-2,2;-6,3;-12,9;1,2;-1,4;-6,8;-2,7;-8,0;;;;;;
Вологодская область;8,7;5,2;5,9;5,5;5,4;7,7;3,2;4,8;-5,6;-1,9;8,3;9,0;11,4;7,2;;;;;;
Калининградская область;14,1;12,8;9,8;6,8;-1,6;7,7;19,8;26,8;14,8;26,6;22,7;17,0;20,9;11,9;;;;;;
Ленинградская область;17,0;10,2;10,6;10,1;13,5;11,3;9,8;11,4;3,6;21,3;14,0;9,8;7,6;9,6;;;;;;
Мурманская область;-16,3;-12,2;-12,3;-16,3;-15,4;-8,4;-14,0;-21,3;-27,6;-31,7;-20,5;-27,7;-19,6;-20,6;;;;;;
Новгородская область;12,7;12,2;7,9;10,1;3,5;7,5;6,2;9,4;-3,7;19,0;10,6;10,8;8,1;9,1;;;;;;
Псковская область;8,4;6,2;0,1;1,7;-0,6;1,9;5,7;2,4;-10,6;26,4;32,1;29,2;33,9;41,7;;;;;;
г. Санкт-Петербург;5,3;-0,8;5,2;-3,8;-3,8;-4,4;-7,0;-2,2;-2,2;0,7;-0,1;-5,4;12,8;21,8;;;;;;
Южный            федеральный округ;13,2;10,0;11,0;10,7;13,4;12,1;8,0;8,6;2,8;15,7;16,5;7,3;4,1;3,6;;;;;;
Республика Адыгея;44,6;12,1;4,4;7,9;16,0;7,6;13,2;28,7;7,5;24,3;8,0;6,8;10,7;15,5;;;;;;
Республика Калмыкия;23,2;18,1;24,5;13,9;16,3;11,4;17,2;16,8;16,0;3,7;9,2;7,2;10,0;19,0;;;;;;
Республика Крым;;;;;;;;;;26,8;22,0;11,2;4,6;14,2;;;;;;
Краснодарский край;13,3;13,7;12,1;12,5;13,8;14,0;9,2;7,7;8,5;19,7;27,1;14,4;14,6;13,1;;;;;;
Астраханская область;-6,3;-11,2;-8,6;1,4;9,3;-2,9;-13,1;-12,4;-2,8;5,6;-1,1;-1,8;-10,3;3,5;;;;;;
Волгоградская область;4,5;0,8;7,8;6,4;12,9;9,6;4,7;5,3;-1,4;10,7;8,5;5,5;5,0;13,2;;;;;;
Ростовская область;17,2;9,2;12,2;10,2;12,6;12,2;7,9;9,8;-1,9;9,5;9,2;1,7;-5,6;-9,1;;;;;;
г. Севастополь;;;;;;;;;;-;-;-;-;-;;;;;;
Северо-Кавказский федеральный округ;5,3;3,3;8,3;0,7;11,0;7,0;3,4;15,5;9,4;24,8;14,8;12,5;13,9;17,4;;;;;;
Республика Дагестан;-1,4;-0,9;-2,4;0,5;-2,8;-9,1;-2,7;-9,5;-2,8;0,3;-1,3;7,6;5,1;5,6;;;;;;
Республика Ингушетия;-11,5;-64,6;-68,9;-32,2;-35,8;-28,7;-27,5;-11,7;2,0;8,2;9,8;6,6;19,8;12,3;;;;;;
Кабардино-Балкарская Республика;-1,1;-6,6;-35,7;2,5;-7,3;3,0;7,4;6,8;9,9;10,1;12,8;10,0;11,1;10,4;;;;;;
Карачаево-Черкесская Республика;-13,4;5,9;6,1;5,7;11,4;6,7;-8,3;16,4;18,5;25,9;9,7;19,7;7,6;5,0;;;;;;
Республика Северная Осетия – Алания;-7,8;-15,6;-10,2;-10,3;-11,3;-22,5;-15,0;-2,2;-7,6; - ; - ; - ;-;-;;;;;;
Чеченская Республика ;…;-11,1;-9,1;-2,7;-1,6;-15,8;-17,0;-23,3;-20,7;-6,2;-28,8;26,8;-20,6;-2,6;;;;;;
