Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;;;;
РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;
"14.43. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ ""РЫБОВОДСТВО"" 1)";;;;;;;;;;;;;;;;;;
14.43.2. Среднегодовая численность работников организаций ;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;15887;14850;14953;14929;14409;13621;16083;14050;13256;12873;13973;12308;11999;12641;;;;
Центральный    федеральный округ;3314;3359;2679;2499;2576;2473;4546;2512;2570;2372;2391;2129;1906;2529;;;;
Белгородская область;476;377;442;409;397;241;391;395;437;332;316;283;278;212;;;;
Брянская область;17;25;20;16;21;21;24;22;14;5;12;22;10;8;;;;
Владимирская область;95;114;126;124;97;71;84;78;84;78;75;88;61;55;;;;
Воронежская область;326;377;352;285;307;330;296;237;212;162;162;154;161;262;;;;
Ивановская область;-;8;5;4;4;4;11;17;22;20;19;19;-;3;;;;
Калужская область;57;69;71;82;120;141;85;2;1;13;13;87;110;131;;;;
Костромская область;68;73;77;81;67;76;64;76;87;124;148;156;167;181;;;;
Курская область;252;188;161;144;143;167;115;101;87;75;75;52;49;64;;;;
Липецкая область;163;182;169;169;175;183;186;180;175;181;186;177;178;201;;;;
Московская область;727;838;659;614;595;616;803;773;664;654;686;657;456;468;;;;
Орловская область;32;34;20;26;36;22;23;13;22;14;14;20;24;20;;;;
Рязанская область;346;347;39;25;48;49;27;5;3;2;1;- ;1;226;;;;
Смоленская область;143;142;160;147;142;113;157;105;176;100;73;68;103;156;;;;
Тамбовская область;139;124;94;87;86;78;77;67;60;56;59;43;47;59;;;;
Тверская область;67;71;70;45;71;84;118;95;89;74;73;53;95;131;;;;
Тульская область;40;38;35;37;42;56;63;64;61;83;60;51;52;51;;;;
Ярославская область;88;62;41;44;45;46;61;69;80;87;86;71;33;43;;;;
г. Москва;278;290;138;160;180;175;1961;213;296;312;333;128;82;258;;;;
Северо-Западный      федеральный округ;1639;1660;1539;1999;1754;1698;1809;1978;2156;2325;2313;2221;2690;2445;;;;
Республика Карелия;422;446;552;538;658;573;571;661;679;758;709;690;890;942;;;;
Республика Коми;7;7;24;106;30;15;26;13;36;18;18;8;38;40;;;;
Архангельская область;52;48;48;46;48;50;59;49;52;54;53;64;115;92;;;;
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;- ;1;2;;;;
Архангельская область   без автономного округа;52;48;48;46;48;50;59;49;52;54;53;64;114;91;;;;
Вологодская область;168;145;142;191;168;176;175;186;176;179;174;178;83;77;;;;
Калининградская область;144;99;65;59;66;53;59;45;57;59;55;22;9;40;;;;
Ленинградская область;336;336;193;465;295;289;308;263;320;237;278;435;811;479;;;;
Мурманская область;273;253;203;307;189;217;290;352;453;573;662;386;390;367;;;;
Новгородская область;15;14;16;17;33;44;44;41;40;44;49;46;35;49;;;;
Псковская область;30;34;39;31;21;52;68;120;139;140;134;135;70;100;;;;
г. Санкт-Петербург;192;278;257;239;246;229;209;248;204;263;181;257;249;260;;;;
Южный         федеральный округ;5524;4686;5118;4794;4205;3904;4158;4315;3885;3879;4048;3705;3433;3268;;;;
Республика Адыгея;138;132;110;109;69;58;45;32;38;45;48;29;34;29;;;;
Республика Калмыкия;20;19;17;14;-;-;2;3;4;29;54;8;-;5;;;;
Республика Крым;;;;;;;;;;…;43;141;62;45;;;;
Краснодарский край;1648;1236;1614;1426;1552;1421;1563;1713;1631;1524;1539;1406;1370;1077;;;;
Астраханская область;1682;1493;1542;1565;1514;1432;1254;1221;1235;1163;1250;1169;960;1243;;;;
Волгоградская область;672;651;590;464;341;395;539;599;308;490;387;288;375;281;;;;
Ростовская область;1364;1155;1245;1216;729;598;755;747;669;628;724;664;633;573;;;;
г. Севастополь;;;;;;;;;;…;3;- ;-;15;;;;
Северо-Кавказский     федеральный округ;1170;923;1172;1205;1239;863;857;790;746;735;623;795;674;701;;;;
Республика Дагестан;639;346;378;280;297;303;311;283;250;157;85;322;268;230;;;;
Республика Ингушетия;-;-;-;-;-;-;-;-;1;3;3;- ;-;-;;;;
Кабардино-Балкарская         Республика;82;80;86;82;119;122;99;71;61;59;56;50;49;94;;;;
Карачаево-Черкесская     Республика;7;12;23;18;12;12;-;1;4;10;10;2;5;1;;;;
Республика Северная Осетия – Алания;82;81;83;82;80;75;75;83;97;79;73;139;65;28;;;;
Чеченская Республика;…;-;22;14;14;8;8;13;14;32;29;9;3;-;;;;
Ставропольский край;360;404;580;729;717;343;343;339;319;395;367;273;284;348;;;;
Приволжский         федеральный округ;1467;1580;1716;1553;1322;1338;1456;1543;1371;1133;1053;1002;1014;956;;;;
Республика Башкортостан;153;219;220;241;190;161;166;168;174;184;193;221;205;184;;;;
Республика Марий Эл;35;26;12;9;18;19;14;15;18;22;21;10;8;5;;;;
Республика Мордовия;57;60;59;54;57;43;37;23;46;51;51;5;1;11;;;;
Республика Татарстан;40;96;74;101;53;54;95;106;109;104;89;167;50;54;;;;
Удмуртская Республика;99;89;86;79;85;84;105;115;91;79;84;63;186;60;;;;
Чувашская Республика;78;87;80;70;67;60;61;63;73;59;48;36;26;20;;;;
Пермский край;34;108;103;112;91;85;106;108;95;116;119;32;16;9;;;;
Кировская область;12;31;39;37;28;22;22;23;20;16;15;20;18;15;;;;
Нижегородская область;163;212;367;241;102;91;96;89;46;62;62;79;286;299;;;;
Оренбургская область;94;122;116;139;170;206;166;169;88;81;77;76;24;163;;;;
Пензенская область;56;40;35;11;98;97;153;178;203;150;90;87;22;16;;;;
Самарская область;477;310;313;276;207;262;283;301;247;83;132;120;104;82;;;;
Саратовская область;131;118;200;173;132;132;147;181;157;122;69;82;66;35;;;;
Ульяновская область;38;62;12;10;24;22;5;4;4;4;3;4;3;3;;;;
Уральский    федеральный округ;423;334;460;502;722;669;672;435;420;439;458;357;406;526;;;;
Курганская область;59;47;42;27;42;42;5;19;1;8;8;12;13;6;;;;
Свердловская область;100;92;112;120;111;113;174;129;90;66;77;74;18;55;;;;
Тюменская область;213;157;163;151;373;291;286;130;160;194;227;222;328;430;;;;
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;-;-;-;1;8;8;65;31;43;65;72;86;89;90;;;;
Ямало-Ненецкий     автономный округ;44;-;-;-;-;-;-;-;-;-;-;- ;2;59;;;;
Тюменская область     без автономных округов;169;157;163;150;365;283;221;99;117;129;155;136;237;281;;;;
Челябинская область;51;38;143;204;196;223;207;157;169;171;146;49;47;35;;;;
Сибирский     федеральный округ;366;592;526;556;577;530;522;515;556;506;545;550;597;696;;;;
Республика Алтай;-;-;-;-;1;1;1;1;-;-;-;1;1;3;;;;
