Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;;;
"8.1. ЗЕМЕЛЬНАЯ ПЛОЩАДЬ ПО ВИДАМ УГОДИЙ1) 
";;;;;;;;;;;;;;
8.1.2. Лесные земли;;;;;;;;;;;;;;
"(на конец года; тысяч га)";;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Республика Дагестан;585,0;585,0;585,0;585,0;585,0;585,0;585,0;585,0;585,0;585,0;;;;
Республика Ингушетия ;101,0;101,0;101,0;101,0;101,0;101,0;101,0;101,0;101,0;101,0;;;;
Кабардино-Балкарская Республика;196,9;196,8;196,8;196,8;196,8;196,8;196,8;196,8;196,8;196,8;;;;
Карачаево-Черкесская Республика;431,2;431,2;431,2;431,2;431,2;431,2;431,2;431,2;431,2;431,2;;;;
Республика Северная Осетия – Алания;205,8;205,8;205,8;205,8;205,9;205,9;205,9;205,9;205,9;205,9;;;;
Чеченская Республика ;336,2;336,2;336,2;336,2;336,2;336,0;336,0;336,0;336,0;336,0;;;;
Ставропольский край;112,7;113,2;113,3;113,2;112,8;110,8;110,6;110,2;110,2;110,2;;;;
Приволжский          федеральный округ;39006,6;39071,0;39081,1;39090,0;39094,0;39093,2;39094,5;39096,7;39098,7;39130,4;;;;
Республика Башкортостан;5763,2;5765,7;5765,7;5765,6;5765,6;5765,6;5765,6;5765,6;5765,6;5797,8;;;;
Республика Марий Эл;1330,2;1339,1;1339,1;1339,1;1339,1;1339,1;1339,1;1339,1;1340,6;1340,6;;;;
Республика Мордовия;725,0;725,2;725,2;725,9;726,1;726,1;726,1;726,1;726,1;726,1;;;;
Республика Татарстан;1195,6;1197,5;1197,8;1197,2;1197,8;1199,1;1199,1;1199,1;1199,1;1199,2;;;;
Удмуртская Республика;2014,8;2020,8;2020,7;2020,7;2020,7;2017,7;2017,6;2019,1;2019,1;2019,1;;;;
Чувашская Республика;601,4;602,3;602,9;603,5;603,3;603,3;603,3;603,7;603,6;603,6;;;;
Пермский край;11746,7;11747,8;11747,4;11748,9;11749,2;11749,2;11749,2;11749,2;11749,2;11749,3;;;;
Кировская область;7945,7;7945,5;7945,5;7945,6;7948,9;7949,1;7949,0;7948,9;7949,0;7949,0;;;;
Нижегородская область;3807,0;3814,4;3816,7;3816,8;3816,9;3816,9;3816,9;3816,8;3817,1;3817,4;;;;
Оренбургская область;593,5;612,7;612,8;618,6;618,5;618,5;618,5;618,5;618,6;618,4;;;;
Пензенская область;977,6;975,8;975,8;975,8;975,8;975,8;975,8;975,8;975,7;975,7;;;;
Самарская область;673,0;676,7;683,8;683,8;683,8;684,1;685,6;685,6;685,6;685,6;;;;
Саратовская область;605,1;613,1;613,3;613,3;613,4;613,7;613,7;614,2;614,2;614,2;;;;
Ульяновская область;1027,8;1034,4;1034,4;1035,2;1034,9;1035,0;1035,0;1035,0;1035,2;1034,4;;;;
Уральский         федеральный округ;73917,1;74038,3;74074,1;74072,2;74075,4;74073,9;72668,9;72667,2;72668,5;72669,1;;;;
Курганская область;1759,7;1759,5;1759,5;1759,5;1759,5;1759,5;1759,5;1759,5;1759,5;1759,5;;;;
Свердловская область;13596,8;13594,6;13630,3;13626,9;13630,1;13630,1;13630,1;13630,4;13631,8;13632,6;;;;
Тюменская область;55852,9;55978,4;55978,5;55978,4;55978,4;55977,0;54572,0;54570,0;54569,9;54569,7;;;;
в том числе:;;;;;;;;;;;;;;
