Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;;;;;;;;;;;;
13.10. ПРОИЗВОДСТВО ЭЛЕКТРОЭНЕРГИИ;;;;;;;;;;;;;;;;;;;
(миллиардов киловатт-часов);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;20009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Новгородская область;1,0;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,7;0,7;0,7;1,3;1,6;1,6;1,6;1,4;2,0;1,9
Псковская область;2,4;2,5;2,2;1,5;1,6;1,5;1,9;1,8;1,9;1,9;2,3;2,0;1,7;1,5;1,0;0,7;0,4;0,8;0,2
г. Санкт-Петербург;8,2;9,3;10,2;11,1;11,3;10,7;11,6;12,6;13,8;15,1;15,0;18,2;19,1;20,7;18,5;17,4;20,2;21,6;23,3
Южный               федеральный округ;36,6;42,1;44,4;44,9;46,5;47,6;46,4;48,6;48,4;45,6;50,5;54,5;55,8;60,6;63,0;65,8;72,5;74,1;80,3
Республика Адыгея;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2
Республика Калмыкия;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,1
Республика Крым;;;;;;;;;;;;;;;1,2;1,5;2,3;1,9;2,2
Краснодарский край;7,0;6,4;6,1;6,3;6,2;6,7;6,9;7,1;6,7;6,2;6,6;6,6;8,0;9,9;12,0;11,7;12,1;11,9;12,5
Астраханская область;3,4;3,2;3,2;3,1;3,0;3,1;2,8;3,0;3,0;2,6;2,6;2,7;3,1;3,5;4,3;4,4;4,3;4,3;4,2
Волгоградская область;15,4;17,0;16,6;17,0;18,1;18,4;16,4;18,5;16,5;16,3;15,3;15,8;16,8;17,7;16,3;15,7;16,9;18,4;17,9
Ростовская область;10,7;15,4;18,4;18,4;19,1;19,3;20,2;19,9;22,1;20,4;25,8;29,3;27,8;29,3;29,0;32,1;36,3;37,1;42,3
г. Севастополь;;;;;;;;;;;;;;;0,1;0,1;0,5;0,4;0,8
Северо-Кавказский     федеральный округ;22,5;22,7;23,0;20,7;22,2;22,5;22,9;23,4;24,9;24,0;25,1;24,8;24,3;22,9;23,8;25,0;27,3;26,8;25,1
Республика Дагестан;3,7;4,3;5,1;3,9;5,2;5,1;3,9;4,7;4,8;5,4;5,5;4,3;3,9;5,3;4,1;4,3;6,2;4,2;4,8
Кабардино-Балкарская Республика;0,1;0,1;0,2;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,6;0,6;0,5;0,5;0,5;0,5
Карачаево-Черкесская Республика;0,1;0,1;0,2;0,2;0,2;0,2;1,2;1,2;1,2;1,2;1,3;1,2;1,3;1,3;0,8;1,1;0,9;1,2;1,3
Республика Северная Осетия – Алания;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,3;0,4;0,3;0,3;0,2;0,3;0,3
Чеченская Республика;…;…;…;…;…;…;…;…;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,01;0,01
Ставропольский край;18,3;17,9;17,2;15,9;16,1;16,5;17,1;16,8;18,1;16,6;17,4;18,5;18,3;15,3;18,0;18,9;19,6;20,5;18,2
Приволжский        федеральный округ;175,8;177,7;177,0;181,8;187,5;187,5;191,1;197,7;198,4;184,7;190,7;193,6;192,8;195,0;188,1;184,8;178,8;183,8;192,7
Республика Башкортостан;24,7;24,2;23,9;23,3;23,8;24,6;25,2;25,7;24,7;22,2;25,2;25,5;24,3;22,5;22,2;22,1;23,0;23,9;24,5
Республика Марий Эл;1,0;1,1;1,1;1,1;1,2;1,3;1,3;1,3;1,3;1,1;1,2;1,1;1,0;1,0;1,0;0,9;0,9;1,0;1,0
Республика Мордовия;1,0;1,2;1,1;1,3;1,5;1,6;1,6;1,5;1,5;1,3;1,3;1,7;1,7;1,6;1,7;1,3;1,4;1,5;1,7
Республика Татарстан;23,3;23,0;23,0;23,5;23,7;23,8;25,0;25,1;24,7;22,4;24,5;24,4;24,6;23,2;22,3;21,3;22,2;22,2;27,7
Удмуртская Республика;2,6;2,7;2,7;2,9;2,9;2,9;2,9;3,2;3,2;3,1;3,0;2,9;2,9;2,9;3,9;4,1;3,7;3,5;3,9
Чувашская Республика;4,3;4,4;4,4;4,5;5,2;4,4;4,5;4,8;5,1;4,7;4,9;5,0;5,2;4,9;4,6;4,0;4,4;5,2;4,6
Пермский край;22,6;25,0;25,6;28,1;27,8;28,0;28,5;31,9;32,2;28,8;29,7;31,4;31,0;33,5;34,1;32,3;27,7;31,3;32,7
Кировская область;3,6;3,6;3,7;3,6;4,1;4,3;4,5;4,6;4,7;4,8;4,3;4,2;4,3;4,1;4,8;4,8;4,6;4,5;4,4
Нижегородская область;10,5;10,3;9,5;9,0;10,1;10,2;10,7;10,5;11,0;10,7;10,0;9,8;9,5;8,8;7,6;9,5;10,1;10,4;10,1
Оренбургская область;17,2;15,7;15,2;15,8;15,9;15,2;16,0;16,6;16,8;14,8;18,0;18,2;19,2;18,1;17,7;15,4;12,6;11,8;11,7
Пензенская область;1,2;1,5;1,7;1,8;2,0;2,0;1,9;1,7;1,8;1,6;1,5;1,6;1,4;1,4;1,3;1,3;1,3;1,3;1,3
Самарская область;24,6;24,3;24,0;24,8;25,3;25,1;24,2;25,7;25,3;23,7;21,9;21,7;22,7;25,9;24,4;22,9;21,6;22,2;24,3
Саратовская область;37,2;38,8;39,0;40,0;41,2;40,4;41,4;41,6;42,8;42,3;42,1;42,9;41,9;44,0;39,5;42,1;42,8;42,5;42,1
Ульяновская область;2,0;1,9;2,1;2,1;2,8;3,7;3,3;3,4;3,3;3,2;3,2;3,3;3,1;3,2;3,1;2,7;2,6;2,6;2,8
Уральский        федеральный округ;128,7;126,3;130,4;139,1;144,7;150,2;163,6;167,0;173,7;167,6;175,9;180,2;184,7;182,9;183,2;186,2;194,7;194,7;197,5
Курганская область;1,2;1,2;1,3;1,4;1,5;1,5;2,0;1,9;2,0;1,7;1,9;2,1;2,2;2,3;3,0;3,3;3,1;3,3;3,2
Свердловская область;43,7;43,2;42,7;44,8;45,2;46,2;48,8;47,1;52,6;49,4;52,4;52,2;53,8;49,3;46,2;46,6;51,3;54,7;55,0
Тюменская область;63,4;61,3;65,5;70,8;73,1;78,1;84,7;88,6;90,5;91,1;94,9;101,0;102,7;108,1;109,8;109,2;110,6;108,2;108,8
в том числе:;;;;;;;;;;;;;;;;;;;
