Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;
3.5. МЕДИАННАЯ ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ ОРГАНИЗАЦИЙ1);;;;;;;;
"(по данным выборочного обследования; рублей)";;;;;;;;
;2005;2007;2009;2011;2013;2015;2017;2019
Хабаровский край;8542;11962;17016;21158;28178;31430;35470;43216
Амурская область;6466;10380;15037;18882;24385;28277;31640;40376
Магаданская область;9374;15469;21892;27932;39622;47077;53729;69316
Сахалинская область;10809;16923;24517;29505;37751;44422;48792;62647
Еврейская автономная область;5074;8339;13954;17442;21197;25417;28711;34538
Чукотский автономный округ;14291;20324;29740;35243;47997;56841;65696;76865
?????;;;;;;;;
1) Разработка показателя осуществляется с 2005 года. Периодичность проведения обследования - 1 раз в 2 года по нечетным годам.;;;;;;;;
2) 2005, 2007, 2009 гг. – включая данные по субъектам Северо-Кавказского федерального округа. ;;;;;;;;
3) 2015 г. – без учета данных по Республике Крым и г. Севастополю.;;;;;;;;
