Ненецкий автономный округ;30607;19402;24518;43775;36642;21272;70555;95423;131873;115015;138311;130029;139830;126796;120012;114900;126626
Архангельская область    без автономного округа;…;…;…;…;…;…;…;…;40479;41579;43525;46830;50137;51149;54931;56156;58901
Вологодская область;3020;4456;6013;7807;10445;26370;24839;32748;34376;33446;40010;39518;41087;42949;46835;50891;54897
Калининградская область;…;8420;9332;10415;14832;24078;28896;29307;31155;32209;40492;44576;48463;51536;51025;61822;66372
Ленинградская область;8752;10377;11139;12442;19196;31744;25251;32238;36963;37218;43953;48720;56125;60094;62759;66023;71009
Мурманская область;15405;17047;21580;25182;31118;14035;38052;53728;57598;58489;62224;68225;74779;78161;82129;81457;88377
Новгородская область;…;…;…;…;12710;15258;12787;28686;36733;34109;37210;39963;39138;42596;44084;44528;48236
Псковская область;5382;7430;10083;10460;9168;21979;18022;21653;21741;22746;20308;22466;20166;22220;22135;22904;23555
г. Санкт-Петербург;7299;11029;14275;15637;18035;…;28192;33176;39187;39485;45384;48675;52052;54488;57880;57273;58533
"Южный            федеральный округ3);4)";7323;10788;13487;16237;17551;20722;23715;23982;28282;28629;33843;37604;39745;38827;40415;40180;43253
Республика Адыгея;…;…;7668;…;-;11756;17752;22703;23958;25197;30511;32761;34609;36212;36338;36835;40396
Республика Калмыкия;…;…;…;…;8262;10412;15438;19704;20013;20268;22738;24479;27749;29633;28912;28545;28810
Республика Крым;;;;;;;;;;;;;…;29162;40864;41361;45206
Краснодарский край;9458;11119;13031;18877;19943;23852;23457;28178;28021;31225;38284;41045;44366;41183;44712;44781;47720
Астраханская область;…;…;…;10050;25618;26898;32054;24966;23899;26411;35500;43368;48204;40195;40927;36805;42901
Волгоградская область;8347;15040;18884;20823;26235;33920;40559;28953;31431;29775;33667;38198;38491;38290;39161;38293;39065
Ростовская область;6143;8867;12643;12615;13111;14887;17064;19288;28594;27932;32001;35495;37608;38296;38089;38880;42093
г. Севастополь;;;;;;;;;;;;;…;46202;42537;30855;34781
Северо-Кавказский     федеральный округ;…;…;…;…;…;…;…;…;22762;21403;24246;27014;29111;30780;32036;33029;36002
Республика Дагестан;2682;4023;;11179;9605;8769;24407;24252;38252;30796;32281;37775;39987;40657;45613;44125;49452
Республика Ингушетия;…;…;…;…;-;…;…;…;…;16407;18349;20015;19870;19111;19779;19534;22065
Кабардино-Балкарская Республика;…;…;…;…;-;…;…;14320;15565;22250;23316;25696;37483;35336;39053;33295;35682
Карачаево-Черкесская Республика;3279;3774;5918;9542;10250;10445;16119;19353;23318;25193;26521;26803;29260;28783;28250;28709;29064
Республика Северная Осетия - Алания;…;…;…;…;-;…;…;12149;19411;17972;24636;27786;29907;33557;33104;32819;34072
Чеченская Республика;…;…;…;…;…;…;…;…;…;20577;25729;26915;27794;26261;29332;37203;37973
Ставропольский край;5478;7606;8954;11570;11106;13843;16203;21764;23010;22611;25024;28600;30918;35326;36794;37237;41169
Приволжский    федеральный округ;5960;7856;10810;12901;14488;14132;16886;21000;22171;22866;29237;34483;38006;39001;41482;43355;46686
Республика Башкортостан;…;…;6842;5909;8191;16690;15442;19006;15872;19045;31071;36901;44513;43962;44784;44961;56008
Республика Марий Эл;…;…;…;…;-;14874;22488;28707;27997;28033;33337;34467;44460;42447;42019;41623;42025
Республика Мордовия;…;…;…;…;-;12358;18777;19098;17801;19132;15578;22444;26464;26853;27256;27122;28436
Республика Татарстан;…;…;…;…;-;12118;14321;18050;19171;20010;26543;34704;39893;38947;42281;43688;47068
Удмуртская Республика;5451;7136;10724;11639;13240;12838;14525;16211;18017;18647;23483;29409;30786;32807;36740;44787;46392
Чувашская Республика;…;…;…;…;-;12949;19881;21063;22073;19157;31812;31075;33448;33592;31055;30190;32630
Пермский край;6494;8631;10126;12501;15229;16678;25000;26426;26904;28526;34519;36906;39678;43118;43380;46287;48324
Кировская область;5110;9933;9517;11302;17212;12434;14576;19776;20661;21069;25638;29664;34211;34461;39184;44127;46453
Нижегородская область;6714;7310;9086;16970;18339;22928;30395;35118;34767;33352;38592;42909;45433;48900;51223;52900;55690
Оренбургская область;12292;13405;13023;22050;22021;18092;23682;29199;29503;30746;36234;39447;43893;47366;45879;45260;47246
Пензенская область;4334;5443;6997;8709;8650;10379;13748;18261;21263;28997;38493;41581;41608;42522;45467;44276;47350
Самарская область;7677;10408;13383;15370;15683;17389;19931;24666;26576;26763;32339;35470;38701;39338;39124;38956;41604
Саратовская область;4500;5666;12309;15482;15255;9771;13196;20094;23963;23966;29094;32458;33961;36304;37636;36985;38775
Ульяновская область;5257;9171;12743;12867;16941;16060;14016;18679;18838;17469;23960;28593;30349;31403;34068;34129;36744
Уральский      федеральный округ;8222;11739;14830;20015;24011;28448;37463;44391;44340;46773;61667;67839;70832;72178;72386;69695;72179
Курганская область;11650;14333;3546;5000;18613;17785;20292;21814;23120;21704;24591;29433;30392;34294;35660;39145;39588
Свердловская область;5290;9993;10325;11604;20996;22474;26053;30875;31338;31075;41123;43346;46094;47822;49841;52450;53915
Тюменская область;20233;21619;26798;33763;41006;49815;63545;79287;77250;81959;102690;114897;118264;118597;125222;122480;126192
в том числе:;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ - Югра;20233;29854;32172;38867;48332;48414;69816;79669;76777;85922;108622;125542;129810;132034;140890;138690;142432
Ямало-Ненецкий автономный округ;…;…;37020;43616;44003;53368;61782;109777;137671;117980;148121;169406;154652;138849;144663;152170;157234
Тюменская область              без автономного округа;…;…;…;…;…;…;54627;64987;49990;49986;66196;65764;69349;69794;72896;75018;80146
Челябинская область;5574;7266;9184;14456;17325;18810;21467;24681;24796;26109;31414;34008;35623;39865;40145;41732;45095
Сибирский         федеральный округ5);4220;5938;8042;9244;11060;24326;27409;31382;32950;33125;36877;40287;43560;45600;45209;46619;49236
Республика Алтай;3982;1958;3711;17169;17078;23073;25963;28836;32197;36230;39023;39939;44954;44401;44740;42400;49138
Республика Тыва;3565;4438;5849;6698;7233;19240;21356;30415;27857;30174;40593;39601;42506;46590;44032;45749;49683
Республика Хакасия;14448;15909;10519;13135;15267;16095;19483;25370;32508;32004;34329;38044;41875;44581;45274;45626;49099
Алтайский край;…;…;…;…;9725;12767;16753;22998;25603;23933;28517;29070;32286;30947;31473;34248;36343
Красноярский край;9701;14477;17703;20950;23884;33034;33634;38302;39577;38136;41264;44075;46349;49153;48059;48446;52479
Иркутская область;…;…;…;…;-;19220;29457;35788;35039;36095;42779;50494;56213;58820;58243;60950;65878
Кемеровская область;8006;10306;10798;11743;14672;19651;23095;24857;25441;25673;29292;32335;33570;33370;33155;33557;39637
Новосибирская область;5092;12811;11801;18524;16244;16473;24326;25391;28200;29175;31383;35042;40420;41124;39639;42047;45012
Омская область;8471;16639;14348;13055;18836;24959;23019;23068;25015;24394;24837;27946;31074;35087;35020;36791;38100
Томская область;5094;6431;23339;25097;26312;32721;38908;39956;39507;38828;40018;47262;50531;50893;51994;56119;56024
Дальневосточный     федеральный округ5);9032;11826;16057;21514;27958;32337;37347;45562;48687;51900;60412;67906;73527;77810;77380;80196;81410
Республика Бурятия;…;…;…;…;-;17275;22113;29989;35204;40141;45723;48671;48659;51267;58193;56260;62718
Республика Саха (Якутия);7834;11027;10888;10741;13363;19706;25885;33707;41249;45744;74174;108905;101955;109382;107205;112894;131218
Забайкальский край;6997;8033;11100;11500;13405;19099;21510;25616;29221;27816;33455;35937;38958;45420;44732;46078;50638
Камчатский край;12166;17743;27493;35713;49445;53974;60452;63877;67395;80187;80776;83224;88519;99742;96996;102513;106811
Приморский край;5697;7234;13482;25734;31348;31204;33771;36469;38793;41199;45924;47995;49618;53268;55963;59600;64285
Хабаровский край;8508;14033;20592;30992;37410;42490;46310;47537;57073;57920;64195;71788;73289;75390;77411;77849;84516
Амурская область;7759;11233;14695;17825;21460;23966;26226;33040;34614;34342;37792;43777;46539;48871;49050;47637;51931
Магаданская область;…;…;…;…;22286;24582;36380;46947;52004;54841;62199;85697;97909;100539;101584;112624;124279
Сахалинская область;11921;15048;18515;19313;30182;33905;43673;60860;65749;67301;84983;99434;114796;113379;120822;121134;123874
Еврейская автономная область;7511;7730;16135;16863;19911;…;27689;38674;46002;42925;52968;59000;64997;64105;64738;66345;64131
Чукотский автономный округ;…;…;…;…;-;57817;61044;103055;73067;95167;100148;97905;152422;164438;152129;171541;172213
?????;;;;;;;;;;;;;;;;;
1) Показатель разрабатывается с 2001 г. ;;;;;;;;;;;;;;;;;
2) Включая избирательные комиссии муниципальных образований.;;;;;;;;;;;;;;;;;
3) 2001- 2008 гг. – включая данные по субъектам Северо-Кавказского федерального округа.;;;;;;;;;;;;;;;;;
4) 2015 г. – без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;
5) Данные за 2000-2017 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;
