Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.28. ОРГАНИЗАЦИИ, ВЕДУЩИЕ ПОДГОТОВКУ АСПИРАНТОВ;;;;;;;;;;;;;;;;;;;
4.28.1. Число организаций;;;;;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Самарская область;18;18;19;19;21;22;22;22;23;25;25;28;28;27;24;23;20;17;16
Саратовская область;13;16;16;16;16;16;17;17;17;16;17;15;15;16;15;14;14;14;14
Ульяновская область;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;6;6;6
Уральский          федеральный округ;72;76;78;78;80;83;85;86;87;88;91;87;88;87;85;85;77;70;72
Курганская область;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;4
Свердловская область;41;41;41;41;41;41;42;42;42;42;46;44;45;46;46;47;44;40;41
Тюменская область;15;18;19;19;21;24;24;24;24;23;22;23;23;21;21;20;17;14;15
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;1;2;3;3;4;6;6;6;6;6;6;6;6;6;6;6;5;5;5
Ямало-Ненецкий   автономный округ;?;?;?;?;?;?;?;?;?;-;?;?;?;?;?;?;?;?;-
Тюменская область     без автономных округов;14;16;16;16;17;18;18;18;18;17;16;17;17;15;15;14;12;9;10
Челябинская область;12;13;14;14;14;14;14;15;16;18;18;16;16;16;14;14;12;12;12
Сибирский    федеральный округ;147;152;153;153;155;170;173;168;173;180;181;187;191;192;190;178;159;148;145
Республика Алтай;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Республика Тыва;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1
Республика Хакасия;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Алтайский край;11;11;12;12;12;13;13;14;14;14;14;14;14;14;16;15;13;11;10
Красноярский край;23;23;23;23;23;19;20;16;16;16;16;16;16;17;17;16;10;8;8
Иркутская область;9;9;9;9;11;23;23;23;25;27;27;28;28;29;27;27;25;25;25
Кемеровская область;64;65;66;66;66;11;11;11;11;11;11;12;14;14;14;12;13;14;13
Новосибирская область;14;15;14;14;15;66;67;65;67;72;72;74;75;75;74;71;63;58;56
Омская область;18;20;20;20;19;15;16;16;17;18;18;20;21;20;19;15;13;12;12
Томская область;4;5;5;5;5;19;19;19;19;18;19;19;19;19;19;18;18;17;18
Дальневосточный    федеральный округ;95;93;97;102;100;91;91;92;90;89;89;90;89;88;88;84;81;78;80
Республика Бурятия;5;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Республика Саха (Якутия);6;6;6;6;6;12;12;11;11;11;11;11;11;11;11;11;11;12;12
Забайкальский край;19;19;19;19;19;5;5;5;5;5;5;5;5;4;4;4;4;4;4
Камчатский край;28;27;27;27;27;4;4;4;3;3;3;4;4;4;4;4;4;3;3
Приморский край;19;19;19;20;20;27;27;28;27;27;27;26;23;23;24;22;21;20;22
Хабаровский край;8;8;8;9;8;20;20;20;20;19;18;19;21;21;20;18;18;18;18
Амурская область;2;3;3;4;4;7;7;7;7;7;7;7;7;7;7;7;6;6;6
Магаданская область;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;1
Сахалинская область;1;1;1;1;1;1;1;2;2;2;3;3;3;3;3;3;3;3;3
Еврейская автономная   область;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Чукотский автономный округ;1;?;?;1;?;?;?;?;?;?;?;?;?;-;?;?;?;?;-
;;;;;;;;;;;;;;;;;;;
