Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;;;;;;;
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ;;;;;;;;;;;;;;;;;;
ЧИСЛЕННОСТЬ РАБОТНИКОВ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ1);;;;;;;;;;;;;;;;;;
2.17.3. В местных администрациях (исполнительно-распорядительных органах муниципальных образований);;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;444916;436697;448691;458410;461487;454821;495593;507072;506979;495665;488982;476561;469276;469849;458264;455352;450323;447603
Центральный федеральный округ;109588;106394;109371;107452;106334;102199;111840;117264;116805;113790;110658;106787;103807;101757;92453;89493;87113;86618
Белгородская область;6304;6592;6721;6965;7067;7113;7650;7771;8018;7806;7836;8053;8035;7719;7552;7115;6739;6632
Брянская область;5338;5170;5376;5452;5642;5406;4901;5144;5249;4839;4753;4823;4619;4505;4342;4044;3979;3929
Владимирская область;6722;6295;6363;6328;6429;6397;6324;5961;5981;4913;4196;3459;3244;3296;3062;2944;2992;2954
Воронежская область;8193;8382;8242;8301;7895;7880;7649;8029;7814;7480;7404;7030;6838;6582;6483;5932;5809;5739
Ивановская область;4157;3620;3718;3948;3798;3487;4242;3991;4095;4075;3708;3508;3577;3569;3472;3304;3181;3148
Калужская область;4542;4424;4243;4238;4225;4041;4224;4499;4783;4942;4936;4842;4795;4909;4875;4847;4904;4981
Костромская область;4562;4518;4791;4882;4779;4711;4855;4921;4667;4545;3728;3229;3204;3355;3224;3042;2919;2839
Курская область;4058;3882;4077;4098;4101;4262;5890;6520;6540;6344;5823;4949;4708;4563;4263;4195;4152;4099
Липецкая область;4149;4235;4437;4686;4623;4620;5431;5634;5601;5134;5217;5166;4648;4632;4651;4582;4690;4708
Московская область;18419;18068;19322;19389;19458;18086;20540;22004;21314;21952;22130;22282;22769;22593;15761;15329;14483;14616
Орловская область;3851;3958;4173;4036;4024;4127;4172;4263;4439;4371;4169;3969;4072;4052;3745;3405;3279;3206
Рязанская область;5925;5115;5360;5744;5392;5334;5627;5687;5324;5442;5386;5468;5565;5449;5356;5304;5322;5334
Смоленская область;4748;4649;4446;4713;4647;4298;4858;5637;5932;5715;5732;5629;5516;5317;5109;5202;4711;4959
Тамбовская область;4929;4039;4198;4239;3698;3663;6017;6265;6214;5504;4850;4534;4451;4384;4288;4229;4239;4224
Тверская область;7204;7069;7171;7045;7049;6162;6079;6521;6743;6867;6965;6565;6004;5991;5855;5728;5491;5227
Тульская область;6726;6161;6442;6603;6425;5806;5611;5965;6005;5927;5938;4806;4207;4204;3936;3908;3997;4015
Ярославская область;5356;5089;5382;5550;5700;5523;6175;6267;5505;5125;4959;4732;4856;4791;4593;4470;4272;4030
г. Москва;4405;5128;4909;1235;1382;1283;1595;2185;2581;2809;2928;3743;2699;1846;1886;1913;1954;1978
Северо-Западный федеральный округ;36855;35767;36143;36380;36411;36342;38320;39407;38940;38821;37810;36307;36144;35682;34999;33002;32719;31405
Республика Карелия;2247;1731;1864;1680;1501;1489;1720;1766;1784;1741;1677;1575;1608;1649;1638;1563;1552;1454
Республика Коми;3034;3207;3182;3193;3202;3240;3262;3573;3835;3717;4182;4214;4331;4427;4377;4357;4310;4185
Архангельская область;5518;4987;5527;5610;5598;5495;5901;6215;6319;6225;6048;5788;5733;5717;5344;5107;4993;4919
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;235;210;238;290;295;287;359;424;474;486;449;481;481;477;386;351;348;342
Архангельская область без автономного округа;5283;4777;5289;5320;5303;5208;5542;5791;5845;5739;5599;5307;5252;5240;4958;4756;4645;4577
Вологодская область;5660;5221;5405;5507;5765;5667;7165;7233;6058;5770;5480;5383;5359;5229;5599;4184;3993;3828
Калининградская область;3198;3348;2949;2996;3056;3187;3194;3351;3435;3742;3673;3415;3233;2953;2739;2674;2665;2503
Ленинградская область;5764;5723;5701;5781;5755;5847;5847;5922;6101;6211;5811;5577;5735;5775;5848;5817;5897;5394
Мурманская область;3034;3226;2953;2935;2930;2764;2749;2760;2883;2835;2463;2094;2026;2006;1962;1948;1948;1905
Новгородская область;3720;3612;3660;3683;3674;3573;4040;4128;4113;4060;3824;3446;3286;3066;2914;2886;2866;2716
Псковская область;3420;3428;3489;3524;3487;3536;3069;3047;2893;2886;2962;2999;2977;2970;2673;2561;2554;2552
г. Санкт-Петербург;1260;1284;1413;1471;1443;1544;1373;1412;1519;1634;1690;1816;1856;1890;1905;1905;1941;1949
Южный                    федеральный округ;44350;42526;43599;44494;44118;41503;45772;47600;48413;48569;49682;48403;48148;47852;52555;52059;50948;50915
Республика Адыгея;821;812;689;1445;1532;1548;1528;1518;1544;1583;1603;1684;1698;1679;1665;1672;1698;1724
Республика Калмыкия;585;652;662;1226;1266;991;1566;1606;1675;1554;1501;1552;1528;1460;1284;1154;1357;1362
Республика Крым;;;;;;;;;;;;;;…;5711;5745;5697;5630
Краснодарский край;15019;14069;14252;14687;14142;11783;12569;13097;13723;14186;15392;14484;14364;14346;13902;13806;12770;12882
Астраханская область;3502;3774;3959;3917;3982;4075;4052;4162;4461;4438;4218;3807;3859;3886;3615;3511;3447;3374
Волгоградская область;9601;9261;9773;9642;9850;9804;9963;10666;10132;9822;9935;9551;9465;9114;8840;8869;8747;8701
Ростовская область;14822;13958;14264;13577;13346;13302;16094;16551;16878;16986;17033;17325;17234;17367;17432;17176;17050;17056
г. Севастополь;;;;;;;;;;;;;;…;106;126;182;186
Северо-Кавказский   федеральный округ;14693;15776;16430;17148;17449;21435;22145;23306;23055;23829;28568;29016;29206;28878;28212;28116;27865;28091
Республика Дагестан;5112;5266;5510;5664;5765;6147;5746;5967;5653;6503;7538;7830;7963;7640;7296;7161;7264;7389
Республика Ингушетия;57;511;486;597;657;636;599;607;…;…;596;631;616;635;614;606;627;661
Кабардино-Балкарская Республика;2210;1895;2256;2300;2384;2575;1945;2183;2159;2224;2230;2341;2423;2418;2457;2570;2621;2647
Карачаево-Черкесская Республика;784;967;919;1006;1020;1136;2031;2019;2001;2042;2065;2103;2042;2105;2078;2105;2166;2183
Республика Северная Осетия - Алания;1560;1772;1805;1817;1819;1804;1951;2076;2132;2045;1964;1891;1868;1784;1749;1706;1657;1626
Чеченская Республика;…;…;…;…;…;…;…;…;1740;1758;3321;3615;3697;3823;3785;3777;3898;3923
Ставропольский край;4970;5365;5454;5764;5804;9137;9873;10454;9370;9257;10854;10605;10597;10473;10233;10191;9632;9662
Приволжский федеральный округ;96867;97004;98155;101242;102358;99593;108875;108546;108842;105840;103558;100019;96036;96625;94238;98459;96984;95149
Республика Башкортостан;12566;12399;12754;12979;13223;13096;11880;11766;11613;10939;10909;11972;11711;11841;11717;11407;11316;11187
Республика Марий Эл;1680;2042;2035;2075;1998;1906;2492;2529;2432;2398;2280;2284;2300;2282;2235;2191;2153;2121
Республика Мордовия;4491;3842;3881;3858;3834;3799;3973;4494;4439;3657;3617;3547;3473;3477;3395;3096;3023;2981
Республика Татарстан;4532;4906;4798;4734;4739;3232;8648;8312;7999;7663;7396;7279;6814;6021;6154;8781;8863;8958
Удмуртская Республика;5522;5371;5345;5474;5483;5594;5516;4994;4931;5658;5818;5755;6046;5961;5875;6106;5890;5734
Чувашская Республика;3884;3562;3636;3697;3744;3983;3864;3860;3984;3727;3576;3556;3682;3671;3637;3461;3363;3269
Пермский край;10464;10056;10031;10124;10506;9990;10937;11205;11404;10910;10643;10107;9931;10999;10809;10473;10351;9778
Кировская область;5947;5739;5811;5847;5683;5388;6106;6254;5937;6371;6262;6471;6590;7959;7796;7941;7964;7807
Нижегородская область;13581;13059;13314;13270;13241;13280;12191;12430;12429;11939;11617;11069;10899;10968;10545;13894;13966;13936
Оренбургская область;4553;7781;7829;7954;7955;7947;9301;9759;9930;10012;9893;9160;7911;8564;8132;7639;7413;7095
