Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;;;
14.30. НАДОЙ МОЛОКА НА ОДНУ КОРОВУ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;;;;;
(килограммов);;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;
Пензенская область;1681;1799;2033;2123;2184;2345;3017;3230;3277;3315;3296;3475;3705;3697;4208;4637;5105;5769;6491;;
Самарская область;2240;2406;2783;2850;2950;3149;3402;3401;3541;3694;3732;3792;4294;4578;4856;5114;5161;5269;5567;;
Саратовская область;2266;2267;2325;2458;2557;2733;2962;3293;3731;3068;3080;4190;4435;4524;4748;5025;4959;5117;5705;;
Ульяновская область;1923;2147;2414;2401;2344;2571;2908;3104;3212;3395;3372;3335;3602;3833;4218;4288;4353;4673;5228;;
Уральский         федеральный округ;2359;2350;2686;3027;3134;3357;3788;3961;3959;4249;4487;4657;4876;4896;5355;5596;5778;6175;6450;;
Курганская область;1867;1761;2264;2626;2628;2814;3235;3474;3475;3619;3526;3684;3781;3932;3853;3900;4184;4154;4190;;
Свердловская область ;2889;2995;3288;3460;3465;3643;4152;4200;4111;4496;4895;5187;5608;5572;6107;6159;6427;6918;7084;;
Тюменская область;2660;2685;2847;3206;3538;3917;4125;4301;4489;4767;4981;5231;5189;5144;5551;5716;5697;6009;6564;;
в том числе:;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный       округ – Югра;2854;2696;2717;3062;3194;3130;3162;3344;3452;3686;3661;3757;4174;4136;4438;4413;4464;4615;4541;;
Ямало-Ненецкий автономный округ;2601;2681;2733;2614;3054;3051;2695;2832;3182;3489;3678;3928;3934;3786;3843;3692;3633;3812;3690;;
Тюменская область     без автономных округов;…;…;…;…;…;…;…;4344;4531;4809;5030;5282;5224;5181;5592;5764;5744;6055;6629;;
Челябинская область;1893;1725;2030;2493;2609;2762;3219;3520;3488;3676;3762;3650;3792;3777;4272;4869;5036;5511;5672;;
Сибирский         федеральный округ5);2157;2368;2652;2698;2663;2931;3074;3253;3397;3545;3678;3877;3907;3755;4099;4300;4492;4757;4895;;
Республика Алтай;1554;1692;1711;1768;1737;1927;1953;2344;2412;2434;2413;3059;3179;3132;2958;2959;3410;3274;3040;;
Республика Тыва;1248;1402;1506;1203;1047;1013;1298;1270;1107;841;666;742;749;707;731;685;971;749;588;;
Республика Хакасия;1570;1825;2090;2234;2085;2406;2433;2698;2794;3087;3442;3675;3903;3767;4035;4098;4479;4319;4180;;
Алтайский край;2262;2458;2762;2741;2624;2933;3045;3123;3232;3291;3465;3744;3775;3545;3924;4111;4423;4629;4687;;
Красноярский край;2360;2456;2919;3031;3155;3466;3569;3716;3857;4030;4107;4385;4538;4463;4702;5052;5125;5416;5524;;
Иркутская область;1721;1667;1939;2188;2107;2531;2820;3262;3411;3457;3634;3892;4088;4353;4581;4677;5105;5497;5569;;
Кемеровская область;2272;2462;2339;2775;2894;3258;3539;3693;3870;3875;3940;4086;3961;3976;4341;4583;4706;4920;4884;;
Новосибирская область ;2208;2593;2826;2729;2513;2772;2786;2976;3267;3485;3576;3665;3680;3500;3903;4076;4213;4534;4731;;
Омская область;2129;2398;2782;2799;2851;2964;3212;3409;3427;3737;3739;3890;3923;3766;4089;4213;4161;4476;4709;;
Томская область;2645;2848;3106;3420;3719;4135;4391;4735;4976;5210;5169;5216;4784;4088;4497;5040;5288;5648;6150;;
Дальневосточный федеральный округ5);1725;1700;1889;1953;1975;2051;2260;2513;2497;2632;2600;2777;2868;2921;2993;3429;3509;3479;3678;;
