Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
14.39. ЛЕСНЫЕ ПОЖАРЫ НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА И ЗЕМЛЯХ ИНЫХ КАТЕГОРИЙ1);;;;;;;;;;;;;;;;;;;;
14.39.1. Число лесных пожаров;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Пермский край;145;218;132;144;137;169;150;73;311;140;411;188;80;235;110;55;126;31;82;
Кировская область;160;351;272;97;76;220;210;30;114;177;625;195;21;171;108;57;81;7;31;
Нижегородская область;603;1169;2569;495;418;926;646;700;215;657;1278;128;55;77;219;78;55;39;90;
Оренбургская область;18;57;88;232;163;118;208;82;227;468;754;67;175;72;119;123;104;91;215;
Пензенская область;15;118;168;132;71;152;346;78;111;511;737;44;2;20;56;90;14;31;78;
Самарская область;86;247;447;367;60;300;304;116;203;511;762;32;39;39;75;51;15;-;29;
Саратовская область;11;43;72;31;16;117;105;60;107;213;386;18;5;1;14;95;10;28;94;
Ульяновская область;88;227;288;246;201;207;459;170;229;310;770;23;4;16;42;111;32;51;169;
Уральский      федеральный округ;2440;2870;2545;5197;14522;3926;7273;1990;8544;5653;9836;4411;7078;2718;1943;1415;2541;1948;2079;
Курганская область;295;444;326;827;3081;439;974;400;1459;842;1787;421;981;303;347;242;247;281;465;
Свердловская область;548;548;458;819;2590;651;1640;174;1892;1045;2243;1299;1157;465;557;274;767;398;430;
Тюменская область;1344;922;638;2006;3907;1792;2474;867;1952;1545;2289;1784;2979;1533;599;358;955;805;479;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный      округ – Югра;678;177;151;906;1149;985;389;399;238;479;440;845;1604;635;219;218;454;387;226;
Ямало-Ненецкий автономный округ;91;136;137;267;224;315;153;297;48;176;39;168;673;693;126;56;407;284;121;
Тюменская область без автономных   округов;575;609;350;833;2534;492;1932;171;1666;890;1810;771;702;205;254;84;94;134;132;
Челябинская область;253;956;1123;1545;4944;1044;2185;549;3241;2221;3517;907;1961;417;440;541;572;464;705;
Сибирский      федеральный округ;4796;5467;6588;10329;5567;4464;6372;4056;6006;3447;3800;5821;7115;2175;6147;3853;3627;3852;3103;
Республика Алтай;99;178;170;218;120;50;40;116;206;26;36;191;208;28;88;94;10;77;54;
Республика Тыва;236;297;560;269;54;145;98;318;184;118;76;223;224;123;370;345;75;129;98;
Республика Хакасия;128;228;311;120;152;175;100;270;177;111;84;172;129;68;128;70;29;52;41;
Алтайский край;717;984;1338;1977;1586;1201;1611;741;1118;602;642;808;1118;118;652;269;253;229;210;
Красноярский край;584;1008;903;1552;1003;674;1131;733;1057;511;658;1450;2403;902;1592;1016;1458;1609;1646;
Иркутская область;1544;1401;2417;4245;575;1071;1482;1582;1935;717;830;1711;884;692;2234;1607;1212;1209;779;
Кемеровская область;362;204;275;299;246;266;211;95;271;235;251;189;270;6;84;28;11;12;4;
Новосибирская область;405;519;301;600;756;395;830;43;249;430;247;407;748;34;305;193;153;137;72;
Омская область;374;457;178;237;572;209;523;91;660;697;873;416;584;145;539;95;129;285;113;
Томская область;347;191;135;812;503;278;346;67;149;195;103;254;547;59;155;136;297;113;86;
Дальневосточный     федеральный округ;6457;5030;5952;10289;2866;3201;3814;5490;4997;3134;2733;4767;3612;2148;4731;4716;2848;3984;3526;
Республика Бурятия;2577;1172;1426;3396;881;882;1200;1334;1265;1331;686;1334;654;615;1264;1574;623;827;364;
Республика Саха (Якутия);260;596;826;598;200;263;207;82;327;226;131;511;342;390;306;219;157;634;642;
Забайкальский край;1920;1112;1277;3074;869;695;1005;2432;1649;878;716;1595;819;432;1120;1453;640;971;831;
Камчатский  край;86;78;152;169;45;47;52;24;24;49;46;13;35;32;15;17;30;24;20;
Приморский край;151;449;323;699;295;137;222;166;360;598;265;214;298;154;727;242;165;619;467;
Хабаровский край;508;857;792;1025;201;641;465;585;574;336;249;438;695;194;454;167;286;379;461;
Амурская область;597;438;766;744;192;332;483;583;506;359;281;408;518;147;631;516;297;329;433;
Магаданская область;178;84;152;208;33;43;51;67;82;436;129;49;68;24;26;49;152;19;99;
Сахалинская область;24;37;111;124;13;49;11;67;64;…2);36;24;85;48;41;23;21;44;30;
Еврейская автономная область;121;155;107;167;105;87;82;69;76;177;116;124;51;56;119;434;434;125;169;
Чукотский автономный округ;35;52;20;85;32;25;36;81;70;…2);78;57;47;56;28;22;43;13;10;
?????;;;;;;;;;;;;;;;;;;;;
"1) До 2009 г. - по данным Росстата по состоянию на 1 ноября; с 2010 г. - по данным Рослесхоза по итогам за год.";;;;;;;;;;;;;;;;;;;;
2) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п. 5 ст. 4, ч. 1 ст. 9).;;;;;;;;;;;;;;;;;;;;
