Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.10. ОБЪЕМ БЫТОВЫХ УСЛУГ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.10.1. Всего;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Северная  Осетия – Алания;484;439;403;517;580;610;792;1084;1154;1476;1215;1409;1400;1510;1718;2021;2250;2410;2699
Чеченская Республика;…;…;…;…;…;…;…;11;123;135;194;1369;1475;7847;7648;8599;10697;11211;11412
Ставропольский край;1116;1438;1521;1840;2397;2893;3276;4000;5185;6122;6921;8574;12227;20431;23165;23741;24027;24606;25115
Приволжский     федеральный округ;17689;21951;22507;26502;33530;41692;50626;65252;82664;91677;102179;115008;129703;154796;165112;168510;172900;176686;183322
Республика Башкортостан;3088;4120;3698;4329;4878;6304;7791;9931;14462;16701;22033;24838;27688;30541;33066;32455;33127;33143;34381
Республика Марий Эл;232;376;452;551;687;816;994;1318;1665;1778;1805;2060;2261;2302;2500;2390;2472;2498;2407
Республика Мордовия;447;421;405;476;533;642;745;860;1137;1309;1514;1611;1753;2023;2075;2021;2066;2043;2070
Республика Татарстан;1680;2122;2651;3352;5376;7991;10813;15456;18654;20741;25214;30241;32474;34761;36628;39662;40067;40838;41728
Удмуртская Республика;628;806;862;956;1127;1392;1829;2278;2680;2808;2936;3158;4075;5941;6425;6405;7018;7177;8083
Чувашская Республика;698;877;1090;1385;1633;1703;1909;2275;2817;3035;3108;3410;3686;3970;4421;4897;5650;5990;6392
Пермский край;2056;2619;2638;3121;4368;4593;4853;5911;7919;8855;9692;10917;13044;15037;15686;15299;15210;15715;16356
Кировская область;1103;1332;1259;1564;1712;2037;2485;3202;4099;4667;3640;4005;4528;6084;6613;6743;6956;7217;7668
Нижегородская область;1874;2195;1745;1906;2177;2839;3209;4191;5728;6992;7389;7896;9954;16022;17252;16938;17581;18455;19260
Оренбургская область;742;863;1160;1326;1649;2028;2533;3467;4517;5064;5797;6433;7161;8493;9095;9285;9549;9287;9600
Пензенская область;632;890;1056;1316;1732;2110;2371;2794;3458;3850;3919;3971;4482;4730;5009;5435;5696;5957;6141
Самарская область;2230;2618;2740;3229;4247;5392;6502;7848;9310;8464;7104;7769;8490;12444;13137;13457;13083;13346;13745
Саратовская область;1320;1567;1694;1922;2187;2568;2870;3371;3781;4680;5270;5868;6935;8275;8711;8835;9342;9774;10112
Ульяновская область;959;1146;1057;1070;1224;1277;1722;2351;2437;2730;2757;2833;3174;4172;4494;4687;5085;5244;5378
Уральский     федеральный округ;5358;6641;7635;9271;11288;14893;19768;26316;32887;34500;38416;40880;46272;56483;62765;67342;70897;73465;76883
Курганская область;422;400;320;381;444;620;796;1024;1186;1541;1587;1660;1879;2632;2791;2930;3063;3165;3263
Свердловская область;1691;2357;2976;3684;4582;6397;8933;11576;14665;16952;18498;20165;21729;25055;28087;31127;32941;33808;34478
Тюменская область;1490;1977;2396;2850;3320;3980;5103;6596;7795;8745;8686;9273;10754;13254;14788;16002;17376;18463;18982
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный       округ – Югра;795;1063;1322;1516;1658;1935;2385;3137;3434;3752;3069;3630;4255;5741;6601;7035;7825;8403;8579
Ямало-Ненецкий автономный округ;215;253;279;319;372;447;525;618;680;805;1593;1245;1359;1692;1770;1835;1954;2056;2188
Тюменская область без автономных     округов;;;;;;;;;;;;;;5820;6416;7132;7596;8003;8216
Челябинская область;1756;1908;1944;2357;2943;3895;4936;7121;9241;7262;9645;9781;11909;15542;17099;17284;17517;18029;20160
Сибирский       федеральный округ;9614;12207;15556;17613;20677;24029;27235;32517;41284;43508;42358;44607;50861;63868;67911;71037;75484;82425;87984
Республика Алтай;18;25;25;39;47;56;69;98;132;139;148;164;197;255;275;332;374;395;411
Республика Тыва;54;73;42;53;69;88;122;160;206;252;341;407;428;504;494;518;541;497;536
Республика Хакасия;594;679;642;675;703;741;922;990;1256;1294;1356;1524;1654;1822;1861;1958;1976;2082;2082
Алтайский край;834;1114;1304;1742;2237;2818;3551;4654;5861;6069;6668;7282;7859;8850;9692;10339;9195;9388;9847
Красноярский край;1957;2524;3205;3701;4136;4658;4785;5714;6736;6913;7276;7553;9468;12719;13319;13688;15177;18181;19600
Иркутская область;1126;1392;1735;2069;2462;2792;3078;3534;4414;4895;5089;5399;5765;6877;7564;7955;8676;9110;9266
Кемеровская область;1596;2216;2775;3272;3842;4391;5437;6770;8319;9125;5149;5519;6356;8624;9446;10542;11684;12989;13816
Новосибирская область;1478;1601;2884;2566;2933;3490;3378;3634;6020;5974;6073;7334;9155;10797;10423;9838;11501;12547;14343
Омская область;972;1167;1543;2014;2479;2858;3450;4153;5100;5411;5470;5815;6366;8679;9988;10804;11513;12195;12900
Томская область;986;1418;1400;1483;1768;2137;2442;2810;3239;3435;4789;3611;3614;4740;4849;5063;4845;5043;5183
Дальневосточный    федеральный округ;3689;4770;5452;7028;8454;10424;12569;15171;18303;21237;25074;27544;31101;40450;42812;47168;49927;53452;57039
Республика Бурятия;159;210;209;304;408;566;783;1094;1493;2073;2309;2598;3289;4914;5179;5528;6067;6282;6839
Республика Саха (Якутия);646;687;733;1109;1367;1933;2409;3055;3422;3693;4400;4584;4785;5444;5851;7157;7626;8147;8513
Забайкальский край;268;311;336;429;544;669;846;959;1195;1662;2002;2144;2349;2844;3228;3305;3569;3707;3795
Камчатский край;280;386;327;324;341;434;511;534;606;757;1057;1128;1169;1362;1487;1523;1605;1731;1766
Приморский край;1097;1538;1751;2112;2412;2719;2731;3049;4002;4337;4960;5686;6665;8991;9539;10655;11253;12901;14804
Хабаровский край;669;864;1125;1368;1655;1945;2330;2727;2979;3425;3913;4325;5013;7230;7553;7955;8320;8627;8893
Амурская область;176;240;327;442;486;522;635;828;1062;1316;1780;2057;2236;3129;3317;3556;3633;3672;3787
Магаданская область;56;92;46;55;73;90;135;209;301;357;454;479;552;690;763;812;849;924;966
Сахалинская область;268;349;507;776;1039;1384;1984;2447;2916;3232;3525;3866;4369;4314;4788;5403;5719;5963;6059
Еврейская автономная область;60;84;83;96;112;138;190;251;296;358;479;489;551;728;743;856;886;957;1049
Чукотский автономный округ;10;8;10;13;17;24;15;18;32;29;195;188;123;803;364;417;399;541;570
