Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
20.14.3. По ипотечным жилищным кредитам;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Чувашская Республика;358;583;1952;4947;9523;9084;8924;11931;16901;24036;33520;37273;43049;51376;63124
Пермский край;107;923;4287;12466;23388;23010;24061;29282;40045;51016;67064;77592;85310;96398;111971
Кировская область;7;88;630;1885;3329;3328;4249;7487;12209;18950;26060;30578;36213;43421;53108
Нижегородская область;46;341;2672;9222;19047;17590;20436;28339;38597;52827;71217;77375;88217;101501;121549
Оренбургская область;297;515;1671;5563;9591;9434;11413;16502;23990;32897;45313;52745;60064;69705;86195
Пензенская область;18;37;350;1696;3949;3662;4300;6455;10142;15500;22687;26100;29804;35000;43550
Самарская область;825;731;5093;14762;26759;24496;25655;33099;43888;56943;76068;84343;92151;104675;124605
Саратовская область;25;101;1439;5718;10171;9451;11116;15296;21693;31248;42838;48302;54485;63781;80151
Ульяновская область;6;23;524;2403;4782;4592;6096;9698;15106;22447;31070;34337;38519;44093;51698
Уральский         федеральный округ;1563;5730;33170;82383;142189;136966;160784;214226;285961;368137;449126;512727;569133;637646;751665
Курганская область;19;34;362;2178;4373;4498;5239;7029;10110;12991;16381;19402;22103;24940;29935
Свердловская область;746;1418;7998;18970;34950;32559;35919;49937;71350;91900;120887;133836;149800;171253;208713
Тюменская область;600;2982;19625;42680;72849;71691;88395;118567;153698;197560;232655;265803;293517;326234;377188
в том числе:;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;271;895;11940;23236;40971;40722;50940;68879;88457;110920;126241;131592;167872;183452;206231
Ямало-Ненецкий автономный округ;49;359;1647;4983;10304;10095;13931;19489;26204;35610;43636;48543;55353;63318;74401
Тюменская область без     автономных округов;280;1728;6038;14461;21574;20874;23524;30199;39037;51030;62778;85668;70292;79464;96556
