Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.9. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В РУБЛЯХ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.9.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;221780;353793;512532;746445;1212587;1720348;2508120;3941549;6311572;6599858;8651712;11635983;15135665;17340066;19584129;20265904;23204728;25438717;29576913;34455150
Центральный федеральный округ;86915;137009;197948;297522;506974;769400;1135722;1938681;3405085;3465068;4676421;6265217;8532972;9530294;10373307;10749397;12097667;13034219;15785987;19242633
Белгородская область;1919;2782;4201;6056;9221;15342;22262;31155;39658;43014;55910;75870;95961;114791;130508;139518;162546;177438;191897;241282
Брянская область;1190;1671;2423;3340;5230;7052;9538;14211;18329;19982;25714;36329;45290;58415;69797;69768;81812;92449;105130;114128
Владимирская область;1859;2760;4155;5877;8788;11528;16405;24979;34926;37080;50762;69816;93197;97654;113790;118974;140564;162467;179258;192945
Воронежская область;3607;5022;7134;10495;15744;20365;28841;43840;59059;65793;91572;126556;155833;189497;221184;224736;271216;310065;337121;368532
Ивановская область;1254;1792;2435;3464;4937;6755;10115;14681;20886;22576;29296;40769;49963;61336;74126;75591;88354;99253;108399;119972
Калужская область;1177;1787;2553;3650;5786;7742;11289;17258;25727;27970;36847;49356;61903;77141;92706;107792;118034;136041;144624;158434
Костромская область;729;1092;1660;2322;3548;4656;6575;9864;14956;17010;21717;30373;36061;41837;48798;47404;59424;72575;83999;91371
Курская область;1385;1896;2702;3863;5740;7597;11484;15377;20089;23585;29654;41617;48717;59416;71719;89340;88062;98130;110563;128299
Липецкая область;1475;2116;2978;4387;7448;10723;14602;21819;30173;31686;40946;60311;64863;77680;87652;93535;113101;127039;134673;143379
Московская область;10819;15444;21893;31963;49744;69016;97949;153066;256633;269897;344208;443816;529408;685488;882016;877771;1025037;1196272;1332680;1542091
Орловская область;1033;1443;1957;2653;4062;5228;7425;10955;14854;16182;21645;30126;34667;42060;49453;51869;63953;71598;80763;88705
Рязанская область;1512;2177;3097;4676;6932;9304;12889;18414;24929;26595;35671;50948;60557;75553;89173;93506;111220;129750;142291;154446
Смоленская область;1022;1572;2241;3288;6106;7073;9964;14617;20489;22952;29974;39545;46927;56372;64574;62117;74121;83901;94300;104035
Тамбовская область;1369;1890;2563;3667;5152;6413;8600;12157;16106;18064;23769;32675;39987;49610;59451;61445;76965;81524;90436;101510
