;Социально-экономические показатели по субъектам Российской Федерации
;6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ
6.1.;Численность зрителей театров и число посещений музеев на 1000 человек населения  
6.1.1.;Численность зрителей театров 
6.1.2.;Число посещений музеев
6.2.;Число спортивных сооружений  
6.2.1.;Стадионы с трибунами на 1500 мест и более
6.2.2.;Плоскостные спортивные сооружения (площадки и поля)
6.2.3.;Спортивные залы
6.2.4.;Плавательные бассейны
6.3.;Общедоступные библиотеки  
6.3.1.;Библиотечный фонд на 1000 человек населения
6.3.2.;Численность пользователей 
6.4.;Выпуск газет на 1000 человек населения  
6.5.;Детские оздоровительные лагеря 
6.5.1.;Число детских оздоровительных лагерей в 2000-2017 гг.
6.5.2.;Численность детей, отдохнувших в них за лето
6.6.;Коллективные средства размещения
6.6.1.;Число коллективных средств размещения
6.6.2.;Численность  размещенных лиц
6.7.;Туристские фирмы
6.7.1.;Число туристских фирм
6.7.2.;Число турпакетов, реализованных населению 
6.8.;Численность российских туристов, обслуженных туристскими фирмами
6.8.1.;Численность российских туристов, отправленых туристскими фирмами, в туры по России
6.8.2.;Численность российских туристов, отправленных туристскими фирмами, в зарубежные туры 
;
;
;
;
;
;
;
;
;
;
;
;
