Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
 2. ТРУД;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;
"2.13. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩИЙ ПАТЕНТ НА ОСУЩЕСТВЛЕНИЕ ТРУДОВОЙ ДЕЯТЕЛЬНОСТИ1);2)";;;;;;;;;
"(на конец года; человек)";;;;;;;;;
;2013;2014;2015;2016;2017;2018;;;
Российская Федерация;1117833;2079772;1656288;1543443;1649134;1661898;;;
Центральный федеральный округ;570266;1243878;773971;709697;777499;774950;;;
Белгородская область;9389;10522;10904;7214;6853;5649;;;
Брянская область;4676;6773;3634;2936;2977;2887;;;
Владимирская область;11296;18934;11079;10533;11442;11872;;;
Воронежская область;13095;17185;14222;13983;14675;15071;;;
Ивановская область;3309;5354;3241;2773;3016;2845;;;
Калужская область;12037;24354;26016;21289;23186;23651;;;
Костромская область;2378;2946;2847;2561;2815;2748;;;
Курская область;3850;4836;3322;2855;3457;3222;;;
Липецкая область;1062;10002;5841;5810;5601;5673;;;
Московская область;249551;361088;181658;174840;194412;215482;;;
Орловская область;4189;3995;2313;2098;2367;2588;;;
Рязанская область;17579;21930;17435;18634;19297;18522;;;
Смоленская область;4016;6039;4477;3815;3863;3881;;;
Тамбовская область;3925;4011;3294;4015;4336;4167;;;
Тверская область;13537;21320;20665;16969;14735;14107;;;
Тульская область;18331;23394;18465;18129;21150;20234;;;
Ярославская область;10112;11914;8058;6657;7100;7197;;;
г. Москва;187934;689281;436500;394586;436217;415154;;;
Северо-Западный федеральный округ;27168;80202;279676;280411;307641;299440;;;
Республика Карелия;2006;2349;1698;1470;1785;1950;;;
Республика Коми;2279;2755;2867;2665;2532;2308;;;
Архангельская область;2128;2533;2641;2383;2489;2398;;;
в том числе: ;;;;;;;;;
Ненецкий автономный округ;423;381;877;695;590;521;;;
Архангельская область без автономного округа;1705;2152;1764;1688;1899;1877;;;
Вологодская область;471;5030;5721;5726;3823;4261;;;
Калининградская область;9199;8072;7870;8233;9517;9529;;;
Ленинградская область;1481;17832;56725;55781;58263;57099;;;
Мурманская область;1937;2546;1778;1881;2323;2595;;;
Новгородская область;2244;5251;3799;3299;3491;3333;;;
Псковская область;3052;3643;2507;2200;2423;2325;;;
г. Санкт-Петербург;2371;30191;194070;196773;220995;213642;;;
Южный               федеральный округ;81508;136083;122853;116639;105728;115480;;;
Республика Адыгея;444;5036;3039;2759;3116;2894;;;
Республика Калмыкия;67;1234;738;795;801;867;;;
Республика Крым;;64;8021;9703;10314;11124;;;
Краснодарский край;51516;64880;47820;39499;31395;38950;;;
Астраханская область;281;14284;16170;17885;16510;17226;;;
Волгоградская область;11641;18469;21770;21551;20226;23680;;;
Ростовская область;17559;32116;23419;22378;21770;18904;;;
г. Севастополь;;-;1876;2069;1596;1835;;;
Северо-Кавказский  федеральный округ;19909;33801;17659;22378;26703;31941;;;
Республика Дагестан;275;8769;4525;6482;10119;11987;;;
Республика Ингушетия;2305;2;562;1437;1052;861;;;
Кабардино-Балкарская    Республика;1654;4192;2419;3234;4016;4668;;;
Карачаево-Черкесская    Республика;3912;4933;2611;3312;2327;4271;;;
Республика Северная    Осетия –Алания ;1919;3459;1549;1614;1842;1826;;;
Чеченская Республика;565;1255;251;800;624;850;;;
Ставропольский край;9279;11191;5742;5499;6723;7478;;;
Приволжский федеральный округ;136133;192969;170669;152612;157776;151841;;;
Республика Башкортостан;19804;25369;26040;21427;23377;23204;;;
Республика Марий Эл;247;432;185;189;203;273;;;
Республика Мордовия;3020;3044;2702;2772;3430;2138;;;
Республика Татарстан;17992;29475;24408;21840;25462;25293;;;
Удмуртская Республика;921;5561;5143;4492;5115;4785;;;
Чувашская Республика  ;800;949;619;697;794;804;;;
Пермский  край;14488;17417;13488;12155;13290;11306;;;
Кировская область;307;1578;1223;933;1180;1234;;;
Нижегородская область;16961;22913;21748;22745;25495;26897;;;
Оренбургская область;13050;17453;14016;11109;9644;9574;;;
Пензенская область;2467;6020;4942;4735;5148;5015;;;
Самарская область;30990;45286;43640;38431;32804;29241;;;
Саратовская область;8726;9630;6153;5800;6663;7226;;;
Ульяновская область;6360;7842;6362;5287;5171;4851;;;
Уральский  федеральный округ;54450;141341;122258;113208;115712;114526;;;
Курганская область;2926;3170;1853;1534;1725;1459;;;
Свердловская область;27252;58011;43326;38677;40020;35878;;;
Тюменская область;23206;49081;59495;58031;58472;60967;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;9724;25422;35898;32796;30918;27239;;;
Ямало-Ненецкий автономный округ;3717;5474;11723;10054;9643;8745;;;
Тюменская область       без автономных округов;9765;18185;11874;15181;17911;24983;;;
Челябинская область;1066;31079;17584;14966;15495;16222;;;
Сибирский федеральный округ;150334;175094;114949;99537;99638;107016;;;
Республика Алтай;2259;2064;1351;1248;1311;1154;;;
Республика Тыва;358;651;198;143;155;190;;;
Республика Хакасия;2134;2673;1364;1301;1531;1281;;;
Алтайский край;9516;11196;5508;5450;6014;5967;;;
Красноярский край;21274;29272;20131;17811;19765;23492;;;
Иркутская область;35838;38923;30585;28999;32297;31200;;;
Кемеровская область;19423;17175;6274;4999;5723;5450;;;
Новосибирская область;41094;52143;39308;28979;21557;27161;;;
Омская область;7829;9924;5481;4876;4941;4796;;;
Томская область;10609;11073;4749;5731;6344;6325;;;
Дальневосточный федеральный округ;78065;76404;54253;48961;58437;66704;;;
Республика Бурятия;6850;6769;1056;1908;2159;2527;;;
Республика Саха (Якутия);15785;13975;6764;6136;5795;5099;;;
Забайкальский край;6955;6811;3791;3867;4608;4024;;;
Камчатский край;3411;3765;5575;5471;6447;6481;;;
Приморский край;12953;14841;7777;7729;12556;16427;;;
Хабаровский край;16533;14898;11367;9941;10321;10716;;;
Амурская область;3795;3745;2560;1616;2177;7533;;;
Магаданская область;1479;1251;4230;4119;5564;5845;;;
Сахалинская область;9721;9710;9878;6991;7658;6777;;;
Еврейская автономная область;543;495;363;343;323;496;;;
Чукотский автономный округ;40;144;892;840;829;779;;;
?????;;;;;;;;;
"1) По данным Министерства внутренних дел Российской Федерации. Данные приведены по лицам, прибывшим в безвизовом порядке въезда. 2013-2014 гг. – у физических лиц; с 2015 г. – у физических и юридических лиц. ";;;;;;;;;
2) Данные разрабатываются с 2013 г.;;;;;;;;;
