Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;
ИНДИВИДУАЛЬНОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;;;;;
12.12. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;;;;;
12.12.3. Объем выручки от продажи товаров, продукции, работ, услуг1);;;;;;;;;;;;;;;
"(по данным выборочных обследований индивидуальных предпринимателей; миллиардов  рублей)";;;;;;;;;;;;;;;
;2011;2012;2013;20142);2016;2017;2018;;;;;;;;
Российская Федерация;8057,2;8707,4;9732,9;10447,5;12369,2;14102,5;15003,8;;;;;;;;
Центральный федеральный округ;1672,7;1787,8;1974,6;2243,6;2754,5;3582,9;3862,8;;;;;;;;
Белгородская область;92,1;103,6;113,4;135,1;179,8;201,7;197,5;;;;;;;;
Брянская область;95,5;96,0;101,9;132,0;135,1;136,6;144,7;;;;;;;;
Владимирская область;60,1;63,8;85,1;82,4;114,9;114,2;121,1;;;;;;;;
Воронежская область;193,8;198,2;216,1;233,3;288,9;293,6;337,3;;;;;;;;
Ивановская область;53,8;68,2;76,2;77,0;82,6;111,2;110,2;;;;;;;;
Калужская область;58,2;59,6;72,2;74,0;96,9;94,6;120,6;;;;;;;;
Костромская область;51,1;50,9;61,3;61,9;68,4;84,8;78,6;;;;;;;;
Курская область;79,5;85,4;98,8;100,8;119,9;119,1;133,2;;;;;;;;
Липецкая область;71,7;84,2;94,8;109,8;121,1;131,7;147,3;;;;;;;;
Московская область ;290,4;264,7;285,5;304,8;366,5;383,7;436,4;;;;;;;;
Орловская область;31,7;37,5;45,4;53,4;71,2;63,1;65,4;;;;;;;;
Рязанская область;56,7;58,8;66,7;67,6;76,7;84,5;89,1;;;;;;;;
Смоленская область;65,4;63,2;69,0;72,3;73,6;81,7;88,2;;;;;;;;
Тамбовская область;61,1;66,1;72,8;75,0;89,1;95,6;97,3;;;;;;;;
Тверская область;77,7;74,4;75,7;90,6;56,3;73,3;79,3;;;;;;;;
Тульская область;80,2;88,9;87,2;91,0;125,1;134,4;139,8;;;;;;;;
Ярославская область;66,9;64,9;45,5;89,3;110,6;99,6;114,2;;;;;;;;
г. Москва;186,7;259,2;307,0;393,4;577,8;1279,7;1362,7;;;;;;;;
Северо-Западный федеральный округ;598,6;645,3;714,5;791,9;896,7;1119,5;1279,3;;;;;;;;
Республика Карелия;27,5;24,8;25,3;25,7;24,4;38,8;39,0;;;;;;;;
Республика Коми;78,1;81,3;84,2;82,5;76,2;71,3;65,9;;;;;;;;
Архангельская область;116,3;125,2;148,6;156,7;161,8;163,0;177,6;;;;;;;;
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;2,5;2,5;3,0;3,8;4,0;5,4;6,0;;;;;;;;
Архангельская область      без автономного округа;113,8;122,7;145,6;152,9;157,8;157,7;171,6;;;;;;;;
Вологодская область;58,4;62,8;74,8;84,5;88,9;107,5;106,4;;;;;;;;
Калинингpадская область;44,7;50,2;57,1;53,8;75,4;80,3;76,8;;;;;;;;
Ленинградская область;87,1;93,3;103,0;117,5;113,2;140,4;160,8;;;;;;;;
Мурманская область;35,5;34,9;26,3;28,5;37,6;35,3;43,9;;;;;;;;
Новгородская область;25,9;27,6;30,7;29,4;35,0;46,8;47,6;;;;;;;;
Псковская область;27,6;31,6;33,1;33,6;31,2;34,2;40,5;;;;;;;;
г. Санкт-Петербург;97,3;113,5;131,4;179,4;253,0;401,9;520,6;;;;;;;;
Южный                 федеральный округ;815,8;926,0;1000,7;1097,6;1702,4;1747,8;1868,9;;;;;;;;
Республика Адыгея;19,2;16,0;18,7;22,1;42,5;27,4;48,5;;;;;;;;
Республика Калмыкия;9,3;11,6;11,6;9,3;9,1;16,5;15,6;;;;;;;;
Республика Крым;;;;5,9;172,4;167,5;175,9;;;;;;;;
