Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;
18.9. ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения1);;;;;;;;;;
18.9.2. Число активных абонентов мобильного широкополосного доступа к сети Интернет;;;;;;;;;;
"(на конец года; единиц)";;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;
Удмуртская Республика;32,0;35,8;41,2;46,9;49,8;66,6;67,1;75,9;;
Чувашская Республика;43,8;50,9;58,7;63,9;68,8;74,5;75,1;78,7;;
Пермский край;28,5;34,8;48,1;58,4;43,2;43,1;70,8;78,9;;
Кировская область;37,7;41,3;44,9;48,9;58,1;56,4;63,4;69,7;;
Нижегородская область ;26,2;29,7;34,8;39,9;61,5;70,7;80,9;98,1;;
Оренбургская область;55,9;60,7;64,6;65,8;68,0;73,4;75,5;81,6;;
Пензенская область;34,8;43,8;50,0;52,7;60,2;68,5;68,1;73,3;;
Самарская область;51,2;54,7;63,8;66,3;71,1;82,2;78,2;81,2;;
Саратовская область;47,0;52,2;58,7;60,8;64,1;70,7;71,9;76,5;;
Ульяновская область;33,5;38,2;45,1;47,9;56,3;67,3;67,4;73,4;;
Уральский       федеральный округ;42,6;47,9;54,2;59,5;53,5;53,2;75,0;85,4;;
Курганская область;44,8;47,5;51,4;53,9;54,2;54,6;55,6;67,4;;
Свердловская область ;33,6;39,3;44,6;49,5;52,1;54,8;69,1;78,3;;
Тюменская область;51,1;59,1;63,7;70,9;67,4;63,2;89,7;101,2;;
в том числе:;;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;49,6;57,3;58,2;63,0;66,4;61,9;87,5;96,5;;
Ямало-Ненецкий автономный    округ;66,5;72,3;79,6;86,4;78,3;71,8;103,9;113,5;;
Тюменская область     без автономных округов;46,7;56,0;63,9;74,1;64,6;61,7;87,0;102,0;;
Челябинская область;44,8;47,4;57,3;61,7;40,8;40,4;71,3;81,5;;
Сибирский       федеральный округ;47,6;52,7;58,0;51,6;66,6;67,8;74,6;82,9;;
Республика Алтай;64,0;69,2;75,2;69,1;74,4;70,7;73,9;79,0;;
Республика Тыва;79,4;85,5;87,8;55,4;57,4;43,5;45,8;49,7;;
Республика Хакасия;67,9;72,7;79,3;64,1;72,6;69,1;76,2;86,7;;
Алтайский край;52,1;57,3;60,3;60,5;64,7;64,3;72,1;79,1;;
Красноярский край;53,5;64,1;75,2;62,8;71,2;72,6;75,6;82,2;;
Иркутская область;32,9;35,1;37,1;37,9;101,8;106,0;85,0;93,1;;
Кемеровская область;42,9;46,4;51,6;41,3;53,2;52,8;67,0;77,7;;
Новосибирская область ;54,8;59,5;65,7;57,9;59,9;61,3;80,0;87,8;;
Омская область;36,5;41,2;44,5;41,9;43,4;51,2;71,4;81,3;;
Томская область;47,2;49,7;53,5;49,1;72,1;68,6;73,5;83,0;;
Дальневосточный  федеральный округ;50,3;54,7;64,1;69,9;74,6;73,6;81,6;86,7;;
Республика Бурятия;28,2;29,7;35,7;39,3;44,7;42,9;64,1;71,9;;
Республика Саха (Якутия);56,4;62,3;76,9;84,6;88,4;84,9;90,0;91,6;;
Забайкальский край;39,4;43,7;50,3;54,1;58,5;56,8;58,3;63,7;;
Камчатский край;77,8;82,3;88,2;93,8;101,0;98,5;102,9;102,5;;
Приморский край;45,9;49,8;60,6;72,0;75,9;78,4;88,9;94,4;;
Хабаровский край;65,6;70,1;74,2;77,3;81,9;81,0;86,0;91,8;;
Амурская область;58,9;62,6;70,5;74,2;79,3;78,0;81,8;88,4;;
Магаданская область ;66,5;77,3;89,4;92,9;97,8;92,2;96,7;100,5;;
Сахалинская область;50,8;53,6;80,3;83,3;90,8;86,0;97,8;102,1;;
Еврейская автономная область;35,9;47,8;55,1;56,5;59,8;56,4;58,6;64,1;;
Чукотский автономный округ;48,1;66,7;80,5;81,9;89,5;90,6;95,9;100,1;;
?????;;;;;;;;;;
1) Информация разрабатывается с 2011 г.;;;;;;;;;;
2) С 2011 г. - включая данные по Московской области.;;;;;;;;;;
3)  С 2011 г. - включая данные по Ленинградской области.;;;;;;;;;;
