Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.4. ВВОД В ДЕЙСТВИЕ ЖИЛЫХ ДОМОВ;;;;;;;;;;;;;;;;;;;
15.4.1.  Всего ;;;;;;;;;;;;;;;;;;;
(тысяч квадратных метров общей площади жилых помещений);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Татарстан;1503;1548;1543;1562;1768;1642;1778;2041;2223;2010;2027;2396;2400;2400;2405;2406;2407;2408;2410
Удмуртская Республика;257;277;354;315;361;372;424;483;486;465;482;505;516;533;633;649;650;659;717
Чувашская Республика;502;508;515;543;625;733;855;1005;978;852;875;886;819;837;862;833;630;605;598
Пермский край;330;525;361;416;449;638;718;884;833;695;761;749;826;1004;1113;1154;1060;1101;1081
Кировская область;221;219;190;161;230;257;309;376;426;336;378;405;409;487;685;727;662;546;553
Нижегородская область ;577;533;485;576;684;748;827;1072;1354;1404;1453;1470;1501;1530;1588;1259;1274;1308;1351
Оренбургская область;385;441;473;522;545;581;653;752;776;740;587;743;704;791;1152;1190;966;892;912
Пензенская область;223;197;251;235;279;316;403;554;605;610;625;671;739;831;903;931;886;887;663
Самарская область;691;749;859;850;854;910;754;1287;1328;1023;1041;1331;1484;1739;1888;2212;1875;1788;1782
Саратовская область;473;509;571;475;485;682;810;1022;1113;1130;1144;1170;1236;1314;1521;1140;1294;1210;1216
Ульяновская область;214;242;180;182;157;293;340;429;509;531;467;554;607;634;719;935;967;977;981
Уральский            федеральный округ;2265;2642;2851;2811;3170;3569;4379;5593;6228;5316;4819;5467;6361;6576;7977;7948;6380;6302;5965
Курганская область;73;86;101;102;97;124;149;195;281;289;160;183;250;280;389;293;296;272;232
Свердловская область ;617;636;704;779;891;1105;1284;1659;1702;1591;1770;1822;1869;1755;2424;2478;2107;2144;2088
Тюменская область;906;1263;1339;1191;1374;1322;1711;2066;2220;2006;1816;2148;2565;2753;3161;3396;2662;2469;2120
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;355;689;683;583;704;582;758;872;892;827;564;757;1022;1044;1116;968;747;813;586
Ямало-Ненецкий автономный округ;97;118;181;127;151;183;251;254;230;135;140;168;198;246;271;297;228;236;186
Тюменская область без автономных округов;454;456;475;481;519;557;702;940;1099;1044;1112;1222;1345;1463;1775;2132;1688;1420;1348
Челябинская область;669;657;706;739;807;1019;1235;1673;2024;1431;1073;1314;1677;1788;2002;1782;1316;1417;1524
Сибирский     федеральный округ;2533;2293;2573;2987;3551;4076;5037;6412;6609;5731;6061;6606;6788;7315;8113;8722;8021;6793;6649
Республика Алтай;25;15;26;23;41;34;47;52;58;61;68;77;81;90;100;114;125;131;108
Республика Тыва;31;34;27;20;17;17;24;33;45;50;50;52;56;79;93;109;108;101;93
Республика Хакасия;131;66;101;100;104;121;138;163;193;185;141;156;174;203;262;301;192;236;188
Алтайский край;415;439;372;420;354;398;441;598;632;654;660;636;646;665;755;890;754;630;786
Красноярский край;443;376;492;575;663;780;899;1159;1102;861;988;1047;1077;1134;1201;1311;1374;1057;1149
Иркутская область;186;183;231;216;267;303;331;575;585;602;628;755;871;973;836;923;913;974;988
Кемеровская область;338;396;463;512;582;641;804;1010;1063;1063;1003;1083;1086;1091;1098;1002;1089;1000;640
Новосибирская область ;505;401;418;566;705;704;1073;1275;1392;1216;1380;1505;1571;1723;2302;2588;2216;1729;1738
Омская область;253;174;230;318;520;756;906;1104;1016;605;707;837;739;827;848;785;772;458;522
Томская область;205;208;214;236;297;321;375;443;524;434;437;458;490;531;619;699;478;478;437
Дальневосточный    федеральный округ;1043;1157;1030;1100;1174;1266;1487;1803;1989;2035;2195;2517;2634;2849;3206;2873;2820;2512;2270
Республика Бурятия;170;184;185;184;197;201;217;271;307;248;272;304;339;380;409;415;336;269;248
Республика Саха (Якутия);247;356;250;262;240;261;288;320;291;293;303;319;356;418;474;546;620;634;530
Забайкальский край;75;93;81;102;147;131;179;233;259;269;275;277;303;295;353;235;292;271;187
Камчатский край;8;10;14;13;17;13;32;21;63;63;58;69;72;83;88;72;75;67;36
Приморский край;191;221;175;216;215;247;320;367;375;399;535;592;611;615;672;499;492;412;538
Хабаровский край ;149;130;136;140;181;195;205;266;304;379;315;402;344;325;444;450;366;270;274
Амурская область;122;102;114;104;80;125;139;169;185;150;166;241;317;364;344;261;221;182;159
Магаданская область;6;7;3;7;4;9;14;15;15;16;16;18;20;15;13;21;5;6;4
Сахалинская область;66;38;43;43;59;44;66;106;149;165;202;239;215;291;305;312;334;348;265
Еврейская автономная область;8;8;17;11;11;16;21;30;39;49;53;53;54;63;104;60;76;50;28
Чукотский автономный округ;1;10;13;20;25;24;7;7;2;4;0,3;2;1;0,4;2;2;3;4;2
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
