Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;
4.13. ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ, РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА;;;;;;;;;;;;;
4.13.2. Численность мастеров производственного обучения1);;;;;;;;;;;;;
"(на начало учебного года; человек)";;;;;;;;;;;;;
;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;;;;
Российская Федерация;13594;15202;17167;17213;18568;19530;4991;4974;4952;;;;
Центральный федеральный округ;3772;3987;4280;4343;4459;4804;1200;1259;1284;;;;
Белгородская область;180;139;257;238;195;213;16;10;13;;;;
Брянская область;50;45;282;376;287;296;47;47;52;;;;
Владимирская область;87;92;68;214;193;241;45;48;38;;;;
Воронежская область;124;164;155;163;141;172;54;53;54;;;;
Ивановская область;40;38;52;82;182;173;48;46;44;;;;
Калужская область;128;113;149;150;118;121;34;39;22;;;;
Костромская область;148;209;178;150;146;134;66;48;57;;;;
Курская область;98;207;88;222;312;349;54;46;46;;;;
Липецкая область;72;64;61;46;63;140;37;44;46;;;;
Московская область;234;246;380;402;616;664;134;166;187;;;;
Орловская область;80;112;283;277;257;267;101;100;111;;;;
Рязанская область;325;317;275;289;309;263;143;135;131;;;;
Смоленская область;125;172;153;160;177;153;42;33;30;;;;
Тамбовская область;65;57;73;50;140;295;73;45;54;;;;
Тверская область;63;64;88;163;202;202;73;59;64;;;;
Тульская область;104;117;110;101;134;229;38;34;53;;;;
Ярославская область;81;68;106;149;147;199;31;22;39;;;;
г. Москва;1768;1763;1522;1111;840;693;164;284;243;;;;
Северо-Западный    федеральный округ;1313;1541;1902;1713;1861;2012;453;452;443;;;;
Республика Карелия;63;91;83;124;145;143;20;28;23;;;;
Республика Коми;216;311;337;275;272;252;27;33;28;;;;
Архангельская область;185;144;263;205;249;240;54;33;28;;;;
в том числе: ;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;;;;
Архангельская область    без автономного округа;185;144;263;205;249;240;54;33;28;;;;
Вологодская область;194;265;270;247;202;203;49;44;46;;;;
Калининградская область;104;124;121;113;82;102;16;18;16;;;;
Ленинградская область;165;186;178;171;200;184;52;49;55;;;;
Мурманская область;109;93;268;212;168;132;26;25;21;;;;
Новгородская область;44;55;91;119;139;127;26;25;23;;;;
Псковская область;11;24;43;41;90;90;36;28;36;;;;
г. Санкт-Петербург;222;248;248;206;314;539;147;169;167;;;;
Южный              федеральный округ;625;654;842;880;1134;1307;465;449;404;;;;
Республика Адыгея;73;62;48;58;111;64;48;30;26;;;;
Республика Калмыкия;11;9;6;4;35;84;8;5;10;;;;
Республика Крым;;;;;121;143;65;56;44;;;;
Краснодарский край;177;215;304;271;281;382;146;151;129;;;;
Астраханская область;96;63;60;88;82;126;18;26;18;;;;
Волгоградская область;127;157;267;264;266;241;86;74;59;;;;
Ростовская область;141;148;157;195;169;211;90;97;106;;;;
г. Севастополь;;;;;69;56;4;10;12;;;;
Северо-Кавказский      федеральный округ;615;690;936;1108;1102;1336;293;279;326;;;;
Республика Дагестан;34;25;40;28;23;230;48;33;32;;;;
Республика Ингушетия ;3;3;112;130;135;141;58;54;14;;;;
Кабардино-Балкарская Республика;4;72;185;122;124;123;78;71;76;;;;
Карачаево-Черкесская Республика;9;5;5;2;17;58;22;12;23;;;;
Республика Северная Осетия - Алания;12;11;96;66;85;110;15;17;39;;;;
Чеченская Республика ;11;7;42;432;395;326;12;24;43;;;;
Ставропольский край;542;567;456;328;323;348;60;68;99;;;;
Приволжский          федеральный округ;3789;4181;4452;4191;4246;4009;1098;1073;1012;;;;
Республика Башкортостан;166;177;200;158;254;262;99;91;90;;;;
Республика Марий Эл;220;191;187;171;173;187;59;61;53;;;;
Республика Мордовия;93;148;142;121;110;96;41;47;40;;;;
Республика Татарстан;553;653;634;648;743;716;235;219;247;;;;
Удмуртская Республика;189;202;210;175;212;246;24;28;25;;;;
Чувашская Республика;169;145;176;217;243;204;52;54;41;;;;
Пермский край;462;404;461;469;504;484;95;113;96;;;;
