Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.7. ВВОД В ДЕЙСТВИЕ ЖИЛЫХ ДОМОВ, ПОСТРОЕННЫХ НАСЕЛЕНИЕМ ЗА СЧЕТ СОБСТВЕННЫХ И ПРИВЛЕЧЕННЫХ СРЕДСТВ;;;;;;;;;;;;;;;;;;;
(тысяч м2 общей площади жилых помещений);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Удмуртская Республика;139;169;198;212;231;252;263;320;327;347;286;295;264;240;248;308;287;288;318
Чувашская Республика;300;318;328;346;433;458;546;683;681;562;579;615;518;470;404;288;194;165;138
Пермский край;96;115;147;149;172;207;238;338;406;388;306;270;316;477;546;452;312;468;485
Кировская область;63;72;68;61;78;91;114;187;199;173;131;119;133;137;245;246;178;195;240
Нижегородская область ;178;198;218;245;244;269;267;350;639;909;930;928;844;949;774;519;613;602;743
Оренбургская область;233;276;320;371;378;419;446;469;433;423;341;473;392;501;663;535;374;401;470
Пензенская область;108;94;125;118;129;152;200;296;321;296;340;336;369;431;425;414;465;532;414
Самарская область;235;274;285;258;260;256;300;464;384;418;375;481;532;662;815;789;718;661;770
Саратовская область;260;252;269;222;219;221;318;472;542;489;552;528;779;786;744;558;499;431;640
Ульяновская область;88;98;90;77;81;118;140;246;265;359;289;339;376;317;285;483;585;695;706
Уральский          федеральный округ;582;668;777;837;940;1117;1230;1946;2206;2344;1849;1854;1822;2154;3079;2975;2108;2285;2295
Курганская область;51;44;51;50;51;69;87;122;162;152;108;110;175;182;243;194;195;122;152
Свердловская область ;218;238;257;296;306;327;404;608;683;739;668;707;684;648;1122;1059;779;840;809
Тюменская область;159;197;236;246;292;298;427;522;624;670;581;637;527;771;941;950;680;804;673
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;48;56;65;76;94;90;115;186;185;230;155;137;163;193;215;138;109;116;123
Ямало-Ненецкий автономный округ;7;9;15;11;18;17;31;45;31;27;24;33;25;34;34;31;25;32;44
Тюменская область без автономных округов;104;132;156;159;180;191;281;290;408;413;391;467;338;543;693;781;545;656;505
Челябинская область;154;189;233;245;291;423;479;695;737;783;492;401;436;554;773;771;454;519;662
Сибирский федеральный округ;870;888;990;1088;1228;1399;1819;2303;2325;2177;2040;2333;2460;2707;3347;3003;2641;2540;2834
Республика Алтай;16;12;21;22;30;27;27;37;40;42;48;64;48;61;70;87;96;110;98
Республика Тыва;11;9;6;5;11;9;22;28;40;36;40;44;50;70;81;88;82;77;76
Республика Хакасия;48;39;58;50;59;62;81;100;95;109;77;66;82;80;160;120;60;86;113
Алтайский край;267;286;267;268;228;238;263;361;355;328;271;300;365;352;344;296;234;254;308
Красноярский край;103;101;127;170;177;160;205;308;279;294;236;238;267;323;470;461;295;288;323
Иркутская область;52;66;74;88;102;98;115;142;188;137;109;210;209;359;292;214;320;323;588
Кемеровская область;130;148;195;212;293;346;364;439;395;431;436;498;615;563;583;529;549;544;385
Новосибирская область ;98;119;130;122;135;147;344;385;413;341;319;362;407;465;836;684;604;518;604
Омская область;85;58;66;105;135;259;309;401;409;337;356;443;302;263;219;242;191;170;180
Томская область;62;50;45;49;59;53;89;102;111;123;151;108;116;171;293;281;211;170;160
Дальневосточный федеральный округ;475;499;460;464;442;497;540;730;756;814;772;918;1004;1146;1298;1132;1246;1072;994
Республика Бурятия;130;141;150;150;132;126;137;199;193;171;199;215;238;262;219;187;176;140;131
Республика Саха (Якутия);162;181;110;104;87;135;125;141;135;130;137;182;185;199;223;227;243;204;206
Забайкальский край;30;28;27;33;30;38;45;57;65;80;77;103;87;111;156;80;222;155;123
Камчатский край;3;2;8;6;12;3;8;1;1;3;2;2;24;16;26;34;32;30;28
Приморский край;67;69;83;94;100;110;128;192;206;230;185;190;203;242;384;254;205;204;219
Хабаровский край ;25;22;29;23;31;31;33;56;53;70;50;80;97;92;94;156;157;129;121
Амурская область;34;31;28;28;24;26;32;37;36;36;36;62;63;63;54;48;35;32;37
Магаданская область;1;1;1;1;1; 0,4   ;0,3;1;2;4;6;7;2;1;2;2;2;5;4
Сахалинская область;21;22;17;21;20;21;24;38;56;79;68;64;91;115;103;108;143;156;104
Еврейская автономная область;3;3;7;5;6;6;8;8;9;13;11;13;15;44;39;36;31;19;21
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;- ;- ;- ;- ;- ;- ;-;0,1;-
