Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.17. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ ПОДГОТОВКИ СПЕЦИАЛИСТОВ СРЕДНЕГО ЗВЕНА1);;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;2360,8;2470,2;2585,5;2612,1;2599,6;2590,7;2514,0;2408,2;2244,1;2142,1;2125,7;2081,7;2087,1;1984,3;2103,1;2180,2;2304,8;2387,7;2464,3
Центральный  федеральный округ;566,6;577,3;596,1;590,2;576,3;575,2;557,8;530,4;496,5;476,9;478,5;469,8;470,4;442,8;462,7;469,8;492,8;509,8;528,3
Белгородская область;25,2;25,6;24,7;24,6;24,3;25,1;24,4;23,2;20,9;19,8;20,0;20,0;20,5;19,1;21,1;21,8;23,3;24,5;25,8
Брянская область;24,5;25,0;28,3;25,3;24,6;23,7;22,7;21,8;20,8;19,6;19,2;18,1;17,6;16,8;17,3;19,2;19,1;19,3;19,5
Владимирская область;27,0;28,7;30,9;27,9;27,3;26,4;25,2;23,9;21,3;20,3;19,9;19,3;18,6;17,7;18,9;19,2;20,0;20,5;21,4
Воронежская область;43,4;45,9;47,9;49,2;49,9;50,8;47,5;42,3;39,8;36,7;35,8;36,4;36,4;36,3;34,4;34,6;34,7;34,9;34,8
Ивановская область;17,8;18,1;18,1;17,7;17,5;16,8;16,3;16,0;14,3;14,0;14,1;13,4;12,5;11,3;12,8;13,6;14,6;15,0;15,2
Калужская область;16,7;16,8;17,4;17,2;16,8;16,7;15,8;14,9;13,6;12,9;14,2;13,9;13,8;13,3;13,6;14,0;15,0;15,8;16,6
Костромская область;12,5;12,5;12,9;13,0;11,6;10,9;11,5;10,7;9,9;9,4;9,3;9,2;9,0;8,6;8,7;9,5;11,0;11,4;11,8
Курская область;21,8;21,9;22,9;21,3;22,8;23,4;22,8;22,9;21,1;19,0;20,0;18,7;18,0;16,1;17,4;18,2;21,3;21,4;22,6
