Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;
9.4.1. Всего;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ленинградская область;26652,0;36607,0;46236,2;54662,3;77186,9;105319,6;130650,0;160601,8;193687,0;220321,6;258934,8;322392,9;356313,0;385930,1;421099,4;470620,1;522531,6;555868,8
Мурманская область;29473,5;37330,5;48027,8;57290,5;67931,1;84392,2;100420,5;120867,3;150962,6;165618,2;177717,9;197937,5;219849,9;242741,6;261312,8;268873,2;275106,7;288148,4
Новгородская область;14334,1;17652,3;22287,1;25638,9;31290,1;38113,3;47966,9;59423,5;78430,4;87274,1;96443,9;117338,6;129246,8;143265,9;157188,1;169804,6;174144,4;177140,7
Псковская область;12839,2;16662,9;24404,3;29436,1;37755,6;44729,9;55346,3;60986,6;77460,1;81929,9;88888,5;104558,5;114718,1;124813,0;136698,8;144788,0;144129,8;151703,6
г. Санкт-Петербург;137217,2;182581,8;235459,3;285364,5;379229,8;517195,9;638807,3;811388,1;1028516,7;1077229,6;1230573,7;1381089,6;1554023,2;1698498,0;1840000,1;2026766,6;2202782,6;2371051,2
Южный         федеральный округ;254913,3;349593,1;455319,4;549492,0;697450,6;882605,1;1103711,8;1448695,1;1843658,1;1959803,0;2243101,4;2605421,0;2963953,6;3263262,2;3620921,3;4344068,5;4544213,6;4744513,5
Республика Адыгея;6893,2;8314,8;9965,1;11399,0;14730,9;18567,5;22021,4;27428,5;39175,0;47704,8;53922,3;65525,1;80292,5;93769,9;102146,9;103382,0;111249,7;120333,9
Республика Калмыкия;2863,2;3931,5;4973,5;4934,8;7567,2;9646,5;13789,9;15660,7;18683,3;20528,5;22750,0;29335,4;33325,2;36005,8;38699,6;40051,5;39243,2;41208,6
Республика Крым;;;;;;;;;;;;;;;…;353411,3;363453,9;379507,0
Краснодарский край;100672,7;134316,2;173933,8;212288,6;272047,5;343880,1;435884,2;587813,4;744380,8;819567,9;956815,1;1105920,8;1283172,5;1413194,4;1603377,4;1750872,3;1869013,2;1955921,5
Астраханская область;17227,6;23167,5;29956,0;35601,5;43399,2;55523,8;70561,9;89340,5;116861,0;130624,7;151570,4;173948,2;197586,3;218674,6;239794,4;252157,0;242061,4;245144,1
Волгоградская область;41628,3;65856,3;86150,6;103809,5;127539,6;160748,3;196155,2;254583,2;313480,4;343650,1;378828,3;423494,0;459369,7;494151,5;528701,4;565046,4;572325,6;595502,7
Ростовская область;85628,3;114006,8;150340,4;181458,6;232166,2;294238,9;365299,2;473868,8;611077,6;597727,0;679215,3;807197,5;910207,4;1007466,0;1108201,6;1210244,3;1242245,6;1297608,4
г. Севастополь;;;;;;;;;;;;;;;…;68903,7;104621,0;109287,3
Северо-Кавказский     федеральный округ;100739,0;132120,5;173736,4;220431,4;294236,0;413609,8;519194,7;671450,4;884781,4;1050783,6;1206946,7;1415128,5;1630708,7;1829223,7;1998930,9;2231458,9;2208624,2;2373239,3
Республика Дагестан;20348,0;27651,2;39706,2;58222,2;86715,6;127690,9;170706,4;223209,8;319360,1;391813,5;447861,8;499610,3;564895,1;641742,8;701939,8;848973,3;853659,2;911997,7
Республика Ингушетия ;2373,2;3980,0;4640,5;5211,7;6126,3;7096,0;10863,1;15703,2;18381,5;20875,7;22093,0;29958,1;34482,4;38932,4;43035,6;44817,2;40221,5;49369,3
Кабардино-Балкарская     Республика;13087,0;16716,7;21580,5;26354,6;32209,0;43248,3;49383,1;60957,6;76055,8;86955,8;96272,0;112093,8;122886,5;136693,3;151628,9;168294,9;164309,0;179141,7
Карачаево-Черкесская     Республика;6000,3;7398,1;9988,9;12232,3;15407,3;20097,0;26662,5;30371,7;36647,4;41911,3;45998,2;51532,8;54894,6;58499,8;61950,2;63938,5;59344,5;65530,9
Республика Северная    Осетия - Алания;10996,9;14611,0;17883,5;20602,1;26505,5;34277,0;42847,2;52843,3;69367,4;79064,4;90595,2;109485,1;121514,4;133410,7;141527,7;153187,0;154262,9;167114,7
Чеченская Республика ;…;…;…;…;…;15523,5;17385,0;36129,3;53060,8;76351,6;95168,9;121669,7;147300,7;182466,4;219499,2;254629,7;257716,9;280474,5
Ставропольский край;47933,6;61763,5;79936,8;97808,5;127272,3;165677,1;201347,4;252235,5;311908,4;353811,3;408957,6;490778,7;584735,0;637478,3;679349,5;697618,3;679110,2;719610,5
Приволжский федеральный округ;621931,5;810147,1;1043695,7;1235998,8;1546275,9;1958018,9;2475889,8;3123695,8;3967890,4;4196579,8;4637527,9;5419252,8;6035993,2;6726430,0;7304484,4;7449543,0;7633629,3;7952421,2
Республика Башкортостан;82340,5;109860,9;144960,4;175766,8;224868,1;289933,6;383276,7;488623,0;635133,8;674455,6;732024,7;847038,3;934382,9;1046069,9;1117016,8;1150968,8;1170073,9;1219473,5
Республика Марий Эл;9939,7;13340,4;16185,9;19266,1;24814,7;29372,1;38786,9;49503,5;62916,0;69650,8;76571,1;87391,6;95592,5;108547,3;120143,5;127436,5;127778,9;132138,0
Республика Мордовия;12820,3;15372,3;18976,0;22006,1;28462,1;34957,7;42798,0;53091,6;68729,5;77805,3;85385,3;94275,6;102319,6;111354,6;120295,4;130163,6;137802,6;145618,5
Республика Татарстан;75595,7;104966,7;137532,3;170031,2;212169,2;273476,1;353915,9;458303,8;582704,0;623125,6;708132,5;858315,9;995573,6;1100934,9;1178997,2;1190076,6;1239989,2;1307677,8
Удмуртская Республика;27450,1;35810,5;44876,5;50892,2;60713,7;75139,7;94608,5;118904,6;156546,9;170407,0;195644,5;230622,2;258906,5;288390,6;316587,4;330874,6;339970,5;353815,7
Чувашская Республика;18301,0;24385,9;31647,9;37473,5;46380,0;57719,9;71457,2;90367,4;116646,8;128770,1;141788,7;166535,6;181449,8;201739,2;215275,6;226000,0;230716,9;237295,9
Пермский край;66313,2;88326,2;109908,2;131514,9;161811,0;206918,8;274177,8;337421,3;419000,9;442405,5;485324,3;567036,1;612467,8;690598,0;744006,2;731966,7;743669,0;771386,0
Кировская область;25058,8;32568,7;42286,9;46626,3;57403,5;69982,3;84222,6;105893,8;136618,4;143692,7;162753,4;193372,9;217923,9;241208,4;261454,4;276206,9;280353,5;291800,8
Нижегородская область ;64724,6;85602,4;112093,0;136222,3;170609,7;214085,3;270261,3;346981,5;458517,0;468720,5;527305,6;627300,2;720357,1;804633,4;901124,0;917365,6;946787,1;1004016,8
Оренбургская область;34131,9;42379,9;50893,4;59292,3;76421,4;104138,5;127438,8;162117,5;214781,4;240536,2;269112,2;313885,5;352006,7;393687,5;435543,4;442961,4;446982,3;470651,3
Пензенская область;20791,1;27085,0;34802,2;40274,7;51584,5;64675,4;79314,7;114362,6;144222,8;157698,0;176676,4;208696,7;226083,0;254306,9;276117,7;294804,6;310718,0;311210,7
Самарская область;116269,0;141711,7;186708,1;211817,0;263344,3;328819,3;395388,0;474918,8;575701,9;587523,8;617770,7;694612,6;741541,2;821504,9;905035,8;885086,8;902917,8;919431,0
Саратовская область;45978,9;59232,7;75799,2;87957,5;111807,1;139889,1;169347,7;210719,3;262025,9;270795,0;296864,4;346412,3;389613,8;432185,6;461504,9;485363,5;489613,4;510297,1
Ульяновская область;22216,7;29503,8;37025,7;46857,9;55886,6;68911,1;90895,7;112487,1;134345,1;140993,7;162174,1;183757,3;207774,8;231268,8;251382,1;260267,4;266256,2;277608,1
Уральский    федеральный округ;297905,2;403816,0;525088,0;649023,2;825392,8;1074553,0;1411919,5;1798919,5;2290080,8;2295310,4;2457126,5;2899299,7;3228070,7;3586247,2;3778595,3;3926229,6;3972534,8;4132084,1
Курганская область;13948,8;19469,5;27425,0;32014,6;41914,0;50564,0;66918,7;87222,2;113380,9;123198,2;117348,0;131789,0;145153,5;157206,2;162928,5;170612,8;173023,5;176992,8
Свердловская область ;99641,8;136816,4;177534,8;220231,0;284025,5;369674,6;475707,0;613960,8;780991,7;814556,1;936254,4;1117479,6;1243852,8;1391047,3;1461450,4;1541486,7;1582612,7;1626492,1
Тюменская область;117124,1;160189,1;206344,8;257317,7;325465,0;419643,8;554124,4;706224,6;882783,6;835642,3;842304,8;1000314,2;1125624,5;1264282,4;1334156,4;1395303,0;1420351,7;1511786,7
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;59238,8;83698,5;104513,3;133622,2;169830,4;218765,5;290372,8;371553,1;458256,9;421099,4;411919,3;475165,5;526647,7;589548,0;617859,0;639631,5;649782,8;695663,7
Ямало-Ненецкий     автономный округ;20646,2;29618,9;42140,3;51461,7;66109,0;87116,0;112402,5;140381,7;171591,5;162152,2;163111,3;197472,8;217286,9;235113,2;242721,0;253186,4;245982,8;264372,6
Тюменская область без    автономных округов;;;;;;;;;;;;327675,9;381689,9;439621,2;473576,4;502485,1;524586,1;551750,4
Челябинская область;67190,5;87341,0;113783,4;139459,9;173988,3;234670,6;315169,4;391511,9;512924,6;521913,8;561219,3;649716,9;713439,9;773711,3;820060,0;818827,1;796546,9;816812,5
Сибирский       федеральный округ;417394,7;553741,2;738454,0;894595,7;1092192,3;1364166,8;1705337,8;2092892,5;2581655,3;2607586,2;2847925,5;3325231,6;3761025,0;4113717,7;4315469,2;4456394,7;4562421,7;4741438,1
