Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;
17.1. ОТПРАВЛЕНИЕ ГРУЗОВ ЖЕЛЕЗНОДОРОЖНЫМ ТРАНСПОРТОМ ОБЩЕГО ПОЛЬЗОВАНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
(миллионов тонн);;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Российская Федерация1);1046,8;1057,5;1083,7;1160,9;1221,2;1273,3;1311,6;1344,6;1304,4;1108,8;1312,0;1381,7;1421,1;1381,2;1375,4;1329,0;1325,2;1384,3;1410,9;;;;;;
Центральный      федеральный округ;188,1;186,9;196,2;207,1;214,0;212,0;217,4;217,5;198,7;168,9;197,5;211,0;223,8;221,6;218,2;203,6;200,0;201,7;206,0;;;;;;
Белгородская область;39,1;39,3;40,8;43,0;43,7;43,6;45,1;46,5;40,5;38,4;47,9;56,8;57,1;54,2;54,4;53,5;51,0;49,9;48,9;;;;;;
Брянская область;7,7;8,2;8,6;8,1;8,2;8,3;7,2;7,9;6,0;4,5;18,5;21,4;27,6;30,6;28,9;17,2;11,6;10,1;10,1;;;;;;
Владимирская область;3,4;3,6;3,6;3,2;3,1;3,4;3,0;3,2;3,3;1,8;2,2;2,0;2,2;2,0;1,8;1,7;1,4;1,5;1,5;;;;;;
Воронежская область;13,9;12,7;13,2;14,8;15,2;14,9;15,2;15,5;14,2;12,6;11,2;11,1;11,4;10,9;10,6;11,5;13,6;14,6;16,5;;;;;;
Ивановская область;1,4;1,5;1,5;1,4;1,5;1,3;1,5;1,9;2,1;1,0;1,0;1,1;1,1;0,9;1,0;1,2;1,0;0,9;0,8;;;;;;
Калужская область;3,2;3,0;2,7;2,7;2,7;2,9;2,8;2,5;2,1;1,0;1,4;1,1;1,2;1,3;2,0;1,9;2,2;2,9;3,2;;;;;;
Костромская область;2,3;2,3;2,3;2,3;2,6;2,5;2,4;2,2;2,2;1,3;2,0;1,9;1,6;1,6;1,7;1,6;1,9;2,1;2,3;;;;;;
Курская область;17,7;15,3;16,4;19,1;20,4;18,8;21,9;21,9;20,1;17,6;17,7;19,0;20,0;19,0;19,2;18,9;19,7;20,2;21,8;;;;;;
Липецкая область;21,4;21,1;23,6;24,5;25,8;23,4;25,1;26,7;25,0;20,9;21,8;22,1;26,1;25,9;25,3;25,9;24,9;26,6;27,0;;;;;;
Московская область;15,8;17,4;17,8;17,9;19,4;18,5;17,6;16,6;15,5;11,0;12,1;12,2;12,2;11,9;11,7;11,3;10,9;11,3;12,3;;;;;;
Орловская область;1,0;1,1;1,2;1,1;1,1;1,5;1,5;1,2;1,0;1,3;1,0;1,1;1,4;1,5;1,4;1,2;1,2;1,4;1,7;;;;;;
Рязанская область;11,5;11,5;12,7;14,9;15,1;15,7;15,5;14,1;14,0;12,8;14,0;14,5;14,5;15,0;14,5;14,1;13,3;11,5;13,0;;;;;;
Смоленская область;7,4;7,4;7,2;7,4;8,2;8,9;8,7;8,9;7,4;5,9;8,3;9,7;10,9;11,5;11,3;10,2;14,0;16,0;13,3;;;;;;
Тамбовская область;5,0;5,4;5,9;6,1;5,9;6,4;6,7;5,8;5,7;6,7;4,9;4,1;3,5;3,7;3,5;3,5;3,2;2,4;2,8;;;;;;
Тверская область;3,0;2,2;2,6;2,0;1,9;2,3;2,7;3,2;3,0;1,5;1,9;1,6;1,5;1,3;1,4;1,4;1,5;1,6;1,8;;;;;;
Тульская область;12,6;13,3;13,2;13,9;14,3;15,5;16,5;15,6;14,7;11,7;11,7;11,2;11,6;11,1;11,3;11,4;11,7;11,7;12,0;;;;;;
Ярославская область;14,8;15,1;15,9;16,9;16,9;15,8;15,9;16,0;14,7;13,4;13,9;14,0;14,6;14,1;13,6;13,2;12,6;12,9;13,2;;;;;;
г. Москва;6,7;6,6;7,0;7,7;8,0;8,2;8,0;7,8;7,3;5,4;6,1;6,1;5,3;4,8;4,7;4,1;4,3;4,1;3,7;;;;;;
Северо-Западный      федеральный округ;143,0;142,9;140,0;143,0;150,7;160,7;161,4;162,6;154,9;129,9;153,3;162,5;166,0;163,9;156,7;148,0;150,8;150,1;155,9;;;;;;
Республика Карелия;14,7;13,9;14,0;13,9;15,2;18,7;19,3;20,8;22,3;18,7;20,2;23,7;26,7;26,9;28,3;27,3;29,0;27,6;26,6;;;;;;
Республика Коми;24,9;23,6;20,8;20,3;23,0;22,6;23,3;21,1;18,7;17,5;20,7;19,9;20,6;21,3;19,2;18,3;15,4;13,7;13,5;;;;;;
Архангельская область;9,0;9,2;9,6;10,9;11,8;16,0;15,0;14,6;12,9;10,3;11,8;12,3;11,6;11,4;10,9;10,4;10,1;11,1;12,5;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий   автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;
