Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;
12.3.3. Среднесписочная численность работников  (без внешних совместителей)1);;;;;;;;;
(тысяч человек);;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018;;
Республика Алтай;10,5;10,2;10,1;10,2;7,0;8,0;8,1;;
Республика Тыва;6,3;6,4;6,1;5,5;5,2;3,4;3,6;;
Республика Хакасия;21,4;18,1;29,2;25,1;19,4;22,5;20,5;;
Алтайский край;168,5;168,9;168,3;162,2;145,1;150,9;141,3;;
Красноярский край;207,2;215,0;213,0;228,4;195,6;187,8;194,9;;
Иркутская область;157,6;169,1;170,9;170,1;144,9;166,7;162,1;;
Кемеровская область;177,1;190,0;187,0;174,2;160,5;170,0;153,9;;
Новосибирская область;249,8;262,6;267,0;290,9;211,6;306,5;317,0;;
Омская область;138,8;140,2;142,9;147,0;141,9;128,6;112,8;;
Томская область;74,4;71,6;73,3;70,7;65,9;73,9;73,1;;
Дальневосточный федеральный округ;539,1;532,4;534,7;547,9;529,6;540,0;541,8;;
Республика Бурятия;46,1;41,5;41,3;40,0;33,8;34,1;32,7;;
Республика Саха (Якутия);47,7;43,0;43,0;43,5;42,6;43,4;41,0;;
Забайкальский край;51,8;39,3;39,9;38,5;33,9;33,5;34,0;;
Камчатский край;26,2;27,0;27,8;27,4;18,3;22,9;23,2;;
Приморский край;140,1;143,9;147,0;147,6;152,2;150,2;157,5;;
Хабаровский край;105,8;127,0;127,6;131,7;141,1;146,1;149,4;;
Амурская область;53,2;45,6;47,4;61,1;49,0;50,1;50,7;;
Магаданская область;11,5;11,1;10,2;9,3;10,5;10,4;10,4;;
Сахалинская область;46,2;43,8;40,9;39,6;39,8;40,4;34,5;;
Еврейская автономная область;9,3;9,3;8,5;8,0;7,3;6,8;6,5;;
Чукотский автономный округ;1,2;0,9;1,1;1,2;1,1;2,1;1,8;;
?????;;;;;;;;;
"1) По данным выборочных обследований малых предприятий и микропредприятий. 
";;;;;;;;;
2) С 2016 года перечни субъектов малого предпринимательства для организации федеральных статистических наблюдений формируются, согласно статьи 5 Федерального закона от 24 июля 2007 г. № 209-ФЗ, на основе сведений, внесенных в Единый реестр субъектов малого и среднего предпринимательства (ЕРМСП). Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29 декабря 2015 г.  № 408-ФЗ, от 23 июня  2016 г. № 222-ФЗ, от 03 июля 2016 г. № 265-ФЗ и постановления Правительства Российской Федерации от 4 апреля 2016 г.  №265. ;;;;;;;;;
3) Данные за 2017 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ. ;;;;;;;;;
