Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;
19.2. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ;;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Чеченская Республика ;-;-;-;-;280;271;276;351;333;361;412;639;592;646;593;561;480;480;404;
Ставропольский край;1928;1759;1810;1939;1847;1734;1888;1977;2076;2105;2093;4311;2977;2068;2383;2791;2537;2634;2678;
Приволжский   федеральный округ;150046;148862;149336;147680;146150;140592;134188;126903;120644;117000;116285;111579;114204;114013;107656;107679;104304;104885;104916;
Республика Башкортостан;10290;10241;12226;10090;9279;8415;8047;8281;8005;7543;7655;8052;8166;8238;8317;8262;8008;7743;7795;
Республика Марий Эл;1835;1837;1738;1960;1812;1011;520;475;201;206;170;190;164;171;257;203;281;187;243;
Республика Мордовия;1393;1314;1341;1285;1281;1100;1089;1068;1316;1204;901;926;902;946;885;990;927;831;982;
Республика Татарстан;16243;15785;15297;14683;14524;14352;14227;13289;12940;12783;13175;13258;13730;13079;11982;12708;12189;12323;12671;
Удмуртская Республика;2506;2498;2786;2055;2122;2102;1972;1594;1692;1438;1525;2000;1464;1636;1712;1603;1800;1959;1859;
Чувашская Республика;1809;1821;1640;1541;1486;1406;1069;745;1158;1008;942;943;1292;1289;1326;1296;1487;1555;1687;
Пермский край;12729;12828;13080;13087;12927;13229;11506;10510;9740;9877;9739;9899;10034;10319;10588;11005;10304;10328;9848;
Кировская область;2009;1949;1965;2011;2136;2038;1937;2044;1973;1815;1615;1707;1795;1683;1804;1729;1672;1776;1744;
Нижегородская область;48251;48269;47791;50206;50399;49797;46989;44400;42832;40909;40636;39902;40882;41513;39703;39961;41427;40404;40819;
Оренбургская область;1337;962;1009;992;974;919;949;1039;1065;1048;947;914;906;795;760;950;1404;1387;914;
Пензенская область;7858;7525;7285;7123;7032;7103;7119;7194;6611;6082;6220;6413;5927;5583;5684;5790;4690;4817;5792;
Самарская область;25857;25417;25068;23225;24035;24506;24856;23390;20462;20627;20189;15666;17306;16721;12894;12700;9615;10844;9958;
Саратовская область;9610;9845;9697;10829;10060;6677;6317;5811;5414;5099;4982;4828;4653;4947;4697;5245;5364;5684;5593;
Ульяновская область;8319;8571;8413;8593;8083;7937;7591;7063;7235;7361;7589;6881;6983;7093;7047;5237;5136;5047;5011;
Уральский       федеральный округ;50803;53116;53936;54259;52216;49670;49377;47562;43695;42276;42672;43586;43879;44382;45037;46496;46437;45268;44044;
Курганская область;1927;1677;1616;1583;1585;1267;945;924;828;717;644;706;687;651;614;671;683;629;616;
Свердловская область;27565;26747;26868;27573;26616;25076;24755;23859;21357;20390;20379;20906;20521;20857;21046;21900;22180;21212;20528;
Тюменская область;4935;4671;5271;5398;5259;5488;6147;7605;6883;6923;7160;6750;6914;7009;7891;8811;8789;8260;7738;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;1085;1200;1569;2067;2158;2269;2192;3266;2634;2641;1958;1876;1683;1665;2044;1978;1831;1568;1413;
Ямало-Ненецкий  автономный округ;209;73;135;106;95;98;111;100;85;4;16;46;88;93;104;109;112;116;134;
Тюменская область    без автономных округов;3641;3398;3567;3225;3006;3121;3844;4239;4164;4278;5186;4828;5143;5251;5743;6724;6846;6576;6191;
Челябинская область;16376;20021;20181;19705;18756;17839;17530;15174;14627;14246;14489;15224;15757;15865;15486;15114;14785;15167;15162;
Сибирский    федеральный округ;60588;61296;60963;61254;60437;59246;57036;54922;52490;52159;51750;51337;51245;52195;52391;53384;53612;52338;52450;
Республика Алтай   ;90;97;105;122;124;111;132;168;173;156;158;172;188;174;144;138;132;125;123;
Республика Тыва;285;323;343;334;330;327;332;416;414;425;416;415;387;393;408;384;388;385;375;
Республика Хакасия;128;125;120;108;107;282;205;198;193;166;149;148;294;246;232;220;237;247;97;
Алтайский край;3427;2941;2919;2980;2870;2732;2775;2731;2267;2054;1955;2182;2714;3122;3137;3154;2719;2486;2455;
Красноярский край;7196;7637;7486;7303;7087;7102;6846;6685;6287;6299;6475;6748;6353;7273;7417;7543;7632;7234;7901;
Иркутская область;5295;5408;5387;5184;4983;4829;4557;4910;4897;4919;4912;5075;5384;5047;4859;4671;4409;4292;4157;
Кемеровская область;2090;1916;1820;1594;1557;1476;1511;1496;1327;1336;1258;1231;1097;1232;1475;1491;1551;1361;1228;
Новосибирская область;25168;25494;25537;25888;25077;24791;23438;22561;21597;21622;21615;21569;21590;21444;21638;21621;21843;22256;21711;
Омская область;8872;9442;9478;9825;10127;9367;8983;7246;6961;6622;6125;5002;4436;4580;4167;4714;4779;4651;4500;
Томская область;8037;7913;7768;7916;8175;8229;8257;8511;8374;8560;8687;8795;8802;8684;8914;9448;9922;9301;9903;
Дальневосточный федеральный округ;16073;16331;16905;17071;16730;16087;15662;15648;14962;14227;14050;14864;14667;15085;14964;15445;14861;14249;14148;
Республика Бурятия;1209;1200;1249;1299;1278;1231;1003;985;954;969;952;1144;1126;1247;1222;1266;1191;1144;1099;
Республика Саха (Якутия);2662;2688;2727;2602;2645;2573;2450;2537;2359;2258;2249;2379;2378;2314;2315;2250;2279;2147;2122;
Забайкальский край;680;775;840;823;779;509;608;520;512;335;322;313;314;327;538;495;478;504;500;
