Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.3. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ, ПО КАТЕГОРИЯМ ;;;;;;;;;;;;;;;;;;;
19.3.4. Прочие;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Татарстан;3067;3144;3125;2931;2804;2797;2775;2531;2540;2405;2494;2512;2327;2291;1863;1889;1720;1504;1492
Удмуртская Республика;319;328;311;272;247;242;228;274;264;179;216;200;120;144;151;184;179;205;193
Чувашская Республика;268;259;211;191;191;194;160;92;159;144;100;109;114;110;114;87;64;70;63
Пермский край;1973;1976;1852;1881;1881;1985;1629;1546;1257;1160;1004;943;962;1341;1301;1437;1241;1294;1109
Кировская область;305;321;325;347;345;348;307;321;295;282;231;222;295;287;299;416;404;421;442
Нижегородская область;8761;9097;9235;10314;9233;9655;7937;7007;6788;6838;6614;6466;5570;6464;6078;6264;6650;6588;6564
Оренбургская область;175;145;154;116;99;108;100;133;146;169;133;127;116;97;113;114;140;206;135
Пензенская область;1749;1652;1621;1613;1522;1535;1548;1349;1145;1054;782;789;653;667;634;668;570;562;594
Самарская область;6721;6918;5744;5536;6445;7006;6228;5595;5131;5449;5731;3392;4970;4606;2637;2593;1282;1517;1270
Саратовская область;1315;1681;1834;2150;1844;1039;974;853;845;765;803;750;717;808;698;704;922;911;889
Ульяновская область;1920;1782;1604;1836;1856;1709;1598;1358;1379;1334;1386;667;623;639;703;654;708;806;604
Уральский        федеральный округ;8363;8448;8334;9515;9011;8639;8501;7623;7525;6652;7102;6641;6654;6737;6739;6936;6695;6333;6271
Курганская область;193;162;147;152;152;135;103;132;101;62;66;59;53;53;44;44;43;42;49
Свердловская область;3997;4080;3895;4432;4139;3865;4013;3455;3519;2732;2964;2858;2656;2643;2788;2767;2688;2442;2393
Тюменская область;926;768;810;880;778;760;781;945;833;908;1089;661;745;649;750;997;1156;1046;1069
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;158;162;205;286;277;261;254;254;246;283;169;94;125;62;97;87;86;70;68
Ямало-Ненецкий     автономный округ;40;12;49;7;8;10;12;2;1;-;4;12;27;24;31;31;27;28;34
Тюменская область     без автономных округов;728;594;556;587;493;489;515;689;586;625;916;555;593;563;622;879;1043;948;967
Челябинская область;3247;3438;3482;4051;3942;3879;3604;3091;3072;2950;2983;3063;3200;3392;3157;3128;2808;2803;2760
Сибирский       федеральный округ;8951;9165;9285;9298;9074;8921;8639;8100;8189;8022;7854;7709;8027;8045;8043;8450;8670;8358;8705
Республика Алтай   ;3;22;28;21;20;15;13;24;22;23;22;26;20;25;15;45;34;36;34
Республика Тыва;80;102;95;91;95;92;91;198;193;195;192;195;163;168;175;171;168;188;167
Республика Хакасия;14;35;35;19;19;15;22;24;13;12;16;16;24;29;7;18;12;15;8
Алтайский край;332;351;385;606;602;549;528;471;436;322;291;286;351;404;418;450;412;389;362
Красноярский край;1286;1329;1296;1158;1098;1102;1176;854;818;835;785;775;837;915;863;918;996;1096;1181
Иркутская область;683;643;706;678;676;663;615;773;784;749;812;783;786;756;820;839;735;637;666
Кемеровская область;414;451;382;330;258;250;235;233;219;231;211;219;190;167;186;159;173;105;115
Новосибирская область;3659;3766;3775;3957;3802;3852;3535;3503;3494;3556;3575;3495;3583;3591;3542;3783;4144;4100;3862
Омская область;1177;1331;1341;1362;1430;1317;1259;837;771;746;724;666;579;658;637;707;706;669;710
Томская область;1303;1135;1242;1076;1074;1066;1165;1183;1439;1353;1226;1248;1494;1332;1380;1360;1290;1123;1600
Дальневосточный      федеральный округ;3288;3369;3628;3609;3600;3473;3297;3369;3151;3086;2788;2994;2718;2831;2731;2795;2937;2982;2852
Республика Бурятия;182;193;212;219;187;183;183;172;154;146;147;272;188;319;330;332;335;324;300
Республика Саха (Якутия);507;484;479;449;467;463;417;441;437;386;394;382;449;376;275;332;316;280;278
Забайкальский край;104;152;199;200;181;76;73;81;90;80;72;75;69;75;63;43;46;89;105
Камчатский край;248;267;264;292;343;337;303;305;295;303;292;294;319;277;247;135;115;103;109
Приморский край;1424;1404;1542;1507;1481;1486;1438;1396;1263;1309;1156;1224;954;1079;1029;1238;1432;1557;1445
Хабаровский край;307;302;358;337;294;285;276;366;317;291;272;272;258;264;313;264;253;237;230
Амурская область;189;225;220;213;223;216;205;201;188;191;153;140;141;130;134;133;115;102;102
Магаданская область;141;144;148;147;154;153;153;163;153;139;135;140;150;152;180;115;151;110;108
Сахалинская область;163;175;181;212;240;242;221;220;231;217;150;156;154;142;134;178;154;167;164
Еврейская автономная      область;9;10;11;18;17;17;16;12;14;14;14;36;33;…1);…1);…1);…1);…1);…1)
Чукотский автономный округ;14;13;14;15;13;15;12;12;9;10;3;3;3;…1);…1);…1);…1);…1);…1)
___________;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций в соответствии с Федеральным законом от 29.11.07 № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в  Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;;;;;;;;;;;
