;Социально-экономические показатели по субъектам Российской Федерации
;"14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
"
; СЕЛЬСКОЕ ХОЗЯЙСТВО
;Основные показатели сельского хозяйства
14.1.;Продукция сельского хозяйства 
14.2.;Индексы производства продукции сельского хозяйства 
14.2.1.;Всего
14.2.2.;Продукция растениеводства
14.2.3.;Продукция животноводства
14.3.;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве 
14.3.1.;Сальдированный финансовый результат (прибыль минус убыток) организаций. Растениеводство
14.3.2.;Сальдированный финансовый результат (прибыль минус убыток) организаций.  Животноводство
14.3.3.;Рентабельность проданных товаров, продукции (работ, услуг) организаций. Растениеводство
14.3.4.;Рентабельность проданных товаров, продукции (работ, услуг) организаций. Животноводство
;Растениеводство
14.4.;Посевные площади сельскохозяйственных культур
14.5.;Посевные площади зерновых и зернобобовых культур
14.6.;Посевные площади сахарной свеклы
14.7.;Посевные площади подсолнечника
14.8.;Посевные площади льна-долгунца
14.9.;Посевные площади картофеля
14.10.;Посевные площади овощей
14.11.;Валовой сбор зерна (в весе после доработки)
14.12.;Урожайность зерновых и зернобобовых культур (в весе после доработки)
14.13.;Валовой сбор сахарной свеклы
14.14.;Урожайность сахарной свеклы
14.15.;Валовой сбор семян подсолнечника (в весе после доработки)
14.16.;Урожайность подсолнечника
14.17.;Валовой сбор льноволокна
14.18.;Урожайность льна-долгунца
14.19.;Валовой сбор картофеля
14.20.;Урожайность картофеля
14.21.;Валовой сбор овощей
14.22.;Урожайность овощей
14.23.;Валовой сбор плодов и ягод
14.24.;Внесение удобрений на один гектар посева сельскохозяйственных культур в сельскохозяйственных организациях
14.24.1.;Минеральные удобрения (в пересчете на 100% питательных веществ)
14.24.2.; Органические удобрения
;Животноводство
14.25.;Поголовье крупного рогатого скота
14.26.;Поголовье свиней
14.27.;Поголовье овец и коз
14.28.;Производство скота и птицы на убой (в убойном весе)
14.29.;Производство молока
14.30.;Надой молока на одну корову в сельскохозяйственных организациях
14.31.;Производство яиц
14.32.;Средняя годовая яйценоскость кур- несушек в сельскохозяйственных организациях
14.33.;Производство шерсти
14.34.;Средний годовой настриг шерсти с одной овцы в сельскохозяйственных организациях
14.35.;Производство меда
14.36.;Расход кормов в расчете на одну условную голову крупного скота в сельскохозяйственных организациях
;ЛЕСНОЕ ХОЗЯЙСТВО
14.37.;Лесные ресурсы
14.37.1.; Площадь земель лесного фонда и земель иных категорий, на которых расположены леса
14.37.2.;Покрытая лесом площадь
14.37.3.;Лесистость территорий
14.37.4.;Общий запас древесины
14.38.;Лесовосстановление 
14.39.;Лесные пожары на землях лесного фонда и землях иных категорий  
14.39.1;Число лесных пожаров
14.39.2.;Площадь лесных земель, пройденная пожарами
14.40.;Основные показатели по виду деятельности «Лесозаготовки» 
14.40.1.;Число предприятий и организаций
14.40.2.;Среднегодовая численность работников  организаций
14.40.3.;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций
14.40.4.;"Удельный вес убыточных  организаций в общем числе организаций по виду экономической деятельности ""Лесозаготовки"""
14.41.;Производство лесоматериалов  необработанных 
;РЫБОЛОВСТВО И РЫБОВОДСТВО
14.42.;"Основные показатели по виду экономической деятельности ""Рыболовство"""
14.42.1.;Число предприятий и организаций 
14.42.2.;Среднегодовая численность работников организаций
14.42.3.;Сальдированный финансовый результат ( прибыль минус убыток) деятельности организаций
14.42.4.;"Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности ""Рыболовство"""
14.43.;"Основные показатели по виду экономической деятельности ""Рыбоводство"""
14.43.1.;Число предприятий и организаций
14.43.2.;Среднегодовая численность работников организаций
14.43.3.;Сальдированный финансовый результат ( прибыль минус убыток) деятельности организаций
14.43.4.;"Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности ""Рыбоводство"""
14.44.;Улов рыбы и добыча других водных биоресурсов
