Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.9. ПОСТУПЛЕНИЕ ПАТЕНТНЫХ ЗАЯВОК И ВЫДАЧА ПАТЕНТОВ В РОССИИ;;;;;;;;;;;;;;;;;;;
19.9.1. Подано патентных заявок на изобретения1);;;;;;;;;;;;;;;;;;;
(единиц);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Кировская область;118;130;100;113;107;94;104;97;75;95;79;114;111;91;108;100;92;121;86
Нижегородская область;539;500;527;583;474;476;438;405;417;386;348;399;551;420;394;370;454;360;347
Оренбургская область;156;110;134;114;109;105;110;108;113;117;125;118;227;355;106;93;122;136;175
Пензенская область;152;178;124;142;157;160;154;146;165;162;180;214;179;197;167;146;161;96;142
Самарская область;651;686;577;602;587;620;650;628;639;501;495;601;621;528;464;551;441;448;416
Саратовская область;271;289;285;254;298;361;345;337;297;313;310;336;244;230;215;229;191;177;214
Ульяновская область;339;385;328;346;339;367;270;255;254;260;340;318;301;254;195;251;202;175;112
Уральский         федеральный округ;1544;1587;1390;1338;1400;1434;1425;1476;1537;1145;1157;1271;1256;1262;1112;1148;1136;1028;1003
Курганская область;73;88;73;92;72;70;75;95;64;64;82;97;70;66;46;56;53;53;52
Свердловская область;708;711;625;587;638;639;588;689;692;534;500;613;568;556;539;526;551;472;493
Тюменская область;290;304;264;234;231;221;222;206;230;180;208;204;191;216;227;257;240;245;191
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;13;35;49;32;51;36;39;22;34;39;51;53;40;53;49;38;41;42;36
Ямало-Ненецкий автономный округ;23;33;13;21;16;16;14;13;18;14;27;24;17;14;26;32;35;31;38
Тюменская область без автономных округов;254;236;202;181;164;169;169;171;178;127;130;127;134;149;152;187;164;172;117
Челябинская область;473;484;428;425;459;504;540;486;551;367;367;357;427;424;300;309;292;258;267
Сибирский           федеральный округ;2182;2379;2145;2318;2209;2306;2454;2514;2554;2311;2315;2309;2383;2287;2078;2112;2006;1747;1916
Республика Алтай;-;-;1;-;2;1;2;2;2;4;-;1;1;1;7;-;9;6;1
Республика Тыва;4;2;2;2;3;1;3;3;4;3;1;2;5;7;1;2;-;-;2
Республика Хакасия;3;7;5;11;6;6;8;8;6;8;3;8;13;11;7;4;11;13;13
Алтайский край;216;273;193;175;188;251;217;270;226;218;215;222;192;219;171;194;165;140;141
Красноярский край;337;560;350;380;372;369;424;399;524;439;380;479;441;384;349;323;316;286;456
Иркутская область;312;328;280;276;212;249;260;271;253;233;258;217;285;244;206;224;188;199;155
Кемеровская область;301;55;215;252;261;272;275;297;288;273;294;243;250;263;241;218;199;166;172
Новосибирская область;527;612;535;632;534;555;625;625;633;523;539;462;540;562;530;521;527;468;459
Омская область;187;236;225;222;254;247;234;229;262;225;255;242;237;220;209;225;240;167;216
Томская область;295;306;339;368;377;355;406;410;356;385;370;433;419;376;357;401;351;302;301
