Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;;;
12.11. ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ ПО ЗАРАБОТНОЙ ПЛАТЕ В РАСЧЕТЕ НА ОДНОГО РАБОТНИКА, ПЕРЕД КОТОРЫМ ИМЕЕТСЯ ПРОСРОЧЕННАЯ ЗАДОЛЖЕННОСТЬ 1);;;;;;;;;;;;;;;;;;;;;;
"(на конец года; рублей)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Российская Федерация;3485;4114;5065;5819;6370;7012;10192;13629;14470;21676;21716;25681;29384;35912;41012;54205;55506;62277;65864;;;
Центральный     федеральный округ;2636;3345;4492;5181;6096;6941;7900;9656;12678;15485;18696;35446;35254;50255;39221;57951;78641;68110;74926;;;
Белгородская область;2312;2865;3142;3861;3718;3590;2664;3473;18992;24422;36681;32878;11955;20386;21383;57282;425720;160500;26145;;;
Брянская область;2459;2686;3596;4303;4561;4064;6370;29338;16889;15413;25444;10668;16529;31030;34413;161832;64672;76667;51144;;;
Владимирская область;2187;2920;3584;5930;6899;4046;5240;5633;8471;14150;24626;16304;10767;7160;18654;-;-;-;-;;;
Воронежская область;2980;3379;4410;4701;5390;4680;3665;9364;9730;9817;23972;30500;13381;27114;-;30091;84200;142229;133633;;;
Ивановская область;1782;2456;2773;4464;4183;5375;7901;11768;8257;22505;25612;-;12391;-;15597;47905;18222;32180;16714;;;
Калужская область;2091;3195;3721;4259;4254;4745;7376;11564;11500;9910;34769;54739;77780;90149;66274;46564;124500;104401;105105;;;
Костромская область;2189;2709;4011;4593;6183;5974;6540;7141;7792;10759;17763;15468;14734;23228;55927;41521;-;38911;46616;;;
Курская область;2474;3225;4682;4852;4505;6364;5269;9275;15272;7099;10575;68365;17575;14956;16134;-;-;-;59858;;;
Липецкая область;3253;4006;4865;5969;4087;5403;5990;22085;8512;15287;39893;-;-;38829;16813;15205;91857;63875;31333;;;
Московская область;3477;4597;7204;7968;14049;14411;13979;11706;19177;29201;32717;42197;46428;77636;71170;13046;29799;105018;43505;;;
Орловская область;1657;2222;3780;3088;3964;4180;6279;5030;17336;11224;7547;3810;21980;27008;9221;46423;145511;137510;66179;;;
Рязанская область;2348;2947;3932;5067;4494;5606;4764;9201;10586;13115;15574;20264;22021;21602;94761;93102;75143;123964;169844;;;
Смоленская область;1879;2637;3076;5053;5244;4944;7674;5666;8689;15187;42309;49265;13791;20928;50965;57687;43529;24160;34331;;;
Тамбовская область;2264;3655;4688;5222;5151;5851;-;-;15529;23556;-;-;-;56659;-;64343;101500;38676;44324;;;
Тверская область;2012;2743;3582;4228;5008;5979;6880;9537;12821;27772;15072;23401;-;54146;68599;59012;97936;51380;45107;;;
Тульская область;3395;4163;5318;6405;6902;8567;14337;2419;7015;7599;18998;17450;26018;40261;51725;24461;150666;26158;-;;;
Ярославская область;1596;2598;2684;3944;4666;12543;9417;12908;11649;18623;28680;31688;28043;14373;30275;22597;32295;26854;47361;;;
г. Москва;5188;6011;10590;7775;21623;41640;13888;10111;42101;77070;12865;53636;47563;84183;57746;141240;35445;46633;175931;;;
Северо-Западный     федеральный округ;4372;5428;7347;7862;7546;7175;8218;10228;14458;57345;28603;25566;32411;38023;55022;76458;59722;64413;63718;;;
Республика Карелия;3092;3977;4609;6093;7744;8177;8835;5816;7796;20216;35375;30234;24875;52371;51855;30133;21793;39398;46103;;;
Республика Коми;9814;10572;14387;12093;14954;7277;11356;8271;6456;4671;41049;29798;87177;34634;38566;41766;43059;34508;59020;;;
Архангельская область;3591;5020;6505;8673;6185;7279;7555;7576;93077;28134;40664;34088;24725;35292;46172;24580;58196;38001;63241;;;
в том числе: ;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2761;3202;8794;12161;13966;20633;15064;7564;93077;115679;121500;-;-;-;-;9905;98133;104391;73804;;;
Архангельская область без автономного округа;;;;;;;;;;;;;;35292;46172;24781;51978;28760;51776;;;
Вологодская область;1726;2421;3464;3659;3435;4686;7414;8330;9906;16112;27650;9584;12704;25803;36093;37079;32368;112474;64992;;;
Калининградская область;1573;1500;1970;3593;3881;4563;9956;9080;26276;179821;37700;29940;21980;12966;24829;21250;46086;42419;28692;;;
Ленинградская область;2634;3728;5154;6575;5769;5670;6077;25526;10852;30598;-;20801;11694;54905;83697;47326;165969;112586;107332;;;
Мурманская область;4413;5320;6176;7326;8866;10918;5931;12287;31295;66011;47069;59163;84211;88148;113886;110257;93519;56669;39562;;;
Новгородская область;1862;2554;2827;4822;4157;3747;2577;3878;9621;20370;10733;10901;-;-;-;75956;97450;36721;13747;;;
Псковская область;1616;2627;3104;4144;4250;5012;5630;15026;10455;16990;14083;14727;19241;22385;22642;27180;41009;90932;43902;;;
г. Санкт-Петербург;4449;5334;7010;8595;13279;15469;21739;29767;13312;39091;17242;19221;19540;65663;35781;113840;70662;97747;106212;;;
Южный             федеральный округ;…;…;…;…;…;…;…;…;…;…;35557;27401;40770;30105;45809;36271;41121;57867;91013;;;
Республика Адыгея;2631;3845;5216;6218;7867;9298;12011;10203;17369;-;9596;-;-;-;37873;-;-;-;-;;;
Республика Калмыкия;1907;2456;2464;3037;3182;4333;5738;8524;6788;-;5105;24675;19973;33701;17990;9372;97385;42517;-;;;
Республика Крым;;;;;;;;;;;;;;;…;24842;59037;50987;57700;;;
Краснодарский край;2595;3457;4511;5867;5924;5919;12270;9724;12409;25372;10701;6019;33433;11467;56815;34145;5097;66012;106610;;;
Астраханская область;2405;3906;3462;4593;6479;5724;6898;4075;5922;41500;-;24870;27829;36177;39169;39131;32611;62990;91938;;;
Волгоградская область;2765;3605;4663;4742;5978;5544;4605;3875;4533;25257;51638;32830;32830;29460;19502;23942;18673;35990;98451;;;
Ростовская область;3517;5660;5137;8939;9587;8063;17505;31682;11998;26841;-;-;61315;37306;104325;77990;53000;46173;54036;;;
г. Севастополь;;;;;;;;;;;;;;;…;33679;53725;224417;-;;;
Северо-Кавказский    федеральный округ;…;…;…;…;…;…;…;…;…;…;15865;77241;51498;51936;30643;40156;70361;81527;86047;;;
Республика Дагестан;1803;1429;1840;3218;2206;3912;5097;5697;2915;-;21947;35604;-;63479;19686;25461;71746;73996;201480;;;
Республика Ингушетия;4253;5394;4438;6854;7553;-;20115;-;23013;-;-;-;-;14799;-;-;-;23942;75357;;;
Кабардино-Балкарская Республика;2947;3250;4749;6608;7654;8544;9088;6972;8223;-;-;-;61812;39105;60558;70470;30037;-;45565;;;
Карачаево-Черкесская Республика;2946;3490;3810;4875;4869;5524;7868;7457;13041;4692;7941;4429;-;-;-;-;-;-;105674;;;
Республика Северная  Осетия – Алания;4153;4196;5633;6071;6542;8945;8646;5563;6798;69071;21630;21692;45670;304667;56223;56453;58966;152451;143091;;;
Чеченская Республика;...;...;...;...;...;…;16875;18937;19769;11842;-;-;-;-;-;-;116149;-;-;;;
Ставропольский край;2084;2819;3156;3726;4311;5278;7867;11561;9903;18227;-;94210;-;124453;32467;-;90633;37026;11326;;;
Приволжский     федеральный округ;2386;2878;3752;4243;4932;4973;6749;11137;9008;17967;20824;22832;25564;26752;37154;34606;31361;32739;45401;;;
Республика Башкортостан;2648;3000;4040;3895;6145;4252;12644;42185;6898;19536;18347;19671;27630;7778;28958;21507;18203;40180;54553;;;
Республика Марий Эл;2134;2533;2933;3552;2765;1969;4390;6440;14150;12927;16579;27328;7338;7280;31523;18393;12753;14740;22078;;;
Республика Мордовия;1775;2399;3598;4683;3975;5207;5915;8586;12142;16006;13552;46548;32293;56429;11778;-;23527;-;11645;;;
Республика Татарстан;3007;3453;3891;3713;3951;4209;4101;15556;9248;15774;15770;15654;17822;25267;50023;14613;14150;60770;66324;;;
Удмуртская Республика;2464;3616;3506;3819;3876;4448;4909;6853;6446;11695;9028;19909;23805;5552;18179;32429;51086;35411;14316;;;
Чувашская Республика;1536;1849;1998;2200;2783;3527;2864;11849;15532;21913;21536;21095;23545;13431;32824;55240;54235;80206;56603;;;
Пермский край;2639;2564;5105;5641;7758;6658;8208;7967;9976;15417;24317;25192;22441;29473;34246;36753;15238;11480;12562;;;
Кировская область;2026;1658;2702;2775;3578;4566;7359;10201;7055;25357;21971;30281;31288;31656;23464;25454;40597;53638;96638;;;
Нижегородская область;2067;2564;3081;4103;4652;5187;4967;7972;8807;22495;36863;24982;45177;27151;55293;54262;40178;31976;41533;;;
Оренбургская область;2949;4063;4972;5050;5460;4458;4286;6498;8609;15049;27082;30689;15974;27917;21952;21310;21201;32376;11732;;;
Пензенская область;2769;2991;3560;4736;4990;4594;4769;8607;11644;68743;19681;80885;13135;53080;88341;93760;30210;41617;40833;;;
Самарская область;2200;2480;3845;5142;5013;7063;7907;9220;9591;11390;25576;21696;95269;96667;81839;92129;37589;36441;66437;;;
Саратовская область;2048;3089;4015;5057;5593;12922;38527;53487;9528;11138;15140;19533;22705;25877;32703;21594;20739;23864;27397;;;
Ульяновская область;2182;3040;4060;4430;6185;5146;6530;6786;10778;8554;21989;17346;19814;12412;48820;42137;13147;73116;137314;;;
