Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.16.  ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
20.16.3. По ипотечным жилищным кредитам2) ;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Свердловская область;54;277;678;1403;1996;1679;1362;1238;889;828;1040;990;526;346;242
Тюменская область;255;190;523;862;1223;979;804;710;524;454;606;615;313;186;133
в том числе:;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;222;32;92;177;315;88;213;245;183;190;242;238;171;84;27
Ямало-Ненецкий автономный округ;1;1;35;210;277;115;124;136;85;62;95;119;55;38;84
Тюменская область без   автономных округов;32;157;396;476;631;776;467;329;256;202;269;259;87;64;22
Челябинская область;10;145;348;962;1445;1224;1066;918;772;677;818;794;421;321;220
Сибирский    федеральный округ;430;971;2687;5566;7940;6820;6265;5441;3450;2922;3552;3356;1584;976;684
Республика Алтай;-;6;7;39;51;19;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Республика Тыва;-;1;2;6;6;8;3;3;2;2;1;2;0,0;0,0;0,0
Республика Хакасия;9;14;46;62;82;45;52;43;35;29;47;37;18;9;5
Алтайский край;7;34;162;451;639;477;421;388;277;252;358;375;165;124;19
Красноярский край;64;135;348;834;1261;1165;1111;981;539;427;490;501;230;125;83
Иркутская область;132;209;353;659;873;757;674;609;403;324;330;268;144;86;83
Кемеровская область;4;87;544;1001;1408;1212;1069;885;556;377;460;417;223;153;162
Новосибирская область;30;183;643;1387;2154;1868;1690;1435;1000;961;1192;1101;477;260;203
Омская область;51;159;413;717;946;826;851;746;398;332;382;368;180;142;57
Томская область;133;143;169;410;520;443;390;351;240;218;292;287;147;77;73
Дальневосточный     федеральный округ;137;405;1003;2466;3878;3350;3083;2606;1665;1486;1897;1647;912;657;500
Республика Бурятия;2;12;79;150;222;186;152;139;105;92;119;57;23;7;5
Республика Саха (Якутия);6;23;80;101;227;200;175;150;93;76;94;89;35;19;14
Забайкальский край;-;24;45;57;125;110;88;69;42;40;48;46;18;15;14
Камчатский край;-;7;16;33;83;85;84;95;62;72;60;35;27;20;16
Приморский край;42;102;365;1008;1442;1180;1139;1048;741;713;984;884;487;386;319
Хабаровский край;54;139;240;815;1184;1070;970;745;409;304;395;340;205;124;57
Амурская область;3;16;30;50;177;164;163;127;85;73;87;106;74;62;53
Магаданская область;5;18;38;67;119;84;59;31;21;11;13;16;6;6;7
Сахалинская область;25;59;94;135;249;208;192;164;93;92;78;52;27;15;16
Еврейская автономная область;-;1;9;29;14;43;37;18;11;10;15;17;6;0,0;0,0
Чукотский автономный округ;-;4;7;21;36;20;24;20;3;3;4;5;4;3;0,0
??????;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;
2)  По данным Банка России.;;;;;;;;;;;;;;;
