Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;
4.22. ЧИСЛО ФИЛИАЛОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ;;;;;;;;;;;;;;;
 (на начало учебного года);;;;;;;;;;;;;;;
;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Сибирский      федеральный округ;263;178;180;176;176;165;162;158;152;140;128;110;82;63;58
Республика Алтай;1;1;1;1;1;1;1;2;2;-;-;- ;-;-;-
Республика Тыва;4;4;5;2;4;1;4;3;2;2;2;2;1;1;1
Республика Хакасия;10;6;6;6;5;6;5;4;4;4;4;2;2;2;2
Алтайский край;34;23;23;24;24;22;22;22;22;19;18;16;13;10;10
Красноярский край;65;43;42;40;38;37;36;37;35;31;29;25;19;12;11
Иркутская область;36;18;20;20;21;23;22;21;21;22;18;15;11;10;10
Кемеровская область;59;39;38;38;38;33;32;29;30;29;26;24;15;12;9
Новосибирская область ;24;18;18;17;17;17;16;17;14;14;13;10;7;5;5
Омская область;11;13;14;15;15;14;14;14;13;12;11;9;9;7;6
Томская область;19;13;13;13;13;11;10;9;9;7;7;7;5;4;4
Дальневосточный        федеральный округ;161;119;123;137;122;112;116;106;103;98;80;70;57;45;42
Республика Бурятия;1;8;11;12;12;12;12;13;13;12;8;9;8;5;4
Республика Саха (Якутия);36;25;23;25;23;22;23;21;19;19;18;15;10;9;9
Забайкальский край;18;11;12;15;11;7;9;9;9;6;5;5;5;5;4
Камчатский край;13;8;30;8;8;6;7;6;6;6;5;4;4;3;3
Приморский край;54;30;11;38;31;30;31;24;24;22;18;15;13;11;11
Хабаровский край ;17;11;12;11;11;11;11;11;11;11;11;8;7;5;5
Амурская область;8;11;8;11;8;6;6;6;6;7;4;4;2;2;2
Магаданская область;8;7;6;6;6;6;6;5;5;5;4;3;3;2;2
Сахалинская область;6;5;6;7;8;8;7;6;6;5;3;3;2;2;1
Еврейская автономная    область;-;3;4;4;4;4;4;4;4;3;2;2;1;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;1;-;2;2;2;2;1;1
