Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;
 20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;;;
20.14.2. По жилищным кредитам2);;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;
Российская Федерация;36534;77396;239362;579391;1017912;966786;1102324;1448522;1992388;2647421;3517094;3912845;4464519;5176062;6399125;;
Центральный  федеральный округ;6369;12879;41481;104798;216380;207260;251063;362701;530220;716816;967742;1092913;1270417;1495891;1897063;;
Белгородская область;394;907;1995;4275;7658;6880;7707;9899;13640;17902;22745;25359;28485;33711;42372;;
Брянская область;188;367;1126;2555;4811;4615;5208;7257;10480;14334;19516;22436;25447;29442;36683;;
Владимирская область;144;299;1699;4698;8374;7378;8017;10527;13691;18699;24779;27056;30850;36041;45006;;
Воронежская область;311;768;2705;6587;11672;10827;12039;15651;22056;30987;42686;49463;57317;65971;82104;;
Ивановская область;38;99;485;1782;3466;3143;3440;4954;7346;10867;16054;18417;20562;23486;28516;;
Калужская область;260;459;1024;2600;5539;5288;6156;8919;13564;20473;27464;30787;35570;42765;53553;;
Костромская область;47;122;478;1312;2288;2164;2707;3726;5715;7946;11403;12436;14102;16325;19987;;
Курская область;405;902;1629;3487;5779;5429;6311;8181;11464;15562;20931;22848;25806;29219;35906;;
Липецкая область;211;478;990;2835;5181;5105;5682;7110;10176;13759;18339;20615;23719;28009;34496;;
Московская область;1163;2385;8214;21488;48734;47311;60890;89945;135010;184875;272658;290147;343096;406412;520159;;
Орловская область;71;174;523;1701;2833;2730;3106;4127;6148;9109;12684;14913;17117;20736;26236;;
Рязанская область;226;419;1434;3929;6560;6168;7259;9480;12982;17588;24336;27551;31904;37594;46680;;
Смоленская область;348;639;1588;3663;6780;6768;7634;9397;13127;17342;22352;24353;26984;30400;35977;;
Тамбовская область;147;271;548;1329;2774;2566;3394;4854;7364;11009;15879;18089;20773;24295;31108;;
Тверская область;295;593;1743;4268;7706;7191;8873;12149;17033;22253;28920;32116;36465;42142;52761;;
Тульская область;315;578;1519;3904;8041;7433;8526;11771;17159;22145;29541;33225;37939;44271;55412;;
Ярославская область;494;706;1838;4339;7169;6804;7556;9802;13684;18529;24653;27543;30270;34409;41427;;
г. Москва;1312;2713;11943;30046;71016;69460;86558;134952;199581;263437;332802;395562;464009;550664;708682;;
Северо-Западный      федеральный округ;3045;5777;21969;60071;113027;107766;118121;154579;214822;286775;392951;450871;526252;625336;784604;;
Республика Карелия;228;555;1443;2972;5601;5532;6208;7522;10584;13529;17927;20083;22058;23921;28297;;
Республика Коми;1004;1055;3886;6025;9826;10021;11332;14635;19161;25901;35038;38722;42317;46186;53195;;
Архангельская область;364;718;2094;4993;9664;9864;11815;15678;21350;27451;35616;41154;46100;52097;61358;;
в том числе: ;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;77;144;339;843;1485;1651;1855;2052;2369;2562;2716;2822;2949;3036;3565;;
Архангельская область    без автономного округа;287;574;1756;4150;8179;8213;9960;13626;18981;24889;32900;38331;43151;49061;57793;;
Вологодская область;238;627;1994;5023;8970;8823;9816;13039;18643;24995;31837;35527;39561;42779;47706;;
Калининградская область;97;250;1287;2871;4996;4709;4563;5635;8124;12254;17690;20745;24840;30676;39835;;
Ленинградская область;213;417;1513;4838;10012;9290;10552;15041;22655;30400;42626;51259;62044;78049;101616;;
Мурманская область;110;254;877;2628;4775;4599;4909;6328;9155;12867;18653;23006;26518;29666;35427;;
Новгородская область;175;328;850;2018;3415;3278;3544;4842;7152;9282;12067;13503;15494;17481;21340;;
Псковская область;72;132;490;1344;2160;2011;2102;2767;4608;6929;10144;11994;13840;16060;19601;;
г. Санкт-Петербург;544;1441;7536;27359;53608;49640;53280;69092;93390;123167;171353;194878;233479;288420;376230;;
Южный                федеральный округ;1443;4346;13966;39700;71698;67019;72738;93001;126974;175279;243086;265033;305833;365459;465200;;
Республика Адыгея;30;87;261;700;1418;1324;1493;1918;2412;3202;4504;6943;7577;8595;10634;;
Республика Калмыкия;44;148;251;513;859;809;1055;1690;2643;4110;5937;6947;7765;9376;12009;;
Республика Крым;;;;;;;;;;;52;421;1611;3752;8607;;
Краснодарский край;494;1511;4852;14160;26639;25148;27137;35338;49584;69083;96674;98330;115463;140311;180119;;
Астраханская область;112;247;863;2392;4260;4154;4719;5946;8497;12999;18346;21285;24080;27579;32979;;
Волгоградская область;275;927;2917;8866;14623;13411;14638;17702;23519;31173;41722;47145;53006;62211;76521;;
Ростовская область;487;1426;4822;13069;23899;22173;23696;30407;40319;54712;75842;83836;95764;112211;141112;;
г. Севастополь;;;;;;;;;;;9;126;566;1424;3219;;
Северо-Кавказский      федеральный округ;859;1853;5966;10453;19726;19388;22205;27590;40105;54108;73528;87597;100852;117162;146355;;
Республика Дагестан;3;19;96;245;713;902;1407;2141;3715;5906;8833;11312;13638;16767;22535;;
Республика Ингушетия ;12;31;53;74;128;124;192;292;258;279;309;407;662;830;1127;;
Кабардино-Балкарская     Республика;26;124;657;1522;2599;2562;2700;3353;5463;7027;8533;9646;10737;12386;15124;;
Карачаево-Черкесская      Республика;20;38;226;67;818;814;928;1230;1845;2993;4289;5439;6268;7220;8848;;
Республика Северная    Осетия – Алания;135;301;1039;1759;1910;1697;1885;2263;3506;5354;7900;9759;11819;13657;16452;;
Чеченская Республика;1;5;30;39;61;62;94;140;207;341;895;1425;2130;2868;4101;;
Ставропольский край;661;1335;3865;6747;13498;13227;14999;18171;25111;32208;42769;49610;55598;63433;78168;;
Приволжский     федеральный округ;9445;20381;55376;125183;212879;197990;217649;276596;373244;501865;675356;749486;856363;1002435;1230292;;
Республика Башкортостан;1449;2899;6455;14395;28684;25756;27990;34949;46793;65364;88391;101165;118331;141855;182434;;
Республика Марий Эл;121;305;1047;2522;4488;3933;4123;5274;7332;10058;14040;15900;19025;22254;27126;;
Республика Мордовия;83;253;833;1881;4354;4379;4777;5998;8075;10722;14501;15979;19872;24307;30635;;
Республика Татарстан;797;2125;6684;16273;23946;21559;25091;33665;47657;63675;87304;94150;113561;140945;180604;;
Удмуртская Республика;475;1096;3623;7759;12767;12392;13904;17546;23394;31256;41366;45574;51614;58582;70577;;
Чувашская Республика;501;1890;4093;6267;11962;11068;11299;12810;17243;24298;33761;37661;43310;51563;63268;;
Пермский край;1020;2793;7471;17576;28010;27274;29085;35534;45787;57813;74100;79386;86475;97270;112572;;
Кировская область;401;720;1836;3906;6303;6175;7177;9764;13942;20227;27013;31345;36778;43832;53410;;
Нижегородская область;1821;3472;7717;15803;27379;25420;26714;32635;41968;55487;73310;79788;90070;102783;122465;;
Оренбургская область;964;1617;3498;7587;11984;11567;13523;18250;25119;33808;46205;53392;60531;70062;86452;;
Пензенская область;278;460;1062;2852;5706;5400;6293;8160;11344;16314;23444;26685;30249;35342;43814;;
Самарская область;1220;1793;7338;17515;29361;26553;27820;34869;46095;58019;77046;85076;92964;105343;124818;;
Саратовская область;133;538;2305;6943;11437;10390;12149;16191;22434;31792;43309;48663;54806;64011;80293;;
Ульяновская область;183;420;1414;3904;6498;6125;7704;10951;16061;23032;31566;34721;38776;44287;51824;;
Уральский         федеральный округ;5810;12141;43208;98000;158846;151290;176200;228844;301099;387964;486953;519388;573752;641209;754225;;
Курганская область;382;94;1379;3183;5496;5515;6225;7883;10813;14219;18467;20299;22318;25093;30033;;
Свердловская область;1351;2665;9587;23214;38684;35643;40122;53574;73853;96913;131277;134917;150500;171729;209044;;
Тюменская область;3362;7165;25746;49444;80130;77999;94890;125463;163100;206346;249677;269206;296314;328514;378893;;
в том числе:;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;1541;2865;15294;26625;44041;43350;53567;71498;92397;114789;134556;132452;168777;184192;206813;;
Ямало-Ненецкий автономный округ;712;1326;2658;6417;11797;11155;15197;21363;29085;38192;47399;49422;56144;63950;74884;;
Тюменская область без     автономных округов;1109;2974;7794;16402;24291;23494;26126;32602;41618;53365;67722;87331;71393;80372;97196;;
Челябинская область;715;2217;6496;22159;34536;32133;34963;41924;53333;70486;87532;94967;104619;115873;136255;;
Сибирский     федеральный округ;8538;17352;47851;113760;174647;166311;183417;218576;281043;358348;453372;493397;545566;605568;731092;;
Республика Алтай;13;19;65;294;557;570;640;719;866;1252;1737;2568;2834;3104;3765;;
Республика Тыва;16;30;133;840;1747;1800;1904;2567;3500;4606;5839;6639;7345;8608;11184;;
Республика Хакасия;399;812;1583;3165;4618;4445;5144;6193;7157;9041;10485;12168;13357;15095;18628;;
Алтайский край;819;1523;4217;9732;14868;14735;16168;18910;24901;31341;39862;47853;54078;61818;76259;;
Красноярский край;2422;4656;11017;25263;38848;37464;40429;49803;63134;79406;98826;106037;117529;127537;149145;;
Иркутская область;531;1702;5888;15135;25447;24958;29354;35765;45283;57499;73365;80468;86422;93308;108829;;
Кемеровская область;1462;3072;6731;14032;22121;20002;21096;24354;33138;42648;54534;60966;66931;73851;90935;;
Новосибирская область;1048;2323;9031;22174;33226;32188;36427;42553;55426;72138;92472;97250;109578;124516;152935;;
Омская область;995;1637;5368;14190;19774;17044;18011;20739;25996;33066;41875;45573;50601;57644;72083;;
Томская область;833;1578;3818;8935;13441;13105;14244;16973;21642;27351;34377;33875;36891;40087;47329;;
Дальневосточный      федеральный округ;1025;2667;9545;27427;50709;49762;60931;86635;124881;166266;224106;254158;285486;323001;390294;;
Республика Бурятия;207;379;1202;2995;5465;5240;6155;8153;11084;15208;20301;22292;23760;25275;29790;;
Республика Саха (Якутия);240;739;1659;3803;6747;6962;8832;13843;20402;29244;40805;48423;59244;69896;85041;;
Забайкальский край;102;457;1447;3686;6503;6503;7899;10632;14476;19218;25406;28406;30647;32901;39143;;
Камчатский край;7;40;262;807;1573;1581;2126;3017;4436;6068;8691;10312;11744;13312;16397;;
Приморский край;143;213;1383;4871;8795;8005;9446;13946;20852;28537;37434;43365;49791;57732;70902;;
Хабаровский край;109;328;1588;6078;11121;10936;13473;18044;25586;31795;41928;46146;49250;55428;65481;;
Амурская область;111;240;936;2476;5000;4914;5792;8978;13518;17097;23053;25339;27403;29909;36424;;
Магаданская область;26;66;287;635;1259;1234;1465;1908;2838;4142;5903;6810;7867;8817;10481;;
Сахалинская область;71;178;649;1571;3176;3281;4389;6280;8994;11311;15582;17424;19582;22835;28164;;
Еврейская автономная область;8;22;107;391;856;889;1051;1463;2063;2678;3514;3832;4167;4474;5419;;
Чукотский автономный округ;1;5;25;114;214;217;303;371;632;968;1489;1809;2031;2422;3052;;
??????;;;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;;;
2) По данным Банка России.;;;;;;;;;;;;;;;;;
